,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9692058346839547,0.9976275207591934,0.9454365079365079,0.05456349206349208,0.0023724792408066427,0.12964789963294554,0.744760979862128,0.023281033687125058,0.6096711798839457
1,Massaging,0.9335494327390601,0.9418742586002372,0.9265873015873016,0.0734126984126984,0.05812574139976275,0.03201918781923058,0.9325676797670319,0.08634056299030916,0.3872605207139349
2,Pref. Sampling,0.9497568881685575,0.9489916963226575,0.9503968253968254,0.0496031746031746,0.051008303677342826,0.10637392942455962,0.7778359150330774,0.04025777798127339,0.6822510822510822
3,Reweighing,0.9681253376553214,0.995255041518387,0.9454365079365079,0.05456349206349208,0.004744958481613285,0.12832339632168735,0.7467080673911795,0.023281033687125058,0.6096711798839457
4,Corr. Remover,0.9665045921123718,0.9928825622775801,0.9444444444444444,0.055555555555555566,0.0071174377224199285,0.13485075061661256,0.7341714968262599,0.024550069220119985,0.5969696969696968
5,DI Remover,0.9692058346839547,1.0,0.9434523809523812,0.056547619047619055,0.0,0.13229690625546206,0.7408971096682908,0.025819104753114906,0.584786641929499
6,Grid Search DP,0.9465153970826579,0.9762752075919335,0.921626984126984,0.07837301587301586,0.023724792408066433,0.1300266065914432,0.7456733472110372,0.03047992616520536,0.6415196743554951
7,Grid Search EO,0.9654240950837385,0.98932384341637,0.9454365079365079,0.05456349206349208,0.010676156583629892,0.13220174399409598,0.7380254154447704,0.023281033687125058,0.6096711798839457
8,Exp. Grad. DP,0.8999459751485684,0.9377224199288255,0.8683531746031747,0.13164682539682537,0.062277580071174385,0.05922899147423821,0.8838015797909676,0.04446833102522128,0.7341483556040925
9,Exp. Grad. EO,0.9619665045921124,0.9901542111506526,0.9383928571428573,0.06160714285714286,0.009845788849347569,0.1341319842302538,0.7365992187301751,0.02763959390862944,0.5930762355323088
10,DI Score,0.9443003781739602,0.9874258600237248,0.9082341269841271,0.09176587301587302,0.012574139976275208,0.12362335165368707,0.763416939781052,0.021446700507614207,0.7819981994009908
11,Equal. Oppor. DP,0.9431658562938952,0.9973902728351127,0.8978174603174602,0.10218253968253968,0.002609727164887307,0.013839311724379012,0.9741171274982874,0.1949007844946931,0.23649710406666097
12,Equal. Oppor. EO,0.9646677471636954,0.9973902728351127,0.9373015873015873,0.0626984126984127,0.002609727164887307,0.10906333145598261,0.7855002125398983,0.01170596132063598,0.865645397121017
