,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,93.4,0.6836165269422726,0.7386982130415591,0.8178950797236484,0.5831429599926051,0.416857040007395,0.18210492027635178
1,Unmitigated-LR,male,206.6,0.7871778238618081,0.7475401600783901,0.8737195592947569,0.4299507999740304,0.5700492000259694,0.12628044070524316
2,Massaging,female,93.4,0.6941442814297801,0.7369790517790825,0.8250328052927139,0.5625237497778066,0.4374762502221934,0.17496719470728592
3,Massaging,male,206.6,0.7689415509542905,0.7412596387823285,0.8563758578020335,0.45032133326046503,0.5496786667395349,0.14362414219796654
4,Pref. Sampling,female,93.4,0.6349009892737136,0.7268050331399216,0.7729066668315367,0.6387445482513942,0.36125545174860596,0.2270933331684631
5,Pref. Sampling,male,206.6,0.6852206774045659,0.7070429220281633,0.7737887282528065,0.5373559697226493,0.46264403027735057,0.22621127174719344
6,Reweighing,female,93.4,0.7152814420450407,0.7420292257654453,0.8446525284778952,0.5411593392970169,0.4588406607029832,0.15534747152210485
7,Reweighing,male,206.6,0.7889776180408914,0.748395169873057,0.8754413163720078,0.4277798625821828,0.5722201374178173,0.12455868362799213
8,Corr. Remover,female,93.4,0.7544701311723856,0.7362922087382091,0.869592308241446,0.47268444605665705,0.527315553943343,0.130407691758554
9,Corr. Remover,male,206.6,0.7651046818462504,0.7432042264777919,0.8550766153129683,0.46053405118193036,0.5394659488180696,0.14492338468703175
10,DI Remover,female,93.4,0.7497139670877149,0.7320076919552779,0.8641551395399395,0.47966787303754843,0.5203321269624516,0.13584486046006047
11,DI Remover,male,206.6,0.8348912829481374,0.7563916403489903,0.9128932613430818,0.3596758726484327,0.6403241273515674,0.08710673865691825
12,Grid Search DP,female,93.4,0.7650407989315672,0.7376571673553893,0.8782117937160405,0.45758039753222307,0.542419602467777,0.12178820628395952
13,Grid Search DP,male,206.6,0.7851310309307419,0.7369818942080262,0.864682777919452,0.41428164276930957,0.5857183572306903,0.135317222080548
14,Grid Search EO,female,93.4,0.6939171980462426,0.7450665824720251,0.8307071081247308,0.5778301883322168,0.4221698116677833,0.16929289187526922
15,Grid Search EO,male,206.6,0.7864872454564255,0.7469553530473695,0.8727959337603606,0.42968179803132,0.5703182019686799,0.12720406623963934
16,Exp. Grad. DP,female,93.4,0.7517184460259674,0.7368768950702973,0.8676575984244026,0.47646033351915706,0.5235396664808428,0.13234240157559746
17,Exp. Grad. DP,male,206.6,0.7808965290835465,0.7326561220627221,0.8587541224097146,0.41417040806408156,0.5858295919359184,0.14124587759028534
18,Exp. Grad. EO,female,93.4,0.7198022151464349,0.7387396880911379,0.8457719223554143,0.5307911214769735,0.4692088785230267,0.15422807764458565
19,Exp. Grad. EO,male,206.6,0.7799049924423119,0.7403974694562596,0.8635965131924166,0.4296583823694974,0.5703416176305027,0.13640348680758335
20,DI Score LR,,93.4,0.7242140696405718,0.7370274071564772,0.8477219246129335,0.5190892816501337,0.48091071834986643,0.15227807538706645
21,DI Score LR,,206.6,0.7850293996144071,0.7493525401816855,0.8732445148667368,0.4364740465961666,0.5635259534038335,0.12675548513326304
22,DI Score SVM,,93.4,0.6389765118322253,0.7263645593584132,0.7752816563559743,0.6327484485915014,0.3672515514084987,0.2247183436440256
23,DI Score SVM,,206.6,0.672966322028231,0.7199120683060987,0.7741635163603042,0.5812117203034433,0.41878827969655674,0.2258364836396957
24,Equal. Oppor. DP,,93.4,0.7261230705928212,0.7283232164870143,0.841758817415962,0.5014259949934393,0.49857400500656074,0.15824118258403794
25,Equal. Oppor. DP,,206.6,0.803133169452179,0.753889768902317,0.889331060109378,0.4131046032299143,0.5868953967700856,0.1106689398906219
26,Equal. Oppor. EO,,93.4,0.699397841137402,0.7044896923245554,0.8001359285214276,0.493860659594686,0.5061393404053139,0.19986407147857235
27,Equal. Oppor. EO,,206.6,0.758850989006738,0.6766927749302986,0.8056072767411104,0.3604959371053678,0.6395040628946322,0.19439272325888962
