,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7366666666666666,0.8614285714285714,0.4455555555555556,0.5544444444444444,0.13857142857142857,0.0846316472802841,0.8940846249669436,0.11936826288197366,0.8110799723498794
1,Massaging,0.7276666666666666,0.840952380952381,0.4633333333333334,0.5366666666666666,0.15904761904761905,0.06766449391348235,0.9122875950672602,0.12033541622482277,0.8057259479465166
2,Pref. Sampling,0.7036666666666667,0.770952380952381,0.5466666666666665,0.4533333333333334,0.229047619047619,0.04622417052977007,0.9334401424552808,0.10947896326381841,0.792759685607618
3,Reweighing,0.74,0.8676190476190475,0.4422222222222222,0.5577777777777777,0.1323809523809524,0.06685920842195582,0.9163343748650972,0.1004974897174147,0.836995659862434
4,Corr. Remover,0.7316666666666667,0.8609523809523809,0.43,0.57,0.13904761904761903,0.02817627004855654,0.9640060436615776,0.056472773513230955,0.9096520605189774
5,DI Remover,0.7363333333333334,0.8880952380952382,0.3822222222222222,0.6177777777777778,0.11190476190476191,0.08945049195558259,0.8923894343790513,0.131898255072804,0.8052657096502331
6,Grid Search DP,0.7283333333333333,0.8685714285714287,0.4011111111111111,0.5988888888888889,0.13142857142857142,0.04559076579094903,0.9430751876925821,0.09595711504440813,0.8506393275080961
7,Grid Search EO,0.7373333333333333,0.8623809523809524,0.44555555555555565,0.5544444444444444,0.1376190476190476,0.08868680756830084,0.8895251465911699,0.12350254423938636,0.8022389412903648
8,Exp. Grad. DP,0.7306666666666667,0.872857142857143,0.39888888888888885,0.601111111111111,0.12714285714285714,0.043139476168559385,0.9468596442832118,0.08543423367712447,0.8722273410274513
9,Exp. Grad. EO,0.734,0.8590476190476191,0.4422222222222222,0.5577777777777777,0.14095238095238094,0.07661775393508581,0.9043302152093384,0.1290161969093858,0.7909821188499724
10,DI Score LR,0.7370000000000001,0.8661904761904762,0.43555555555555553,0.5644444444444444,0.1338095238095238,0.05527816961879687,0.931110653566769,0.08660443581411638,0.8642520376868253
11,DI Score SVM,0.714,0.7728571428571428,0.5766666666666665,0.42333333333333334,0.22714285714285715,0.051508374263826914,0.9254390939410058,0.09539797014188632,0.8070091284449459
12,Equal. Oppor. DP,0.735,0.8776190476190477,0.4022222222222222,0.5977777777777776,0.1223809523809524,0.06297066753451425,0.9230165539986158,0.11037500492192023,0.8358657037725743
13,Equal. Oppor. EO,0.6900000000000001,0.8638095238095239,0.28444444444444444,0.7155555555555556,0.13619047619047617,0.029831789938496944,0.9599207586094847,0.08175502439681889,0.86950150043975
