,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,102,0.803921568627451,0.7352941176470589,0.8985507246376812,0.3939393939393939,0.6060606060606061,0.10144927536231885
9,Corr. Remover,0,male,198,0.7626262626262627,0.7171717171717171,0.8368794326241135,0.42105263157894735,0.5789473684210527,0.16312056737588654
36,Corr. Remover,1,female,80,0.775,0.7625,0.9215686274509803,0.4827586206896552,0.5172413793103449,0.0784313725490196
37,Corr. Remover,1,male,220,0.7727272727272727,0.759090909090909,0.8679245283018868,0.47540983606557374,0.5245901639344263,0.1320754716981132
64,Corr. Remover,2,female,103,0.7669902912621359,0.7281553398058253,0.8695652173913043,0.4411764705882353,0.5588235294117647,0.13043478260869565
65,Corr. Remover,2,male,197,0.7766497461928934,0.7258883248730964,0.851063829787234,0.4107142857142857,0.5892857142857143,0.14893617021276595
92,Corr. Remover,3,female,91,0.7252747252747253,0.6703296703296703,0.8333333333333334,0.43243243243243246,0.5675675675675675,0.16666666666666666
93,Corr. Remover,3,male,209,0.7799043062200957,0.7368421052631579,0.8461538461538461,0.41509433962264153,0.5849056603773585,0.15384615384615385
120,Corr. Remover,4,female,94,0.7127659574468085,0.7978723404255319,0.8870967741935484,0.625,0.375,0.11290322580645161
121,Corr. Remover,4,male,206,0.7475728155339806,0.7378640776699029,0.8378378378378378,0.4827586206896552,0.5172413793103449,0.16216216216216217
148,Corr. Remover,5,female,95,0.7473684210526316,0.7263157894736842,0.835820895522388,0.4642857142857143,0.5357142857142857,0.16417910447761194
149,Corr. Remover,5,male,205,0.7365853658536585,0.7560975609756098,0.8531468531468531,0.532258064516129,0.46774193548387094,0.14685314685314685
176,Corr. Remover,6,female,93,0.7526881720430108,0.7526881720430108,0.8615384615384616,0.5,0.5,0.13846153846153847
177,Corr. Remover,6,male,207,0.7439613526570048,0.7342995169082126,0.8413793103448276,0.4838709677419355,0.5161290322580645,0.15862068965517243
204,Corr. Remover,7,female,90,0.7777777777777778,0.6777777777777778,0.8360655737704918,0.3448275862068966,0.6551724137931034,0.16393442622950818
205,Corr. Remover,7,male,210,0.7761904761904762,0.7619047619047619,0.8791946308724832,0.47540983606557374,0.5245901639344263,0.12080536912751678
232,Corr. Remover,8,female,89,0.7303370786516854,0.7078651685393258,0.8305084745762712,0.4666666666666667,0.5333333333333333,0.1694915254237288
233,Corr. Remover,8,male,211,0.7962085308056872,0.7393364928909952,0.8741721854304636,0.4,0.6,0.12582781456953643
260,Corr. Remover,9,female,97,0.7525773195876289,0.8041237113402062,0.921875,0.5757575757575758,0.42424242424242425,0.078125
261,Corr. Remover,9,male,203,0.7586206896551724,0.7635467980295566,0.863013698630137,0.5087719298245614,0.49122807017543857,0.136986301369863
