,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.7233333333333334,0.8571428571428571,0.4111111111111111,0.5888888888888889,0.14285714285714285,0.04129530600118836,0.9486326681448632,0.06167129201356769,0.9313658201784488
18,Corr. Remover,1,0.76,0.8809523809523809,0.4777777777777778,0.5222222222222223,0.11904761904761904,0.002272727272727315,0.9970674486803518,0.053644099149093516,0.9417904456041751
32,Corr. Remover,2,0.7266666666666667,0.8571428571428571,0.4222222222222222,0.5777777777777777,0.14285714285714285,0.009659454930757483,0.9875626626054953,0.030462184873949583,0.9483065953654188
46,Corr. Remover,3,0.7166666666666667,0.8428571428571429,0.4222222222222222,0.5777777777777777,0.15714285714285714,0.054629580945370404,0.9299534821007214,0.017338092809790928,0.970357454228422
60,Corr. Remover,4,0.7566666666666667,0.8523809523809524,0.5333333333333333,0.4666666666666667,0.14761904761904762,0.0348068580871721,0.9534401768444322,0.14224137931034486,0.725
74,Corr. Remover,5,0.7466666666666667,0.8476190476190476,0.5111111111111111,0.4888888888888889,0.1523809523809524,0.010783055198973046,0.9855719683957402,0.06797235023041476,0.8731182795698924
88,Corr. Remover,6,0.74,0.8476190476190476,0.4888888888888889,0.5111111111111111,0.1523809523809524,0.008726819386005946,0.9884057971014493,0.020159151193633984,0.96875
102,Corr. Remover,7,0.7366666666666667,0.8666666666666667,0.43333333333333335,0.5666666666666667,0.13333333333333333,0.0015873015873015817,0.9979591836734694,0.13058224985867717,0.8006902502157033
116,Corr. Remover,8,0.73,0.861904761904762,0.4222222222222222,0.5777777777777777,0.1380952380952381,0.06587145215400181,0.9172685928303906,0.06666666666666665,0.888888888888889
130,Corr. Remover,9,0.7766666666666666,0.8809523809523809,0.5333333333333333,0.4666666666666667,0.11904761904761904,0.006043370067543519,0.9920337394564199,0.06698564593301432,0.8636363636363638
5,DI Remover,0,0.74,0.9761904761904762,0.18888888888888888,0.8111111111111111,0.023809523809523808,0.007130124777183666,0.9923444976076554,0.10685805422647532,0.8784029038112522
19,DI Remover,1,0.7566666666666667,0.8952380952380953,0.43333333333333335,0.5666666666666667,0.10476190476190476,0.04659090909090913,0.9424157303370786,0.12379875635952514,0.7958993476234856
33,DI Remover,2,0.74,0.8666666666666667,0.4444444444444444,0.5555555555555556,0.13333333333333333,0.1722931348873885,0.7930381245560029,0.42016806722689076,0.4117647058823529
47,DI Remover,3,0.7266666666666667,0.9476190476190476,0.2111111111111111,0.7888888888888889,0.05238095238095238,0.04574372995425624,0.9499453426154997,0.029202279202279247,0.9694258016405667
61,DI Remover,4,0.7533333333333333,0.8476190476190476,0.5333333333333333,0.4666666666666667,0.1523809523809524,0.1229084899814088,0.8407600695838351,0.23922413793103448,0.56640625
75,DI Remover,5,0.75,0.8666666666666667,0.4777777777777778,0.5222222222222223,0.13333333333333333,0.13119383825417208,0.8370015948963316,0.18778801843317977,0.6765873015873015
