,algorithm,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,aged,257.4,0.7740813499424005,0.7672419710176159,0.877797200399091,0.4883632732245643,0.5116367267754357,0.12220279960090885
1,Unmitigated-LR,young,42.6,0.5647531303291794,0.6138667249425089,0.6535073946543212,0.5645880521267517,0.4354119478732482,0.34649260534567883
2,Massaging,aged,257.4,0.7546615046686258,0.7594112926172109,0.8588148751600435,0.508872395437639,0.49112760456236104,0.14118512483995657
3,Massaging,young,42.6,0.5374458843810078,0.6045280921280769,0.623037370203787,0.5847811205822042,0.4152188794177958,0.376962629796213
4,Pref. Sampling,aged,257.4,0.6897211708164865,0.7287573861796917,0.7920950164876831,0.5694670102518027,0.4305329897481972,0.20790498351231687
5,Pref. Sampling,young,42.6,0.5100907503390081,0.581126817370947,0.580467977244589,0.5930455930378532,0.4069544069621468,0.419532022755411
6,Reweighing,aged,257.4,0.7749342020044974,0.765734471372069,0.8773312189428667,0.4839810273783516,0.5160189726216484,0.12266878105713334
7,Reweighing,young,42.6,0.5743622454740089,0.5929807699232786,0.6434636863497434,0.5243406198204961,0.475659380179504,0.35653631365025673
8,Corr. Remover,aged,257.4,0.7503632705447817,0.7598499510353012,0.856101857108752,0.5170886660193889,0.48291133398061115,0.14389814289124797
9,Corr. Remover,young,42.6,0.7790964374099505,0.6421080828786101,0.8541697710363378,0.321382528290423,0.678617471709577,0.14583022896366224
10,DI Remover,aged,257.4,0.7890466094259152,0.768050954056708,0.8887551531723881,0.46298534687988635,0.5370146531201139,0.11124484682761197
11,DI Remover,young,42.6,0.5823088047976324,0.6199149633277039,0.6728632722710683,0.549200625226167,0.450799374773833,0.32713672772893165
12,Grid Search DP,aged,257.4,0.7718132959932509,0.7618106257110266,0.8724342692205095,0.4824062571193708,0.5175937428806292,0.1275657307794905
13,Grid Search DP,young,42.6,0.597706974517117,0.6012601214066902,0.6697691843943718,0.5080865041391357,0.4919134958608642,0.3302308156056282
14,Grid Search EO,aged,257.4,0.7682358345234459,0.7613912123192297,0.8696430865913085,0.48806995975495526,0.5119300402450447,0.13035691340869163
15,Grid Search EO,young,42.6,0.5559076649129293,0.6012529063994752,0.6352697064166329,0.5590668962959985,0.4409331037040015,0.36473029358336706
16,Exp. Grad. DP,aged,257.4,0.7718278580981954,0.7641315089881099,0.8740298942046276,0.4865984181260428,0.5134015818739572,0.12597010579537232
17,Exp. Grad. DP,young,42.6,0.5910264344698521,0.5925327971436516,0.6577494006354576,0.5069847300961852,0.4930152699038148,0.34225059936454244
18,Exp. Grad. EO,aged,257.4,0.7718368549864738,0.7602951555355626,0.8713518524499113,0.4798395500740513,0.5201604499259487,0.12864814755008872
19,Exp. Grad. EO,young,42.6,0.5813890276503896,0.588354865478786,0.6477657599771544,0.5131355237469789,0.4868644762530211,0.3522342400228457
20,DI Score LR,,257.4,0.7737449906881871,0.7652971303796408,0.876221192932064,0.48532099973135556,0.5146790002686444,0.1237788070679359
21,DI Score LR,,42.6,0.5767673291290925,0.5953375910300996,0.6470351149211719,0.5276144293443055,0.4723855706556945,0.3529648850788281
22,DI Score SVM,,257.4,0.6689134696483092,0.7451823320409376,0.7889405763261776,0.6345601167328535,0.3654398832671464,0.21105942367382222
23,DI Score SVM,,42.6,0.46215509477136507,0.6319107035246636,0.581362475050631,0.7140889936516872,0.2859110063483128,0.41863752494936896
24,Equal. Oppor. DP,,257.4,0.7997316432811843,0.7649206512201691,0.8939742238540399,0.4392608143321969,0.5607391856678031,0.10602577614596013
25,Equal. Oppor. DP,,42.6,0.643305605736866,0.6005083956549643,0.7082632127159862,0.45082678286625655,0.5491732171337435,0.29173678728401364
26,Equal. Oppor. EO,,257.4,0.7770864079866312,0.7510025325073441,0.8684703567351126,0.4548315252040312,0.5451684747959689,0.13152964326488722
27,Equal. Oppor. EO,,42.6,0.6249155037287517,0.5961866150034609,0.6867491528960794,0.4689046814898209,0.5310953185101792,0.3132508471039206
