,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.746,0.8695238095238096,0.45777777777777773,0.5422222222222222,0.13047619047619047,0.1409585152261153,0.8221435795936698,0.19816180920047297,0.7413789697701453
1,Massaging,0.7336666666666667,0.8452380952380951,0.47333333333333344,0.5266666666666666,0.1547619047619048,0.14900969077061385,0.8076849429889655,0.1993091359517154,0.7429813377800558
2,Pref. Sampling,0.7059999999999998,0.7809523809523808,0.5311111111111111,0.4688888888888888,0.21904761904761902,0.1813878428441662,0.7460692309858273,0.24339099883987073,0.6720005717929981
3,Reweighing,0.7393333333333334,0.8652380952380954,0.4455555555555556,0.5544444444444443,0.13476190476190478,0.13894317262666317,0.8250388257954789,0.2013670342461164,0.7476573921456483
4,Corr. Remover,0.7380000000000001,0.8723809523809525,0.42444444444444446,0.5755555555555555,0.1276190476190476,0.04055173091364811,0.9510671158473455,0.23380162547191558,0.7048563163435312
5,DI Remover,0.7443333333333333,0.8666666666666666,0.45888888888888885,0.5411111111111111,0.13333333333333333,0.1432778683942031,0.8190264863252061,0.20757999607678487,0.7435037619843865
6,Grid Search DP,0.737,0.8695238095238096,0.42777777777777776,0.5722222222222221,0.13047619047619047,0.1198724556867556,0.8511999820132898,0.19871014349283572,0.7513638663725782
7,Grid Search EO,0.7406666666666667,0.8685714285714285,0.4422222222222222,0.5577777777777777,0.13142857142857142,0.1534722114496006,0.8082793621744104,0.20781881260150487,0.7347410682730924
8,Exp. Grad. DP,0.7420000000000001,0.8723809523809525,0.4377777777777777,0.5622222222222222,0.12761904761904763,0.11332130264866089,0.8585782656047767,0.1831825826034327,0.7649111937786613
9,Exp. Grad. EO,0.738,0.8671428571428572,0.4366666666666667,0.5633333333333332,0.13285714285714284,0.13447629169471967,0.8319081267093956,0.19233728799727481,0.7551568576426269
10,DI Score LR,0.7416666666666667,0.8685714285714285,0.4455555555555556,0.5544444444444443,0.13142857142857142,0.13633246248224046,0.8287201283519382,0.199360625239147,0.7504904381349289
11,DI Score SVM,0.7243333333333334,0.7704761904761904,0.6166666666666666,0.38333333333333336,0.22952380952380955,0.15323721220690695,0.7739425136535296,0.20114981823597455,0.6956769172797849
12,Equal. Oppor. DP,0.7386666666666667,0.8900000000000002,0.3855555555555556,0.6144444444444443,0.11000000000000001,0.09465190137808101,0.8846800875298715,0.1790246106398347,0.7792365682727374
13,Equal. Oppor. EO,0.7263333333333332,0.849047619047619,0.44000000000000006,0.5599999999999999,0.15095238095238095,0.10916584841177794,0.8581862200214866,0.1846717277190275,0.7332075283543643
