,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,aged,259,0.7451737451737451,0.7683397683397684,0.8556149732620321,0.5416666666666666,0.4583333333333333,0.1443850267379679
9,Corr. Remover,0,young,41,0.8292682926829268,0.6341463414634146,0.9130434782608695,0.2777777777777778,0.7222222222222222,0.08695652173913043
36,Corr. Remover,1,aged,255,0.7647058823529411,0.803921568627451,0.8961748633879781,0.5694444444444444,0.4305555555555556,0.10382513661202186
37,Corr. Remover,1,young,45,0.8222222222222222,0.6888888888888889,0.9259259259259259,0.3333333333333333,0.6666666666666666,0.07407407407407407
64,Corr. Remover,2,aged,263,0.7072243346007605,0.7414448669201521,0.8105263157894737,0.5616438356164384,0.4383561643835616,0.18947368421052632
65,Corr. Remover,2,young,37,0.6216216216216216,0.6486486486486487,0.75,0.5294117647058824,0.47058823529411764,0.25
92,Corr. Remover,3,aged,252,0.7420634920634921,0.753968253968254,0.8415300546448088,0.5217391304347826,0.4782608695652174,0.15846994535519127
93,Corr. Remover,3,young,48,0.7916666666666666,0.6875,0.9259259259259259,0.38095238095238093,0.6190476190476191,0.07407407407407407
120,Corr. Remover,4,aged,254,0.7716535433070866,0.7519685039370079,0.8633879781420765,0.4647887323943662,0.5352112676056338,0.1366120218579235
121,Corr. Remover,4,young,46,0.8260869565217391,0.6304347826086957,0.8888888888888888,0.2631578947368421,0.7368421052631579,0.1111111111111111
148,Corr. Remover,5,aged,251,0.7609561752988048,0.7529880478087649,0.856353591160221,0.4857142857142857,0.5142857142857142,0.143646408839779
149,Corr. Remover,5,young,49,0.8163265306122449,0.6122448979591837,0.8620689655172413,0.25,0.75,0.13793103448275862
176,Corr. Remover,6,aged,256,0.74609375,0.734375,0.8360655737704918,0.4794520547945205,0.5205479452054794,0.16393442622950818
177,Corr. Remover,6,young,44,0.7272727272727273,0.7045454545454546,0.8518518518518519,0.47058823529411764,0.5294117647058824,0.14814814814814814
204,Corr. Remover,7,aged,263,0.7034220532319392,0.7490494296577946,0.8148148148148148,0.581081081081081,0.4189189189189189,0.18518518518518517
205,Corr. Remover,7,young,37,0.8108108108108109,0.6486486486486487,0.9047619047619048,0.3125,0.6875,0.09523809523809523
232,Corr. Remover,8,aged,263,0.7832699619771863,0.8098859315589354,0.9239130434782609,0.5443037974683544,0.45569620253164556,0.07608695652173914
233,Corr. Remover,8,young,37,0.7837837837837838,0.5945945945945946,0.7692307692307693,0.18181818181818182,0.8181818181818182,0.23076923076923078
260,Corr. Remover,9,aged,258,0.7790697674418605,0.7325581395348837,0.8626373626373627,0.42105263157894735,0.5789473684210527,0.13736263736263737
261,Corr. Remover,9,young,42,0.7619047619047619,0.5714285714285714,0.75,0.21428571428571427,0.7857142857142857,0.25
10,DI Remover,0,aged,259,0.7374517374517374,0.7837837837837838,0.8609625668449198,0.5833333333333334,0.4166666666666667,0.13903743315508021
11,DI Remover,0,young,41,0.6585365853658537,0.6585365853658537,0.782608695652174,0.5,0.5,0.21739130434782608
