,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.75,0.861904761904762,0.4888888888888889,0.5111111111111111,0.1380952380952381,0.08409454750918166,0.8985918691801045,0.2638888888888889,0.6346153846153846
18,Corr. Remover,1,0.7866666666666666,0.9,0.5222222222222223,0.4777777777777778,0.1,0.05751633986928106,0.9300476947535771,0.23611111111111105,0.6458333333333334
32,Corr. Remover,2,0.73,0.8047619047619048,0.5555555555555556,0.4444444444444444,0.19523809523809524,0.0856027129791389,0.8789596047660563,0.06052631578947365,0.9253246753246753
46,Corr. Remover,3,0.7433333333333333,0.8523809523809524,0.4888888888888889,0.5111111111111111,0.14761904761904762,0.04960317460317454,0.93734335839599,0.14078674948240166,0.7725752508361204
60,Corr. Remover,4,0.7333333333333333,0.8666666666666667,0.4222222222222222,0.5777777777777777,0.13333333333333333,0.05443341321465256,0.9341069208454206,0.2016308376575241,0.7263581488933601
74,Corr. Remover,5,0.73,0.8571428571428571,0.43333333333333335,0.5666666666666667,0.14285714285714285,0.055370355313440145,0.9321713147410359,0.23571428571428577,0.6857142857142856
88,Corr. Remover,6,0.73,0.8380952380952381,0.4777777777777778,0.5222222222222223,0.1619047619047619,0.018821022727272707,0.9747739171822942,0.015786278081360017,0.9814682822523165
102,Corr. Remover,7,0.7366666666666667,0.8238095238095238,0.5333333333333333,0.4666666666666667,0.1761904761904762,0.10738875757887167,0.867553865652725,0.2685810810810811,0.6093366093366094
116,Corr. Remover,8,0.7833333333333333,0.9047619047619048,0.5,0.5,0.09523809523809523,0.0005138218065974254,0.999344434246755,0.3624856156501727,0.5569620253164557
130,Corr. Remover,9,0.71,0.8476190476190476,0.3888888888888889,0.6111111111111112,0.1523809523809524,0.017165005537098654,0.9779673063255152,0.20676691729323304,0.736842105263158
5,DI Remover,0,0.7666666666666667,0.8523809523809524,0.5666666666666667,0.43333333333333335,0.14761904761904762,0.07891515208588373,0.8929894010981996,0.08333333333333331,0.8333333333333334
19,DI Remover,1,0.7466666666666667,0.8476190476190476,0.5111111111111111,0.4888888888888889,0.1523809523809524,0.2431372549019608,0.6868686868686869,0.3351548269581056,0.623721881390593
33,DI Remover,2,0.7233333333333334,0.8095238095238095,0.5222222222222223,0.4777777777777778,0.19047619047619047,0.2241290720378173,0.6961549178044023,0.2315789473684211,0.7215189873417721
47,DI Remover,3,0.7733333333333333,0.8809523809523809,0.5222222222222223,0.4777777777777778,0.11904761904761904,0.13591269841269837,0.8261421319796954,0.07589556769884642,0.8697478991596638
61,DI Remover,4,0.74,0.9714285714285714,0.2,0.8,0.02857142857142857,0.08524477918521056,0.9086406164006604,0.0800593031875464,0.9019963702359346
75,DI Remover,5,0.7466666666666667,0.8714285714285714,0.45555555555555555,0.5444444444444444,0.12857142857142856,0.14375152451418816,0.8195918367346938,0.1308820727757668,0.8528592846433926
89,DI Remover,6,0.7233333333333334,0.8428571428571429,0.4444444444444444,0.5555555555555556,0.15714285714285714,0.14098011363636365,0.8186386477843764,0.11718275652701882,0.8179271708683473
103,DI Remover,7,0.74,0.8047619047619048,0.5888888888888889,0.4111111111111111,0.19523809523809524,0.3824889528311581,0.4787844839658312,0.3650793650793651,0.40808823529411764
117,DI Remover,8,0.7866666666666666,0.8952380952380953,0.5333333333333333,0.4666666666666667,0.10476190476190476,0.3504264720994759,0.5673137926659053,0.407190635451505,0.5524475524475524
131,DI Remover,9,0.7266666666666667,0.8523809523809524,0.43333333333333335,0.5666666666666667,0.14761904761904762,0.28239202657807305,0.6497252747252747,0.3653846153846154,0.5945121951219512
10,DI Score LR,0,0.77,0.861904761904762,0.5555555555555556,0.4444444444444444,0.1380952380952381,0.033995668142009605,0.9541412601626016,0.06944444444444442,0.8611111111111112
24,DI Score LR,1,0.75,0.8666666666666667,0.4777777777777778,0.5222222222222223,0.13333333333333333,0.19215686274509802,0.7574257425742574,0.31451123254401947,0.6532797858099062
38,DI Score LR,2,0.72,0.8047619047619048,0.5222222222222223,0.4777777777777778,0.19523809523809524,0.22032679066899596,0.6997619381039071,0.22631578947368425,0.7261146496815286
52,DI Score LR,3,0.75,0.861904761904762,0.4888888888888889,0.5111111111111111,0.1380952380952381,0.1071428571428572,0.8615384615384615,0.05403764420157864,0.9126984126984127
66,DI Score LR,4,0.73,0.8571428571428571,0.43333333333333335,0.5666666666666667,0.14285714285714285,0.1905169462512838,0.7616191904047976,0.3035822707953856,0.6612466124661246
80,DI Score LR,5,0.7366666666666667,0.861904761904762,0.4444444444444444,0.5555555555555556,0.1380952380952381,0.11537523375884218,0.8537414965986394,0.11983234901886075,0.8635870743873346
94,DI Score LR,6,0.71,0.8285714285714286,0.43333333333333335,0.5666666666666667,0.17142857142857143,0.13316761363636365,0.8269497000461468,0.14329083181542202,0.8308243727598565
108,DI Score LR,7,0.73,0.7952380952380952,0.5777777777777777,0.4222222222222222,0.20476190476190476,0.3478573630664885,0.5210131597566153,0.4074074074074074,0.5126582278481012
122,DI Score LR,8,0.7866666666666666,0.8857142857142857,0.5555555555555556,0.4444444444444444,0.11428571428571428,0.3352173466241907,0.578171472908315,0.3963210702341138,0.5760286225402504
136,DI Score LR,9,0.73,0.861904761904762,0.4222222222222222,0.5777777777777777,0.1380952380952381,0.29401993355481726,0.6404874746106974,0.3351648351648352,0.6303030303030303
11,DI Score SVM,0,0.73,0.7619047619047619,0.6555555555555556,0.34444444444444444,0.23809523809523808,0.11592428665599397,0.8223408861307548,0.07440130202278539,0.9033816425120773
25,DI Score SVM,1,0.7466666666666667,0.7761904761904762,0.6777777777777778,0.32222222222222224,0.22380952380952382,0.23006535947712425,0.6589147286821705,0.33819064966605955,0.5874074074074074
39,DI Score SVM,2,0.7133333333333334,0.7333333333333333,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.1755215291336964,0.7235798672924422,0.20263157894736838,0.7307692307692308
53,DI Score SVM,3,0.75,0.780952380952381,0.6777777777777778,0.32222222222222224,0.21904761904761905,0.17063492063492058,0.7455621301775148,0.2339544513457557,0.3791208791208791
67,DI Score SVM,4,0.73,0.780952380952381,0.6111111111111112,0.3888888888888889,0.21904761904761905,0.24426566244436837,0.6514411333659013,0.21615057680631455,0.6228070175438596
81,DI Score SVM,5,0.73,0.7904761904761904,0.5888888888888889,0.4111111111111111,0.20952380952380953,0.17456703797056672,0.752450132595411,0.1569822823394933,0.8067088904527328
95,DI Score SVM,6,0.7166666666666667,0.7476190476190476,0.6444444444444445,0.35555555555555557,0.2523809523809524,0.20561079545454547,0.6885422270037654,0.2207896857373086,0.4442190669371197
109,DI Score SVM,7,0.71,0.7238095238095238,0.6777777777777778,0.32222222222222224,0.2761904761904762,0.2566026102147775,0.5958893024761288,0.3280423280423281,0.5664335664335663
123,DI Score SVM,8,0.74,0.7666666666666667,0.6777777777777778,0.32222222222222224,0.23333333333333334,0.22916452574247248,0.6536191363777571,0.26045150501672243,0.531986531986532
137,DI Score SVM,9,0.73,0.7761904761904762,0.6222222222222222,0.37777777777777777,0.22380952380952382,0.26522702104097456,0.6177174780526735,0.35989010989010983,0.5633333333333334
12,Equal. Oppor. DP,0,0.78,0.8857142857142857,0.5333333333333333,0.4666666666666667,0.11428571428571428,0.02373104812129201,0.9695945945945946,0.18055555555555558,0.7045454545454545
26,Equal. Oppor. DP,1,0.74,0.8809523809523809,0.4111111111111111,0.5888888888888889,0.11904761904761904,0.22745098039215683,0.7251184834123223,0.28840315725561627,0.6858465608465608
40,Equal. Oppor. DP,2,0.7366666666666667,0.8428571428571429,0.4888888888888889,0.5111111111111111,0.15714285714285714,0.1696639605384852,0.7780018824794945,0.2131578947368421,0.7530487804878049
54,Equal. Oppor. DP,3,0.7733333333333333,0.9,0.4777777777777778,0.5222222222222223,0.1,0.06845238095238104,0.9141791044776119,0.012750455373406244,0.9858585858585858
68,Equal. Oppor. DP,4,0.74,0.8857142857142857,0.4,0.6,0.11428571428571428,0.14892160219103046,0.819013938007073,0.2513661202185793,0.7261904761904762
82,Equal. Oppor. DP,5,0.7333333333333333,0.8761904761904762,0.4,0.6,0.12380952380952381,0.07008699894300341,0.9129116993331987,0.05639169365593444,0.9362068965517242
96,Equal. Oppor. DP,6,0.7066666666666667,0.8428571428571429,0.3888888888888889,0.6111111111111112,0.15714285714285714,0.18714488636363635,0.7662971175166298,0.17324738114423854,0.7309136420525657
110,Equal. Oppor. DP,7,0.73,0.8428571428571429,0.4666666666666667,0.5333333333333333,0.15714285714285714,0.17726852327612785,0.7703368393023565,0.2486772486772486,0.7134146341463415
124,Equal. Oppor. DP,8,0.7633333333333333,0.8857142857142857,0.4777777777777778,0.5222222222222223,0.11428571428571428,0.26934539101839483,0.6674279913716533,0.35242474916387967,0.6207827260458839
138,Equal. Oppor. DP,9,0.7166666666666667,0.8714285714285714,0.35555555555555557,0.6444444444444445,0.12857142857142856,0.2696566998892581,0.6793943383805134,0.30494505494505497,0.6656626506024096
13,Equal. Oppor. EO,0,0.7433333333333333,0.8523809523809524,0.4888888888888889,0.5111111111111111,0.14761904761904762,0.03531405970430368,0.954753861003861,0.2638888888888889,0.6346153846153846
27,Equal. Oppor. EO,1,0.7233333333333334,0.8428571428571429,0.4444444444444444,0.5555555555555556,0.15714285714285714,0.1843137254901961,0.765,0.28718882817243474,0.673567977915804
41,Equal. Oppor. EO,2,0.7133333333333334,0.819047619047619,0.4666666666666667,0.5333333333333333,0.18095238095238095,0.18908642482786975,0.7501018606546244,0.18684210526315792,0.7767295597484276
