,algorithm,run_id,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Black,1368,0.13523391812865498,0.8823099415204678,0.5740740740740741,0.9237147595356551,0.07628524046434494,0.42592592592592593
9,Corr. Remover,0,Other,13285,0.18148287542340985,0.8236356793375988,0.5101674641148325,0.9290815813298461,0.0709184186701539,0.48983253588516745
36,Corr. Remover,1,Black,1412,0.14022662889518414,0.8859773371104815,0.6149068322981367,0.920863309352518,0.07913669064748201,0.38509316770186336
37,Corr. Remover,1,Other,13241,0.17823427233592629,0.8239558945698965,0.5043348281016442,0.9319927243330639,0.06800727566693614,0.49566517189835574
64,Corr. Remover,2,Black,1400,0.13071428571428573,0.9,0.6387096774193548,0.9325301204819277,0.06746987951807229,0.36129032258064514
65,Corr. Remover,2,Other,13253,0.17958198143816495,0.8188334716667924,0.4968666069829902,0.9277923651787517,0.07220763482124823,0.5031333930170099
92,Corr. Remover,3,Black,1397,0.13027916964924838,0.8854688618468146,0.563953488372093,0.9306122448979591,0.06938775510204082,0.436046511627907
93,Corr. Remover,3,Other,13256,0.17840977670488836,0.8202323476161738,0.4973005398920216,0.9287442047974199,0.07125579520258013,0.5026994601079784
120,Corr. Remover,4,Black,1408,0.14701704545454544,0.8707386363636364,0.5714285714285714,0.9132197891321979,0.0867802108678021,0.42857142857142855
121,Corr. Remover,4,Other,13245,0.1820309550773877,0.8221215553038883,0.5082557790453317,0.9275771636070204,0.07242283639297963,0.49174422095466824
148,Corr. Remover,5,Black,1392,0.15086206896551724,0.8706896551724138,0.5806451612903226,0.9154228855721394,0.0845771144278607,0.41935483870967744
149,Corr. Remover,5,Other,13261,0.17540155342734334,0.8230902646859212,0.49698795180722893,0.93199879287798,0.06800120712201992,0.5030120481927711
176,Corr. Remover,6,Black,1400,0.16,0.88,0.6728395061728395,0.907108239095315,0.09289176090468497,0.3271604938271605
177,Corr. Remover,6,Other,13253,0.1709047008224553,0.8156643778767072,0.47338516746411485,0.9311736804924816,0.06882631950751841,0.5266148325358851
204,Corr. Remover,7,Black,1368,0.08333333333333333,0.8910818713450293,0.391304347826087,0.9577464788732394,0.04225352112676056,0.6086956521739131
205,Corr. Remover,7,Other,13285,0.19028980052691005,0.8218291305984192,0.5240657698056801,0.9220321931589537,0.07796780684104627,0.4759342301943199
232,Corr. Remover,8,Black,1476,0.13008130081300814,0.8705962059620597,0.503030303030303,0.9168573607932876,0.08314263920671243,0.49696969696969695
233,Corr. Remover,8,Other,13177,0.18403278439705548,0.8213553919708583,0.5106255612092188,0.9269011793411956,0.0730988206588044,0.4893744387907812
260,Corr. Remover,9,Black,1399,0.14939242315939957,0.8849177984274482,0.6428571428571429,0.9179528838342811,0.08204711616571893,0.35714285714285715
261,Corr. Remover,9,Other,13254,0.17624867964388108,0.8223932397766712,0.49730377471539844,0.9318273497377975,0.0681726502622025,0.5026962252846016
10,DI Remover,0,Black,1368,0.10160818713450293,0.89546783625731,0.4876543209876543,0.9502487562189055,0.04975124378109453,0.5123456790123457
11,DI Remover,0,Other,13285,0.2042152803914189,0.8281520511855476,0.5642942583732058,0.9169097676290112,0.08309023237098884,0.43570574162679426
38,DI Remover,1,Black,1412,0.08852691218130311,0.9022662889518414,0.45962732919254656,0.9592326139088729,0.0407673860911271,0.5403726708074534
39,DI Remover,1,Other,13241,0.20300581527074996,0.8278830904010271,0.561136023916293,0.9180476960388035,0.08195230396119645,0.43886397608370703
66,DI Remover,2,Black,1400,0.08714285714285715,0.9207142857142857,0.535483870967742,0.9686746987951808,0.03132530120481928,0.4645161290322581
67,DI Remover,2,Other,13253,0.19806836188032897,0.826454387685807,0.5484929871680095,0.9205211068471016,0.07947889315289841,0.45150701283199046
94,DI Remover,3,Black,1397,0.10093056549749463,0.901932712956335,0.5116279069767442,0.9567346938775511,0.04326530612244898,0.4883720930232558
95,DI Remover,3,Other,13256,0.20164453832226917,0.8224954737477369,0.5479904019196161,0.9147349324732916,0.08526506752670833,0.45200959808038393
122,DI Remover,4,Black,1408,0.10724431818181818,0.8934659090909091,0.5028571428571429,0.948905109489051,0.051094890510948905,0.49714285714285716
123,DI Remover,4,Other,13245,0.20973952434881088,0.8302000755001887,0.5794055839087361,0.9144643937865644,0.08553560621343555,0.4205944160912639
150,DI Remover,5,Black,1392,0.09410919540229885,0.8958333333333334,0.46236559139784944,0.9626865671641791,0.03731343283582089,0.5376344086021505
151,DI Remover,5,Other,13261,0.18384737199306236,0.8262574466480658,0.5201807228915662,0.9284780203198874,0.07152197968011266,0.47981927710843375
178,DI Remover,6,Black,1400,0.08857142857142856,0.9128571428571428,0.5061728395061729,0.9660743134087237,0.033925686591276254,0.49382716049382713
179,DI Remover,6,Other,13253,0.1973138157398325,0.8210971100882819,0.5364832535885168,0.9171460288626501,0.08285397113734988,0.46351674641148327
206,DI Remover,7,Black,1368,0.08845029239766082,0.9005847953216374,0.453416149068323,0.9602319801159901,0.03976801988400994,0.546583850931677
207,DI Remover,7,Other,13285,0.21512984569062854,0.8231840421528039,0.576083707025411,0.9063380281690141,0.09366197183098592,0.42391629297458894
234,DI Remover,8,Black,1476,0.09552845528455285,0.8956639566395664,0.46060606060606063,0.950419527078566,0.04958047292143402,0.5393939393939394
235,DI Remover,8,Other,13177,0.21416103817257343,0.8261364498747819,0.5794672253816223,0.9099227328182188,0.09007726718178122,0.42053277461837774
262,DI Remover,9,Black,1399,0.09649749821300929,0.906361686919228,0.5119047619047619,0.9601949634443542,0.039805036555645816,0.4880952380952381
263,DI Remover,9,Other,13254,0.18809416025350836,0.8254866455409687,0.5269622528460156,0.9259782170229931,0.07402178297700686,0.47303774715398444
