,algorithm,race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Black,1402.0,0.06318841757163159,0.9029069216608784,0.3574828465570499,0.9765452394441974,0.02345476055580261,0.64251715344295
1,Unmitigated-LR,Other,13251.0,0.20181458860205942,0.8260443635437079,0.5552661007738547,0.9172679055835445,0.08273209441645551,0.44473389922614526
2,Massaging,Black,1402.0,0.20445383437263667,0.8629041927054987,0.7821943310163028,0.8736226870979745,0.1263773129020255,0.21780566898369721
3,Massaging,Other,13251.0,0.20353406823777204,0.8265121178026222,0.5596046719513175,0.9164311607467539,0.08356883925324612,0.44039532804868253
4,Pref. Sampling,Black,1402.0,0.2015369107711409,0.8648358216653961,0.777916342405655,0.8763796152963529,0.12362038470364707,0.22208365759434506
5,Pref. Sampling,Other,13251.0,0.12701885352935416,0.8157580270626182,0.3864577665957364,0.9603893457912704,0.03961065420872958,0.6135422334042635
6,Reweighing,Black,1402.0,0.12232556647096789,0.8972389811747448,0.5814989190654629,0.9397506522686099,0.060249347731390054,0.41850108093453714
7,Reweighing,Other,13251.0,0.19299278129447048,0.8256900952037892,0.5370572650728835,0.9229278126857292,0.07707218731427093,0.46294273492711646
8,Corr. Remover,Black,1402.0,0.1357140174113177,0.882178030774835,0.5753749104768925,0.9236028071568521,0.07639719284314797,0.4246250895231075
9,Corr. Remover,Other,13251.0,0.17966173797974225,0.8213111353402927,0.5019293443138462,0.928912123485451,0.07108787651454895,0.4980706556861539
10,DI Remover,Black,1402.0,0.09486097100069264,0.9025147948041589,0.4891715973464998,0.9583403223501377,0.04165967764986257,0.5108284026535002
11,DI Remover,Other,13251.0,0.2015219752063183,0.825734677282521,0.5540496417018992,0.9172540923967535,0.08274590760324642,0.4459503582981007
12,Grid Search DP,Black,1402.0,0.12071045686806578,0.8630519981818712,0.43198085044715173,0.9212119946921302,0.07878800530786982,0.5680191495528483
13,Grid Search DP,Other,13251.0,0.1798116433862224,0.8191788190211604,0.4978767667185292,0.9273837484939873,0.07261625150601264,0.5021232332814709
14,Grid Search EO,Black,1402.0,0.11842675108829173,0.8821010734741392,0.5035470321796522,0.9334281857397952,0.06657181426020477,0.49645296782034765
15,Grid Search EO,Other,13251.0,0.20466445180142764,0.8142101622871257,0.537446971458767,0.9074486601608266,0.09255133983917345,0.46255302854123304
16,Exp. Grad. DP,Black,1402.0,0.14060587228874727,0.8354727594571241,0.39937139821689216,0.8943671329239387,0.10563286707606143,0.6006286017831078
17,Exp. Grad. DP,Other,13251.0,0.15683021368895456,0.800316883470017,0.4149569461859647,0.9301385804535887,0.06986141954641115,0.5850430538140353
18,Exp. Grad. EO,Black,1402.0,0.14870219968154716,0.8408184065423617,0.4554844870533358,0.8928038945857126,0.10719610541428748,0.5445155129466642
19,Exp. Grad. EO,Other,13251.0,0.16641207943322672,0.7979008968744405,0.4291791582282685,0.9221199067368329,0.07788009326316711,0.5708208417717315
20,DI Score LR,,1402.0,0.20559750842553157,0.8619034779092155,0.7827895691115409,0.8724041655707608,0.12759583442923914,0.2172104308884591
21,DI Score LR,,13251.0,0.20342089320994133,0.8265498564400942,0.5594548371087257,0.916532023920964,0.08346797607903587,0.4405451628912743
22,DI Score SVM,,1402.0,0.2925797387847453,0.7955822108092744,0.869903224062389,0.7854305862253463,0.21456941377465374,0.13009677593761115
23,DI Score SVM,,13251.0,0.312536354494364,0.7950563165837041,0.7134715754430228,0.8225401957944692,0.1774598042055307,0.28652842455697713
24,Equal. Oppor. DP,,1402.0,0.19934515921091273,0.8624805609998634,0.7584239450445459,0.8762770091591381,0.12372299084086177,0.24157605495545414
25,Equal. Oppor. DP,,13251.0,0.20356431668009667,0.826391398895419,0.5594244930886768,0.9163301404671345,0.0836698595328659,0.4405755069113232
26,Equal. Oppor. EO,,1402.0,0.19945959041651537,0.816271608017685,0.5655286348460403,0.8499353802218389,0.15006461977816118,0.4344713651539597
27,Equal. Oppor. EO,,13251.0,0.20364723204543694,0.8263235796927578,0.5594551409897217,0.9162295043834779,0.08377049561652199,0.44054485901027834
