,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8333993038968129,0.5458642327438676,0.9238360096887055,0.07616399031129452,0.45413576725613236,0.1386261710304279,0.31313860731717263,0.19778325421680484,0.28347058127560876
1,Massaging,0.8299870333720059,0.5702224757558472,0.9116892437427111,0.08831075625728894,0.42977752424415294,0.012596570122313803,0.9411386842190916,0.22258965906498535,0.659633866850227
2,Pref. Sampling,0.8204463249846446,0.40510553337136346,0.9510810083430519,0.04891899165694806,0.5948944666286367,0.07451805724178673,0.6330739657131698,0.3914585758099185,0.3222484215290205
3,Reweighing,0.8325257626424623,0.5391899600684541,0.9247869381896475,0.07521306181035256,0.4608100399315459,0.0706672148235026,0.6342441056836845,0.06127620250260155,0.7690276216689088
4,Corr. Remover,0.8271275506722173,0.5054192812321734,0.9283125504620078,0.07168744953799229,0.4945807187678266,0.04394772056842454,0.7586347950303848,0.10176175823164738,0.7905442587816099
5,DI Remover,0.8330785504674809,0.550969766115231,0.9218085583565084,0.07819144164349152,0.4490302338847689,0.10666100420562567,0.4716465735307528,0.07273393117070309,0.5039050870434998
6,Grid Search DP,0.823380877635979,0.4948374215630347,0.9267157082623128,0.07328429173768727,0.5051625784369651,0.06436164259582626,0.6504576246932076,0.0822367635313852,0.8011100767912266
7,Grid Search EO,0.8206988330034803,0.5357672561323447,0.9103166771328608,0.08968332286713913,0.46423274386765545,0.08623770071313588,0.5809631727633484,0.053716273590294614,0.6985325137980783
8,Exp. Grad. DP,0.8036784276257422,0.41423274386765546,0.9261684758230914,0.0738315241769086,0.5857672561323446,0.01764906942545283,0.8886095663085204,0.04614573880487424,0.6669202655082391
9,Exp. Grad. EO,0.8020064150685865,0.43046206503137474,0.9188660626177448,0.0811339373822553,0.5695379349686253,0.017709879751679564,0.8950501288584649,0.05088157025527076,0.7319204822810683
10,DI Score LR,0.8299256125025594,0.5701083856246434,0.9116443886247423,0.08835561137525791,0.42989161437535656,0.013719401190383364,0.9359022603855729,0.2233347320028153,0.6541273428804679
11,DI Score SVM,0.7951068040674264,0.7209355390758699,0.8184354534852426,0.18156454651475734,0.27906446092413006,0.01995661570961873,0.9365060997108557,0.15643164861936598,0.8080046391906175
12,Equal. Oppor. DP,0.8298368934689142,0.568938961779806,0.9118955772853685,0.08810442271463173,0.431061038220194,0.015155130226279238,0.9280876404811058,0.19899945195586904,0.6790887327001358
13,Equal. Oppor. EO,0.8253599945403671,0.5597547062179121,0.9088992554050417,0.09110074459495829,0.4402452937820879,0.019540254687977387,0.9086223946841476,0.07187922529383589,0.5655519332888855
