,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8291134921176551,0.5131203650884198,0.9285009419574773,0.07149905804252266,0.48687963491158015,0.04624895729475487,0.7451607641390218,0.06390660995924158,0.8886788084580953
18,Corr. Remover,1,0.8299324370436089,0.5094124358243012,0.9307436978559254,0.06925630214407463,0.4905875641756988,0.038007643440742145,0.7867545733903107,0.11057200419649249,0.82018088206429
32,Corr. Remover,2,0.8265884119292978,0.5031374786081004,0.9283215214856015,0.07167847851439849,0.4968625213918996,0.04886769572387922,0.7278808523409365,0.14184307043636463,0.777922465478419
46,Corr. Remover,3,0.8264519211083055,0.5005704506560182,0.9289494931371669,0.07105050686283305,0.49942954934398176,0.048130607055639985,0.7302243859917279,0.06665294848007142,0.8818112666126569
60,Corr. Remover,4,0.8267931481607862,0.5114090131203651,0.9259890553512156,0.07401094464878442,0.4885909868796349,0.03501390962284226,0.8076485968666339,0.0631727923832397,0.8345547408648961
74,Corr. Remover,5,0.8276120930867399,0.5014261266400456,0.9302054364402979,0.06979456355970216,0.49857387335995434,0.024539484461826105,0.8600953983455392,0.08365720948309369,0.8040142724427061
88,Corr. Remover,6,0.8218112331945676,0.48260125499144324,0.9285009419574773,0.07149905804252266,0.5173987450085568,0.010904700822455288,0.9361942604856512,0.19945433870872464,0.7035632764145561
102,Corr. Remover,7,0.8282945471917014,0.517969195664575,0.9258993451152776,0.07410065488472235,0.482030804335425,0.10695646719357672,0.43792853375527424,0.13276142197959312,0.5419354838709678
116,Corr. Remover,8,0.8263154302873131,0.5102681118083285,0.9257199246434018,0.07428007535659818,0.4897318881916714,0.05395148358404733,0.7068376498197972,0.010043818547908034,0.8791977420522253
130,Corr. Remover,9,0.8283627926021975,0.5042783799201369,0.9302951466762358,0.06970485332376423,0.4957216200798631,0.026856256484481505,0.8476229351689564,0.14555336814174447,0.7735836495572864
5,DI Remover,0,0.8344366341363544,0.5607529948659441,0.9205167309590024,0.07948326904099758,0.4392470051340559,0.10260709325691597,0.49755428163725446,0.07663993738555147,0.5987616397431728
19,DI Remover,1,0.8350508428308197,0.5564746149458072,0.9226697766215125,0.07733022337848748,0.4435253850541928,0.11447890308944685,0.43608067120261695,0.10150869472374646,0.49745259279629317
33,DI Remover,2,0.8354603152937965,0.5479178551055334,0.9258993451152776,0.07410065488472235,0.45208214489446663,0.11092550473747183,0.439963537414966,0.04815359194807913,0.3941335864423386
47,DI Remover,3,0.8300689278646011,0.5462065031374786,0.9193504978918094,0.08064950210819054,0.4537934968625214,0.10071397282477454,0.5005370655573471,0.04199976140425935,0.5074212379987455
61,DI Remover,4,0.8362792602197502,0.5755847119224187,0.9182739750605544,0.08172602493944559,0.4244152880775813,0.1024952061669927,0.5113214522383663,0.0765484410515932,0.5973522930725795
75,DI Remover,5,0.832866989694943,0.5171135196805476,0.9321790616309321,0.06782093836906791,0.48288648031945236,0.08973817659076351,0.5118876292985582,0.05781513149371681,0.521705816907026
89,DI Remover,6,0.8298641916331126,0.5350827153451226,0.9225800663855745,0.07741993361442541,0.46491728465487736,0.10874238716840394,0.44888609669489205,0.048928284546073626,0.4094636156308848
103,DI Remover,7,0.8304101549170818,0.5704506560182544,0.9121736790167758,0.08782632098322418,0.4295493439817456,0.1266795532929677,0.4111484025552568,0.122667557957088,0.42459088898717384
117,DI Remover,8,0.8331399713369276,0.573873359954364,0.9146855656230376,0.08531443437696241,0.42612664004563605,0.11863258288802057,0.4460589848634135,0.11886116477556169,0.5504215932903217
131,DI Remover,9,0.8332082167474237,0.5262407301768397,0.9297568852606083,0.07024311473939177,0.4737592698231603,0.09159666204049907,0.5130276138448557,0.03421674642136104,0.5377476055664631
10,DI Score LR,0,0.8305466457380741,0.5733029092983457,0.9114559971292725,0.08854400287072756,0.4266970907016543,0.005805859838405453,0.9723260757528269,0.22732441372792245,0.6317575582730562
24,DI Score LR,1,0.8325257626424623,0.569594980034227,0.9152238270386651,0.08477617296133488,0.43040501996577296,0.0097955787168921,0.9514401880230744,0.1972258585633513,0.675343030605546
38,DI Score LR,2,0.8308878727905549,0.5661722760981175,0.9141473042074101,0.08585269579258993,0.4338277239018825,0.017444729495208644,0.913829668281774,0.22439329617543147,0.7125540420893234
52,DI Score LR,3,0.8267249027502901,0.5564746149458072,0.9117251278370863,0.08827487216291378,0.4435253850541928,0.017550486450619046,0.9188144716175006,0.2768760201448083,0.6311183755028351
66,DI Score LR,4,0.8339589162628813,0.5861380490587564,0.9119045483089621,0.08809545169103795,0.41386195094124356,0.013495712361439982,0.9385049740941505,0.23111206415919716,0.6026002190264849
80,DI Score LR,5,0.8284992834231898,0.5644609241300628,0.9115457073652103,0.08845429263478963,0.43553907586993723,0.03042800295048917,0.8676381871653721,0.24419290063479726,0.574133901647628
94,DI Score LR,6,0.826247184876817,0.5570450656018254,0.9109177357136449,0.08908226428635507,0.44295493439817457,0.005110702698041425,0.9746416537412419,0.23142610313662948,0.7024521531100478
108,DI Score LR,7,0.8297277008121204,0.5787221905305191,0.908674979815197,0.09132502018480308,0.4212778094694809,0.01569565772416237,0.9250478745990305,0.1876593413735157,0.7430069930069929
122,DI Score LR,8,0.8295229645806319,0.5795778665145465,0.9081367183995694,0.09186328160043061,0.4204221334854535,0.009667261239661024,0.9538625493100278,0.1486290622477393,0.6421956449406632
136,DI Score LR,9,0.8306148911485702,0.569594980034227,0.9127119404324033,0.08728805956759667,0.43040501996577296,0.012200020428914438,0.9429169612707314,0.2645082598647608,0.6261115106021011
11,DI Score SVM,0,0.7941718419436293,0.726468910439247,0.8154660446756975,0.1845339553243025,0.273531089560753,0.006311585638289707,0.9799499246282452,0.19617594069348454,0.7852668757274021
25,DI Score SVM,1,0.798744284446871,0.7253280091272105,0.8218354714272899,0.17816452857271015,0.2746719908727895,0.03481824096457198,0.888559746528427,0.14466943338068305,0.8324332462281296
39,DI Score SVM,2,0.7928751791442026,0.708499714774672,0.819413295056966,0.180586704943034,0.291500285225328,0.0234232680471268,0.9242302730220718,0.12273274227240782,0.8047783721648626
53,DI Score SVM,3,0.7950590322800791,0.7113519680547633,0.8213869202476003,0.17861307975239976,0.28864803194523675,0.0012618102676267284,0.9958791434078197,0.19348920913491718,0.7802680762891732
67,DI Score SVM,4,0.8003139288882822,0.7338847689674843,0.8212074997757244,0.1787925002242756,0.26611523103251566,0.0013709611688801915,0.9956022328210661,0.1598061500192992,0.7545969808437671
81,DI Score SVM,5,0.7957414863850406,0.7147746719908727,0.8212074997757244,0.1787925002242756,0.2852253280091272,0.003488158171875533,0.9886515050252106,0.15926609664464308,0.8015175028853441
