,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,Female,4889,0.11863366741664962,0.9065248517079157,0.6171428571428571,0.9413382218148487,0.05866177818515124,0.38285714285714284
9,Corr. Remover,0,Male,9764,0.20227365833674724,0.7912740680049161,0.4894330761489433,0.9239274657231313,0.07607253427686864,0.5105669238510567
36,Corr. Remover,1,Female,4840,0.12458677685950413,0.9018595041322314,0.6226053639846744,0.935618341824919,0.06438165817508106,0.3773946360153257
37,Corr. Remover,1,Male,9813,0.20126362987873228,0.7946601447060022,0.4932975871313673,0.9263435349245863,0.07365646507541368,0.5067024128686327
64,Corr. Remover,2,Female,4879,0.12728018036482885,0.8969051035048166,0.6121673003802282,0.9313117390305536,0.06868826096944636,0.38783269961977185
65,Corr. Remover,2,Male,9774,0.2038060159607121,0.7927153673010027,0.4942953020134228,0.923609066823668,0.07639093317633205,0.5057046979865771
92,Corr. Remover,3,Female,4866,0.12166050143855323,0.9079325935059597,0.6374045801526718,0.9405803777061262,0.05941962229387379,0.36259541984732824
93,Corr. Remover,3,Male,9787,0.1932154899356289,0.7928885255951773,0.47719651240778,0.9312270389419545,0.06877296105804555,0.52280348759222
120,Corr. Remover,4,Female,4840,0.1231404958677686,0.900206611570248,0.6076190476190476,0.9358053302433372,0.0641946697566628,0.3923809523809524
121,Corr. Remover,4,Male,9813,0.2015693467848772,0.7940487108937124,0.49278765514927875,0.9254976580796253,0.0745023419203747,0.5072123448507212
148,Corr. Remover,5,Female,4840,0.11880165289256199,0.9006198347107438,0.5907335907335908,0.9377602961591855,0.06223970384081444,0.4092664092664093
149,Corr. Remover,5,Male,9813,0.19657597065117702,0.7905839192907368,0.4789156626506024,0.927032967032967,0.07296703296703297,0.5210843373493976
176,Corr. Remover,6,Female,4881,0.12845728334357714,0.8955132145052244,0.6122840690978887,0.9293577981651376,0.07064220183486239,0.3877159309021113
177,Corr. Remover,6,Male,9772,0.20333606221858372,0.7906262791649611,0.4901172529313233,0.9227935759540298,0.07720642404597024,0.5098827470686768
204,Corr. Remover,7,Female,4815,0.12087227414330218,0.9017653167185877,0.6066536203522505,0.9368029739776952,0.06319702602230483,0.3933463796477495
205,Corr. Remover,7,Male,9838,0.19912583858507826,0.7938605407603171,0.48848080133555927,0.9275171708315066,0.07248282916849336,0.5115191986644407
232,Corr. Remover,8,Female,4948,0.12388843977364591,0.8981406628940987,0.5964601769911504,0.9370294318959617,0.06297056810403832,0.40353982300884955
