,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,Female,4862.2,0.04825542424409767,0.9131634662562342,0.32136931890675474,0.984716709620805,0.015283290379195052,0.6786306810932453
1,Unmitigated-LR,Male,9790.8,0.2571664507791247,0.7969167635158165,0.5888045968478897,0.8880536675907909,0.1119463324092091,0.4111954031521103
2,Massaging,Female,4862.2,0.20555683679362463,0.8560211807923885,0.7855437879880767,0.8645327659150327,0.13546723408496736,0.21445621201192333
3,Massaging,Male,9790.8,0.22204916833026928,0.7938317620482719,0.526080019047283,0.911083007938506,0.0889169920614941,0.4739199809527171
4,Pref. Sampling,Female,4862.2,0.19940857251917316,0.8617978337253488,0.7837807069214058,0.8712168325311005,0.12878316746889937,0.21621929307859408
5,Pref. Sampling,Male,9790.8,0.15330366745611418,0.7809379897872887,0.3920353374186857,0.9512361496220827,0.04876385037791735,0.6079646625813143
6,Reweighing,Female,4862.2,0.11019522897131587,0.9064508966288203,0.5772955063430484,0.946241651990223,0.05375834800977693,0.42270449365695156
7,Reweighing,Male,9790.8,0.20827933915970126,0.792607050863203,0.5014603290187065,0.9201018289590156,0.07989817104098437,0.49853967098129354
8,Corr. Remover,Female,4862.2,0.1225687772929579,0.9010172502536724,0.609397969736345,0.9362612384833513,0.06373876151664871,0.390602030263655
9,Corr. Remover,Male,9790.8,0.20037740513432828,0.7918342249398671,0.4872173288734616,0.9252272338386067,0.0747727661613932,0.5127826711265384
10,DI Remover,Female,4862.2,0.06124871078978518,0.9146009082703657,0.38814428756274727,0.9782394490490208,0.021760550950979167,0.6118557124372528
11,DI Remover,Male,9790.8,0.2415911791815566,0.7955488915380077,0.5609804642129635,0.8982664048753881,0.10173359512461193,0.43901953578703645
12,Grid Search DP,Female,4862.2,0.12295166604927026,0.8781109263715333,0.5051028190103233,0.9232115333196802,0.07678846668031993,0.4948971809896768
13,Grid Search DP,Male,9790.8,0.22761900463294132,0.7885064229188969,0.526477690501419,0.9032496620713795,0.09675033792862053,0.4735223094985809
14,Grid Search EO,Female,4862.2,0.17387839365784968,0.8178979735385049,0.46288627503994784,0.8609887419199008,0.13901125808009912,0.5371137249600522
15,Grid Search EO,Male,9790.8,0.1952931647989506,0.750180962296849,0.41042529462210176,0.8989459980122094,0.10105400198779058,0.5895747053778982
16,Exp. Grad. DP,Female,4862.2,0.19666708175154096,0.8120333553352908,0.540382792964741,0.8448673343625133,0.15513266563748668,0.45961720703525905
17,Exp. Grad. DP,Male,9790.8,0.21315793422678325,0.7759242511128277,0.4820784348942578,0.9046012182736558,0.0953987817263441,0.5179215651057423
18,Exp. Grad. EO,Female,4862.2,0.17561671985139796,0.8240915125422003,0.49879008011539056,0.8634110856485482,0.13658891435145185,0.5012099198846094
19,Exp. Grad. EO,Male,9790.8,0.1914618681352931,0.7662662359572858,0.4306233770813347,0.9132597753736423,0.08674022462635757,0.5693766229186653
20,DI Score LR,,4862.2,0.2057007762475183,0.8558365477272337,0.7853585303233669,0.8643485596335001,0.13565144036649981,0.214641469676633
21,DI Score LR,,9790.8,0.2220388829653826,0.7938214766833853,0.526046238324376,0.911083007938506,0.0889169920614941,0.47395376167562403
22,DI Score SVM,,4862.2,0.2680427136418206,0.7826089930594305,0.7349695578616104,0.7883740392752333,0.2116259607247668,0.26503044213838944
23,DI Score SVM,,9790.8,0.30843145760446156,0.7648956703805864,0.6203942165316271,0.8281753252030161,0.1718246747969839,0.379605783468373
24,Equal. Oppor. DP,,4862.2,0.2072637120399475,0.8543558424100324,0.7857394827043194,0.8626327870461038,0.1373672129538962,0.21426051729568063
25,Equal. Oppor. DP,,9790.8,0.2089987062926777,0.7878425859674281,0.49483637900872635,0.916161280493902,0.08383871950609786,0.5051636209912737
26,Equal. Oppor. EO,,4862.2,0.2220908957014686,0.8056055515663305,0.6284651685967032,0.8270174100909523,0.17298258990904766,0.37153483140329674
27,Equal. Oppor. EO,,9790.8,0.2219564886829314,0.7936785561296688,0.5256776708213899,0.9110395877789509,0.08896041222104902,0.47432232917861006
