,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8354876134579949,0.5487450085567598,0.9256750695254328,0.07432493047456715,0.45125499144324016,0.208911026535027,0.18770935237641542,0.267435277941135,0.13668580235612807
1,Massaging,0.8144680270251825,0.5648887621220765,0.892966717502467,0.10703328249753297,0.4351112378779236,0.01649233153664461,0.9257110859468639,0.2594637689407937,0.6501592734547793
2,Pref. Sampling,0.8077663277144612,0.4506274957216201,0.9200950928500943,0.0799049071499058,0.5493725042783799,0.046104905063059004,0.7690732227341901,0.39174536950272015,0.37865206239078975
3,Reweighing,0.8303828567528834,0.512778094694809,0.9302772046290482,0.06972279537095183,0.48722190530519105,0.09808411018838539,0.5291162384167544,0.07583517732434206,0.6730317149341066
4,Corr. Remover,0.8280625127960144,0.5054763262977752,0.9295236386471697,0.07047636135283035,0.49452367370222483,0.07780862784137037,0.6117001278437104,0.12218064086288352,0.7954811546848805
5,DI Remover,0.8350508428308195,0.5350827153451225,0.9293980443168565,0.07060195568314344,0.4649172846548774,0.18034246839177145,0.2539061046017467,0.17283617665021633,0.21488135348447263
6,Grid Search DP,0.8182351736845697,0.5232458642327439,0.9110164169731766,0.08898358302682338,0.47675413576725606,0.1046673385836711,0.5401973012119249,0.02773245653307239,0.793820507341985
7,Grid Search EO,0.7727154848836416,0.4181973759269823,0.8842199694985199,0.1157800305014802,0.5818026240730176,0.03200006748465297,0.8450563080140358,0.0748599084349673,0.5787447901606988
8,Exp. Grad. DP,0.7879000887190337,0.49078722190530516,0.8813492419485064,0.11865075805149368,0.5092127780946949,0.01649085247524228,0.9230078034458321,0.06691158852105518,0.6165148673115992
9,Exp. Grad. EO,0.7854432539411724,0.4407586993725043,0.8938548488382525,0.10614515116174754,0.5592413006274957,0.015845148283895112,0.91827239399098,0.07101951835940352,0.6354420699439288
10,DI Score LR,0.8143997816146864,0.5648317170564747,0.8928949493137168,0.10710505068628329,0.43516828294352533,0.016338106717864263,0.9264057072163674,0.259312291998991,0.6495240538923088
11,DI Score SVM,0.7707704906845014,0.6375071306332002,0.8126850273616218,0.18731497263837804,0.36249286936679975,0.04038874396264094,0.8691454857906319,0.11457534132998348,0.8118411342173246
12,Equal. Oppor. DP,0.8099024090629904,0.5383057615516258,0.8953260967076343,0.10467390329236566,0.46169423844837426,0.0037394903966561422,0.9821174737799222,0.2909031036955929,0.6075158426559017
13,Equal. Oppor. EO,0.7976387087968334,0.5410439247005133,0.8783439490445859,0.12165605095541401,0.4589560752994866,0.003258359558928961,0.9855306620186945,0.1037080716677885,0.5145187465985757
