,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8297277008121204,0.5085567598402738,0.9307436978559254,0.06925630214407463,0.4914432401597262,0.08363999092009762,0.5865008246360338,0.12770978099391378,0.771129537654808
18,Corr. Remover,1,0.8300689278646011,0.5125499144324016,0.9299363057324841,0.07006369426751592,0.4874500855675984,0.07667685301922815,0.6190228057328173,0.12930777685330708,0.7923118168694576
32,Corr. Remover,2,0.8274073568552515,0.5119794637763834,0.926617027002781,0.07338297299721898,0.48802053622361663,0.07652583559588325,0.624516306669597,0.11787199836680534,0.807451331860436
46,Corr. Remover,3,0.8310926090220433,0.5011409013120365,0.9348703687090697,0.0651296312909303,0.49885909868796346,0.07155498849707567,0.6296622567843048,0.16020806774489177,0.7486556062924452
60,Corr. Remover,4,0.8291134921176551,0.5099828864803194,0.9294877545527944,0.07051224544720552,0.4900171135196805,0.0784288509171086,0.6109088402176003,0.11483139246976887,0.8110141659980293
74,Corr. Remover,5,0.8269296389817785,0.49543639475185397,0.9311922490356149,0.06880775096438503,0.504563605248146,0.07777431775861503,0.6043549091937329,0.11181792808298835,0.8107134420033073
88,Corr. Remover,6,0.8255647307718555,0.5082715345122647,0.9253610836996501,0.07463891630034987,0.4917284654877353,0.07487877887500657,0.6317486526590014,0.12216681616656538,0.8004736325304684
102,Corr. Remover,7,0.8293182283491435,0.5057045065601825,0.9311025387996771,0.06889746120032296,0.49429549343981743,0.07825356444177609,0.607014514048906,0.11817281901669119,0.8052054499434542
116,Corr. Remover,8,0.8270661298027707,0.5077010838562465,0.9275141293621603,0.07248587063783977,0.49229891614375354,0.07961490901563795,0.6087783837991056,0.10581073802481239,0.8006257944656301
130,Corr. Remover,9,0.824336313382925,0.4934398174557901,0.9284112317215394,0.07158876827846057,0.50656018254421,0.0807381893732747,0.5944937846960056,0.11390909090909096,0.8072307692307692
5,DI Remover,0,0.8359380331672696,0.560467769537935,0.9225800663855745,0.07741993361442541,0.439532230462065,0.19754804090380387,0.23700194961046628,0.19768949377805467,0.18999343249354272
19,DI Remover,1,0.8387360949976114,0.5462065031374786,0.9307436978559254,0.06925630214407463,0.4537934968625214,0.181573797787216,0.2538594314547946,0.17133267593191787,0.20870488265040701
33,DI Remover,2,0.8341636524943697,0.5213918996006845,0.9325379025746837,0.06746209742531623,0.47860810039931545,0.17516393132886865,0.252705253248205,0.18621098833796917,0.23387575512968314
47,DI Remover,3,0.8341636524943697,0.5062749572162007,0.9372925450793935,0.06270745492060645,0.4937250427837992,0.16263290538112432,0.27020254701280894,0.14424588241919717,0.23754037989159177
61,DI Remover,4,0.837098205145704,0.5268111808328579,0.9346909482371939,0.06530905176280613,0.47318881916714206,0.16861778059632482,0.27140190180901125,0.1513848021597099,0.237622167427267
75,DI Remover,5,0.8351190882413158,0.5462065031374786,0.9259890553512156,0.07401094464878442,0.4537934968625214,0.18697479646244272,0.2483475306489347,0.18559695668129406,0.21286759721383255
89,DI Remover,6,0.8323210264109738,0.5345122646891044,0.9259890553512156,0.07401094464878442,0.4654877353108956,0.18188405961180226,0.2569519103149952,0.1611461015892,0.21471053464093642
103,DI Remover,7,0.8378489046611616,0.5256702795208215,0.9360366017762627,0.06396339822373732,0.47432972047917854,0.1731962253723192,0.2513600767957485,0.15719153579514455,0.2009372962878134
117,DI Remover,8,0.8327987442844469,0.5447803764974329,0.9233874585090158,0.07661254149098412,0.455219623502567,0.19295404822206588,0.2396999439727367,0.20846319805737018,0.18632236336645464
131,DI Remover,9,0.8323210264109738,0.5385054192812322,0.9247331120480847,0.07526688795191532,0.4614945807187678,0.18287909825174664,0.25753050114976545,0.1651001317523057,0.2262391257431978
10,DI Score LR,0,0.8129393298300689,0.5684540787221906,0.8898358302682337,0.11016416973176639,0.4315459212778095,0.012797835839286398,0.9428893651120693,0.27456494305202794,0.6475781919234843
24,DI Score LR,1,0.8160786187128916,0.5724472333143183,0.892706557818247,0.10729344218175293,0.4275527666856817,0.014492855235886282,0.9351193483440912,0.2660087516563434,0.64081928278736
38,DI Score LR,2,0.8129393298300689,0.5644609241300628,0.8910917735713645,0.10890822642863551,0.43553907586993723,0.017567113086981195,0.9214901859569482,0.23282721310638732,0.6449485082851422
52,DI Score LR,3,0.8158738824814031,0.5547632629777525,0.8979994617385844,0.10200053826141563,0.4452367370222476,0.013992617348789399,0.9349117176841246,0.2699312925901465,0.6414362299740697
66,DI Score LR,4,0.8160786187128916,0.5693097547062179,0.8936933704135642,0.10630662958643582,0.4306902452937821,0.020889413015118236,0.9067389399830049,0.23995527227999547,0.6655193827396004
80,DI Score LR,5,0.814372483450488,0.560467769537935,0.8942316318291917,0.10576836817080829,0.439532230462065,0.016501870094738552,0.9249963634832471,0.2507042326319435,0.6451879171057253
94,DI Score LR,6,0.8123251211356036,0.5661722760981175,0.8897461200322957,0.11025387996770432,0.4338277239018825,0.010015696541251146,0.9550214215987564,0.2953802923767912,0.6387485156612484
108,DI Score LR,7,0.8173070361018222,0.5658870507701084,0.8963846774917018,0.10361532250829819,0.43411294922989163,0.02458580826629192,0.8894032090883494,0.2218256781524327,0.6545225086222076
122,DI Score LR,8,0.8123933665460997,0.5693097547062179,0.8888490176729165,0.11115098232708352,0.4306902452937821,0.013239868772274427,0.941220070249349,0.2644588409817864,0.6657287580431559
136,DI Score LR,9,0.8136900293455265,0.5570450656018254,0.8944110523010675,0.10558894769893244,0.44295493439817457,0.019297988978025066,0.9122664506637335,0.2774664031620553,0.6507512437810946
11,DI Score SVM,0,0.7705589299119634,0.6380490587564176,0.8122364761819324,0.18776352381806763,0.3619509412435824,0.03030052918334758,0.9008530941869284,0.12774684110477474,0.7681362735980412
25,DI Score SVM,1,0.7676243772606293,0.6337706788362807,0.8097245895756706,0.1902754104243294,0.3662293211637193,0.03039718774134159,0.9008022602907266,0.11517878236931578,0.7734780730716486
39,DI Score SVM,2,0.7711731386064287,0.6371933827723902,0.8133129990131874,0.1866870009868126,0.3628066172276098,0.047861585754845726,0.8458143905181733,0.09357567560670632,0.834201866040051
53,DI Score SVM,3,0.7726062922268477,0.6374786081003994,0.8151072037319458,0.1848927962680542,0.3625213918996007,0.03649900715070714,0.8804498718259803,0.13005002022311996,0.7975753122703894
67,DI Score SVM,4,0.7715143656589094,0.6400456360524814,0.8128644478334978,0.1871355521665022,0.35995436394751856,0.04665789520226582,0.8499331610554459,0.1029964377565854,0.8371867648863373
81,DI Score SVM,5,0.7687163038285675,0.6366229321163719,0.8102628509912981,0.1897371490087019,0.36337706788362806,0.04530511894745798,0.8546176807614764,0.11377814992272817,0.8401668298698002
