,algorithm,run_id,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,African-American,958,0.558455114822547,0.964509394572025,0.9940828402366864,0.9312638580931264,0.06873614190687362,0.005917159763313609
9,Corr. Remover,0,Other,893,0.3964165733482643,0.9776035834266518,0.9970238095238095,0.9658886894075404,0.03411131059245961,0.002976190476190476
36,Corr. Remover,1,African-American,939,0.556975505857295,0.9542066027689031,0.9878048780487805,0.9172259507829977,0.08277404921700224,0.012195121951219513
37,Corr. Remover,1,Other,912,0.40460526315789475,0.9758771929824561,0.9943019943019943,0.964349376114082,0.035650623885918005,0.005698005698005698
64,Corr. Remover,2,African-American,918,0.5501089324618736,0.9596949891067538,0.9895397489539749,0.9272727272727272,0.07272727272727272,0.010460251046025104
65,Corr. Remover,2,Other,933,0.41264737406216506,0.9657020364415863,0.9835616438356164,0.954225352112676,0.045774647887323945,0.01643835616438356
92,Corr. Remover,3,African-American,948,0.5527426160337553,0.959915611814346,0.9939024390243902,0.9232456140350878,0.07675438596491228,0.006097560975609756
93,Corr. Remover,3,Other,903,0.4130675526024363,0.9667774086378738,0.9886039886039886,0.9528985507246377,0.04710144927536232,0.011396011396011397
120,Corr. Remover,4,African-American,974,0.528747433264887,0.9537987679671458,0.9895833333333334,0.9190283400809717,0.08097165991902834,0.010416666666666666
121,Corr. Remover,4,Other,877,0.43671607753705816,0.9726339794754846,0.9944903581267218,0.9571984435797666,0.042801556420233464,0.005509641873278237
148,Corr. Remover,5,African-American,945,0.5481481481481482,0.9544973544973545,0.9896907216494846,0.9173913043478261,0.08260869565217391,0.010309278350515464
149,Corr. Remover,5,Other,906,0.41611479028697573,0.9724061810154525,0.9916201117318436,0.9598540145985401,0.040145985401459854,0.008379888268156424
176,Corr. Remover,6,African-American,982,0.5590631364562119,0.9521384928716904,0.9864341085271318,0.9141630901287554,0.08583690987124463,0.013565891472868217
177,Corr. Remover,6,Other,869,0.38895281933256615,0.9781357882623706,0.9877675840978594,0.9723247232472325,0.027675276752767528,0.012232415902140673
204,Corr. Remover,7,African-American,956,0.5627615062761506,0.9581589958158996,0.986328125,0.9256756756756757,0.07432432432432433,0.013671875
205,Corr. Remover,7,Other,895,0.3888268156424581,0.9787709497206704,0.9969788519637462,0.9680851063829787,0.031914893617021274,0.0030211480362537764
232,Corr. Remover,8,African-American,957,0.5402298850574713,0.9561128526645768,0.9917184265010351,0.919831223628692,0.08016877637130802,0.008281573498964804
233,Corr. Remover,8,Other,894,0.4228187919463087,0.9686800894854586,0.9861111111111112,0.9569288389513109,0.04307116104868914,0.013888888888888888
260,Corr. Remover,9,African-American,973,0.5570400822199383,0.9558067831449126,0.9921104536489151,0.9163090128755365,0.08369098712446352,0.007889546351084813
261,Corr. Remover,9,Other,878,0.4054669703872437,0.9681093394077449,0.9880952380952381,0.955719557195572,0.04428044280442804,0.011904761904761904
10,DI Remover,0,African-American,958,0.5594989561586639,0.9697286012526096,1.0,0.9356984478935698,0.06430155210643015,0.0
11,DI Remover,0,Other,893,0.3975363941769317,0.9787234042553191,1.0,0.9658886894075404,0.03411131059245961,0.0
38,DI Remover,1,African-American,939,0.5623003194888179,0.9616613418530351,1.0,0.9194630872483222,0.08053691275167785,0.0
39,DI Remover,1,Other,912,0.4057017543859649,0.9769736842105263,0.9971509971509972,0.964349376114082,0.035650623885918005,0.002849002849002849
