,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,African-American,955.0,0.5528976594731888,0.9619178965142087,0.9964056754074859,0.9248209877207392,0.07517901227926083,0.003594324592514278
1,Unmitigated-LR,Other,896.0,0.40866400321651086,0.9763651293727358,0.99595817171785,0.9638739851046146,0.03612601489538541,0.0040418282821500975
2,Massaging,African-American,955.0,0.5528976594731888,0.9619178965142087,0.9964056754074859,0.9248209877207392,0.07517901227926083,0.003594324592514278
3,Massaging,Other,896.0,0.40866400321651086,0.9763651293727358,0.99595817171785,0.9638739851046146,0.03612601489538541,0.0040418282821500975
4,Pref. Sampling,African-American,955.0,0.5528976594731888,0.9619178965142087,0.9964056754074859,0.9248209877207392,0.07517901227926083,0.003594324592514278
5,Pref. Sampling,Other,896.0,0.40866400321651086,0.9763651293727358,0.99595817171785,0.9638739851046146,0.03612601489538541,0.0040418282821500975
6,Reweighing,African-American,955.0,0.551530144002786,0.9609721418562902,0.9941919504401742,0.9252664308572939,0.07473356914270621,0.005808049559825762
7,Reweighing,Other,896.0,0.40933813138227093,0.9770392575384959,0.9976917841113873,0.9638739851046146,0.03612601489538541,0.002308215888612767
8,Corr. Remover,African-American,955.0,0.5514272360598278,0.9568839845223607,0.9901195074923731,0.9211406796921396,0.07885932030786036,0.009880492507626794
9,Corr. Remover,Other,896.0,0.4085633028303371,0.972469654885575,0.9908554691391931,0.9607472652314337,0.03925273476856632,0.009144530860807102
10,DI Remover,African-American,955.0,0.555291659512117,0.9605543148311251,0.9973849882830418,0.9209383564088552,0.07906164359114476,0.002615011716958111
11,DI Remover,Other,896.0,0.4090101515622435,0.9767112777184683,0.9968498020194053,0.9638739851046146,0.03612601489538541,0.003150197980594859
12,Grid Search DP,African-American,955.0,0.5387292113939693,0.94349422487046,0.9647784517210093,0.9204941698270226,0.07950583017297744,0.0352215482789907
13,Grid Search DP,Other,896.0,0.40967900532896523,0.960054750044366,0.9763861854737004,0.9495611330231188,0.05043886697688131,0.023613814526299834
14,Grid Search EO,African-American,955.0,0.5527958264792987,0.9618160635203188,0.9962118769578735,0.9248209877207392,0.07517901227926083,0.0037881230421266806
15,Grid Search EO,Other,896.0,0.4083357048332455,0.9760368309894704,0.9951199692212714,0.9638739851046146,0.03612601489538541,0.004880030778728657
16,Exp. Grad. DP,African-American,955.0,0.52126593727511,0.90543251886391,0.9112832992522671,0.8991448035358524,0.10085519646414784,0.088716700747733
17,Exp. Grad. DP,Other,896.0,0.4309168404702561,0.924406360874948,0.9578763560956908,0.903038241665824,0.09696175833417604,0.04212364390430908
18,Exp. Grad. EO,African-American,955.0,0.5536187201922653,0.959934609433572,0.9951986966345249,0.9220930399363698,0.07790696006363022,0.004801303365475087
19,Exp. Grad. EO,Other,896.0,0.409781186783993,0.9723656755284299,0.9922383296008048,0.9596712823767357,0.040328717623264385,0.007761670399195092
20,DI Score LR,,955.0,0.5618908634863868,0.9382292370730181,0.9822251854040772,0.8909284941405555,0.10907150585944436,0.017774814595922818
21,DI Score LR,,896.0,0.42104596306838094,0.9539638622518399,0.983075529388495,0.9353797062898753,0.06462029371012463,0.016924470611505087
22,DI Score SVM,,955.0,0.5008483196005606,0.9083835955007503,0.8945896336797944,0.9233244089173205,0.0766755910826795,0.10541036632020587
23,DI Score SVM,,896.0,0.4413693528146105,0.9358695415275371,0.9858940953740969,0.9040599105423015,0.09594008945769864,0.014105904625903132
24,Equal. Oppor. DP,,955.0,0.4026840141975458,0.831638532828374,0.7255274379517456,0.9455094211648154,0.05449057883518445,0.2744725620482544
25,Equal. Oppor. DP,,896.0,0.40922912438267095,0.9758000082065756,0.99595817171785,0.9629599213865128,0.03704007861348738,0.0040418282821500975
26,Equal. Oppor. EO,,955.0,0.5528976594731888,0.9619178965142087,0.9964056754074859,0.9248209877207392,0.07517901227926083,0.003594324592514278
27,Equal. Oppor. EO,,896.0,0.4265336115636358,0.9576223322827218,0.994853119125654,0.9340283552568291,0.0659716447431709,0.005146880874345876
