,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9688816855753647,0.9962040332147092,0.9460317460317459,0.053968253968253964,0.003795966785290628,0.14423365625667794,0.739823354508235,0.03905299738387541,0.48403034416789525
1,Massaging,0.9688816855753647,0.9962040332147092,0.9460317460317459,0.053968253968253964,0.003795966785290628,0.14423365625667794,0.739823354508235,0.03905299738387541,0.48403034416789525
2,Pref. Sampling,0.9688816855753647,0.9962040332147092,0.9460317460317459,0.053968253968253964,0.003795966785290628,0.14423365625667794,0.739823354508235,0.03905299738387541,0.48403034416789525
3,Reweighing,0.9687196110210696,0.9956109134045077,0.9462301587301585,0.053769841269841266,0.0043890865954922895,0.14219201262051515,0.7428424163982058,0.0386075542473208,0.48748559700434024
4,Corr. Remover,0.964397622906537,0.990391459074733,0.9426587301587303,0.05734126984126984,0.009608540925266904,0.1428639332294907,0.7415984564802443,0.03960658553929405,0.5002773517399304
5,DI Remover,0.968341437061048,0.9971530249110321,0.9442460317460316,0.05575396825396826,0.0028469750889679713,0.14628150794987343,0.7372609682811858,0.042935628695759336,0.46118974386053796
6,Grid Search DP,0.9514316585629388,0.9696322657176749,0.9362103174603174,0.06378968253968254,0.030367734282325032,0.12905020606500403,0.762193447856031,0.03834005784724094,0.583672108635376
7,Grid Search EO,0.968665586169638,0.9957295373665479,0.9460317460317459,0.053968253968253964,0.004270462633451958,0.1444601216460532,0.7393542909944817,0.03905299738387541,0.48403034416789525
8,Exp. Grad. DP,0.9145326850351163,0.9304863582443655,0.9011904761904763,0.09880952380952382,0.06951364175563465,0.09034909680485384,0.8276083520983493,0.0467159375018541,0.831252772580825
9,Exp. Grad. EO,0.9659103187466233,0.993950177935943,0.9424603174603174,0.057539682539682536,0.006049822064056939,0.14383753340827227,0.7407152185974996,0.037578242440365846,0.522007992591764
10,DI Score LR,0.9458130740140465,0.982562277580071,0.915079365079365,0.08492063492063491,0.017437722419928824,0.14084490041800585,0.7499907086675384,0.04445121214931974,0.5940240221017128
11,DI Score SVM,0.9216639654240952,0.9322657176749702,0.912797619047619,0.08720238095238095,0.06773428232502965,0.059478966785950126,0.8822666985884335,0.0913044616943027,0.7907317518703707
12,Equal. Oppor. DP,0.9014046461372232,0.8373665480427046,0.9549603174603176,0.04503968253968253,0.1626334519572954,0.02738228195043866,0.9355554164353629,0.27043073376610427,0.6426681475077909
13,Equal. Oppor. EO,0.959805510534846,0.9957295373665479,0.9297619047619048,0.07023809523809524,0.004270462633451958,0.12636404790955308,0.7720829528349442,0.014432755761349763,0.8314986816642721
