,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.9708265802269044,0.9952550415183867,0.9503968253968254,0.0496031746031746,0.004744958481613286,0.16203854147428265,0.7098450042385742,0.03462483131441401,0.4962645508773962
18,Corr. Remover,1,0.9648838465694219,0.9905100830367735,0.9434523809523809,0.05654761904761905,0.009489916963226572,0.1523702426994003,0.7264327764918989,0.04712342533108423,0.4306980777569013
32,Corr. Remover,2,0.9627228525121556,0.9869513641755635,0.9424603174603174,0.057539682539682536,0.013048635824436536,0.13746155839970858,0.7501193849288466,0.02695262483994878,0.6294014084507042
46,Corr. Remover,3,0.9632631010264722,0.9916963226571768,0.939484126984127,0.060515873015873016,0.00830367734282325,0.13967506343131897,0.7473054195937207,0.029652936689549964,0.613664596273292
60,Corr. Remover,4,0.9627228525121556,0.9916963226571768,0.9384920634920635,0.061507936507936505,0.00830367734282325,0.09203135572782889,0.8259445815943586,0.03817010349879488,0.5285992217898833
74,Corr. Remover,5,0.9632631010264722,0.9905100830367735,0.9404761904761905,0.05952380952380952,0.009489916963226572,0.13203335786117243,0.7591283336316449,0.042462710250714054,0.4859777180176719
88,Corr. Remover,6,0.9643435980551054,0.9869513641755635,0.9454365079365079,0.054563492063492064,0.013048635824436536,0.17011031712364572,0.6957225292979597,0.05816163311847711,0.3224169741697417
102,Corr. Remover,7,0.9681253376553215,0.9905100830367735,0.9494047619047619,0.050595238095238096,0.009489916963226572,0.17393469063369255,0.6909264605096467,0.042409430707303054,0.4294003868471953
116,Corr. Remover,8,0.9621826039978391,0.9893238434163701,0.939484126984127,0.060515873015873016,0.010676156583629894,0.11741109311116255,0.782664572326146,0.03709761532261888,0.5372560615020697
130,Corr. Remover,9,0.9616423554835224,0.9905100830367735,0.9375,0.0625,0.009489916963226572,0.15157311183269456,0.727895502189646,0.039410544320035476,0.5290945217144479
5,DI Remover,0,0.9740680713128039,1.0,0.9523809523809523,0.047619047619047616,0.0,0.16196256198173214,0.7105221373535459,0.030190241513970546,0.5304896923172167
19,DI Remover,1,0.9692058346839546,0.9988137603795967,0.9444444444444444,0.05555555555555555,0.0011862396204033216,0.15659856510285297,0.7215036881977671,0.04488628886575984,0.4426619132501486
33,DI Remover,2,0.968665586169638,0.99644128113879,0.9454365079365079,0.054563492063492064,0.0035587188612099642,0.14074704551345363,0.746157587855893,0.03223431498079385,0.5567781690140845
47,DI Remover,3,0.9654240950837385,0.9952550415183867,0.9404761904761905,0.05952380952380952,0.004744958481613286,0.1439470401054152,0.7410592143834277,0.03546910755148741,0.5507246376811594
61,DI Remover,4,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.10058557851926603,0.8115954740812209,0.047897729957938846,0.40846303501945525
75,DI Remover,5,0.9648838465694219,0.9940688018979834,0.9404761904761905,0.05952380952380952,0.005931198102016607,0.1330460072181926,0.7582144676515539,0.04646144081244049,0.45199326221224034
89,DI Remover,6,0.9675850891410048,0.99644128113879,0.9434523809523809,0.05654761904761905,0.0035587188612099642,0.1759554606624652,0.6897876797656358,0.06644441980900496,0.2799279155582253
103,DI Remover,7,0.9724473257698542,0.9952550415183867,0.9533730158730159,0.04662698412698413,0.004744958481613286,0.1825880647951193,0.6779442989960626,0.049501629288863334,0.3339780786589297
117,DI Remover,8,0.9670448406266883,0.9976275207591934,0.941468253968254,0.05853174603174603,0.002372479240806643,0.1161452525720057,0.785836210575319,0.03686056985729864,0.5277862131794715
131,DI Remover,9,0.9648838465694219,0.9976275207591934,0.9375,0.0625,0.002372479240806643,0.15123950302823153,0.7299889239514326,0.039410544320035476,0.5290945217144479
10,DI Score LR,0,0.9497568881685575,0.9810201660735468,0.9236111111111112,0.0763888888888889,0.018979833926453145,0.16471418852733044,0.7099334694684144,0.04634026918039704,0.5456638826008898
