,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,aged,258,0.7364341085271318,0.7945736434108527,0.8663101604278075,0.6056338028169014,0.39436619718309857,0.13368983957219252
9,Corr. Remover,0,young,42,0.8095238095238095,0.5476190476190477,0.8260869565217391,0.21052631578947367,0.7894736842105263,0.17391304347826086
36,Corr. Remover,1,aged,260,0.7961538461538461,0.7961538461538461,0.9184782608695652,0.5,0.5,0.08152173913043478
37,Corr. Remover,1,young,40,0.85,0.6,0.8461538461538461,0.14285714285714285,0.8571428571428571,0.15384615384615385
64,Corr. Remover,2,aged,253,0.7272727272727273,0.7509881422924901,0.8342541436464088,0.5416666666666666,0.4583333333333333,0.16574585635359115
65,Corr. Remover,2,young,47,0.723404255319149,0.6382978723404256,0.7931034482758621,0.3888888888888889,0.6111111111111112,0.20689655172413793
92,Corr. Remover,3,aged,256,0.734375,0.765625,0.8440860215053764,0.5571428571428572,0.44285714285714284,0.15591397849462366
93,Corr. Remover,3,young,44,0.7727272727272727,0.6363636363636364,0.875,0.35,0.65,0.125
120,Corr. Remover,4,aged,257,0.7859922178988327,0.754863813229572,0.8797814207650273,0.44594594594594594,0.5540540540540541,0.12021857923497267
121,Corr. Remover,4,young,43,0.8372093023255814,0.7441860465116279,0.9629629629629629,0.375,0.625,0.037037037037037035
148,Corr. Remover,5,aged,257,0.7431906614785992,0.7626459143968871,0.8494623655913979,0.5352112676056338,0.4647887323943662,0.15053763440860216
149,Corr. Remover,5,young,43,0.7906976744186046,0.7209302325581395,0.9583333333333334,0.42105263157894735,0.5789473684210527,0.041666666666666664
176,Corr. Remover,6,aged,250,0.768,0.76,0.8707865168539326,0.4861111111111111,0.5138888888888888,0.12921348314606743
177,Corr. Remover,6,young,50,0.82,0.66,0.875,0.2777777777777778,0.7222222222222222,0.125
204,Corr. Remover,7,aged,255,0.796078431372549,0.7803921568627451,0.893048128342246,0.47058823529411764,0.5294117647058824,0.10695187165775401
205,Corr. Remover,7,young,45,0.8444444444444444,0.5777777777777777,0.9130434782608695,0.22727272727272727,0.7727272727272727,0.08695652173913043
232,Corr. Remover,8,aged,257,0.7976653696498055,0.7587548638132295,0.8950276243093923,0.4342105263157895,0.5657894736842105,0.10497237569060773
233,Corr. Remover,8,young,43,0.7674418604651163,0.7209302325581395,0.8620689655172413,0.42857142857142855,0.5714285714285714,0.13793103448275862
260,Corr. Remover,9,aged,256,0.78125,0.765625,0.8804347826086957,0.4722222222222222,0.5277777777777778,0.11956521739130435
261,Corr. Remover,9,young,44,0.7954545454545454,0.6136363636363636,0.8461538461538461,0.2777777777777778,0.7222222222222222,0.15384615384615385
10,DI Remover,0,aged,258,0.9612403100775194,0.748062015503876,0.9893048128342246,0.11267605633802817,0.8873239436619719,0.0106951871657754
11,DI Remover,0,young,42,0.9523809523809523,0.5476190476190477,0.9565217391304348,0.05263157894736842,0.9473684210526315,0.043478260869565216
38,DI Remover,1,aged,260,0.8153846153846154,0.8,0.9347826086956522,0.47368421052631576,0.5263157894736842,0.06521739130434782
39,DI Remover,1,young,40,0.675,0.575,0.6923076923076923,0.35714285714285715,0.6428571428571429,0.3076923076923077
66,DI Remover,2,aged,253,0.7509881422924901,0.7747035573122529,0.8674033149171271,0.5416666666666666,0.4583333333333333,0.13259668508287292
67,DI Remover,2,young,47,0.5531914893617021,0.6382978723404256,0.6551724137931034,0.6111111111111112,0.3888888888888889,0.3448275862068966
94,DI Remover,3,aged,256,0.78125,0.78125,0.8870967741935484,0.5,0.5,0.11290322580645161
95,DI Remover,3,young,44,0.4772727272727273,0.6136363636363636,0.5833333333333334,0.65,0.35,0.4166666666666667
122,DI Remover,4,aged,257,0.867704280155642,0.7431906614785992,0.9289617486338798,0.28378378378378377,0.7162162162162162,0.07103825136612021
123,DI Remover,4,young,43,0.7674418604651163,0.813953488372093,0.9629629629629629,0.5625,0.4375,0.037037037037037035
150,DI Remover,5,aged,257,0.7782101167315175,0.77431906614786,0.8817204301075269,0.49295774647887325,0.5070422535211268,0.11827956989247312
151,DI Remover,5,young,43,0.6976744186046512,0.7209302325581395,0.875,0.5263157894736842,0.47368421052631576,0.125
178,DI Remover,6,aged,250,0.8,0.768,0.898876404494382,0.4444444444444444,0.5555555555555556,0.10112359550561797
179,DI Remover,6,young,50,0.6,0.68,0.71875,0.6111111111111112,0.3888888888888889,0.28125
206,DI Remover,7,aged,255,0.803921568627451,0.788235294117647,0.9037433155080213,0.47058823529411764,0.5294117647058824,0.0962566844919786
207,DI Remover,7,young,45,0.7111111111111111,0.5333333333333333,0.7391304347826086,0.3181818181818182,0.6818181818181818,0.2608695652173913
234,DI Remover,8,aged,257,0.7937743190661478,0.7626459143968871,0.8950276243093923,0.4473684210526316,0.5526315789473685,0.10497237569060773
235,DI Remover,8,young,43,0.627906976744186,0.627906976744186,0.6896551724137931,0.5,0.5,0.3103448275862069
262,DI Remover,9,aged,256,0.765625,0.7734375,0.875,0.5138888888888888,0.4861111111111111,0.125
263,DI Remover,9,young,44,0.75,0.6136363636363636,0.8076923076923077,0.3333333333333333,0.6666666666666666,0.19230769230769232
20,DI Score LR,0,aged,258,0.7325581395348837,0.7906976744186046,0.8609625668449198,0.6056338028169014,0.39436619718309857,0.13903743315508021
21,DI Score LR,0,young,42,0.9047619047619048,0.5476190476190477,0.9130434782608695,0.10526315789473684,0.8947368421052632,0.08695652173913043
48,DI Score LR,1,aged,260,0.7730769230769231,0.8038461538461539,0.907608695652174,0.5526315789473685,0.4473684210526316,0.09239130434782608
49,DI Score LR,1,young,40,0.925,0.575,0.8846153846153846,0.0,1.0,0.11538461538461539
76,DI Score LR,2,aged,253,0.7233201581027668,0.7470355731225297,0.8287292817679558,0.5416666666666666,0.4583333333333333,0.1712707182320442
77,DI Score LR,2,young,47,0.7872340425531915,0.6595744680851063,0.8620689655172413,0.3333333333333333,0.6666666666666666,0.13793103448275862
104,DI Score LR,3,aged,256,0.76171875,0.79296875,0.8817204301075269,0.5571428571428572,0.44285714285714284,0.11827956989247312
105,DI Score LR,3,young,44,0.6590909090909091,0.6136363636363636,0.75,0.45,0.55,0.25
132,DI Score LR,4,aged,257,0.7821011673151751,0.7587548638132295,0.8797814207650273,0.4594594594594595,0.5405405405405406,0.12021857923497267
