,algorithm,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,aged,255.9,0.7834690094264529,0.7764163223768307,0.8900094565184696,0.4881596491433843,0.5118403508566155,0.10999054348153034
1,Unmitigated-LR,young,44.1,0.6090337702321869,0.6332477207217435,0.7051840933165896,0.532484335839599,0.467515664160401,0.2948159066834104
2,Massaging,aged,255.9,0.7448157940055768,0.7611947620363821,0.8524788825999302,0.529111211163821,0.47088878883617913,0.14752111740006973
3,Massaging,young,44.1,0.7546136179780416,0.6470439515677021,0.8369496875493876,0.3668411559201033,0.6331588440798966,0.16305031245061233
4,Pref. Sampling,aged,255.9,0.6365453596173185,0.7319131813176016,0.7568161918659572,0.6692395175167818,0.33076048248321827,0.2431838081340429
5,Pref. Sampling,young,44.1,0.8349004571765581,0.6519627911260766,0.9063720543574366,0.26606212500949344,0.7339378749905066,0.09362794564256334
6,Reweighing,aged,255.9,0.7690524160924179,0.7736649514329741,0.8780537689714707,0.5087940562797756,0.4912059437202244,0.1219462310285293
7,Reweighing,young,44.1,0.7433079783485523,0.6453307729161267,0.8247762870701401,0.38122085516822357,0.6187791448317765,0.17522371292985986
8,Corr. Remover,aged,255.9,0.7666412362353491,0.7689622380159623,0.873166942491985,0.5048732635121245,0.49512673648787536,0.12683305750801505
9,Corr. Remover,young,44.1,0.8010903164678522,0.6459741209365157,0.87579068371797,0.3099724690514164,0.6900275309485836,0.12420931628202991
10,DI Remover,aged,255.9,0.8118098352335383,0.7713844008957123,0.9061917033693753,0.428105845347375,0.5718941546526248,0.09380829663062454
11,DI Remover,young,44.1,0.6811979535940447,0.6364313678239952,0.7680526056416235,0.4522327599301284,0.5477672400698717,0.23194739435837639
12,Grid Search DP,aged,255.9,0.7862169408675557,0.7666453247340089,0.8851596538481145,0.46610704586765284,0.5338929541323472,0.11484034615188547
13,Grid Search DP,young,44.1,0.7501803187740842,0.6336106523637448,0.820238451821098,0.35380544163438904,0.646194558365611,0.179761548178902
14,Grid Search EO,aged,255.9,0.7760121341532483,0.7744540100437917,0.8834156393586359,0.49791863304334416,0.5020813669566558,0.11658436064136406
15,Grid Search EO,young,44.1,0.6545886210661075,0.6200861045601272,0.7320270420345383,0.46128142325510746,0.5387185767448925,0.2679729579654617
16,Exp. Grad. DP,aged,255.9,0.7862399526805322,0.7705537190909614,0.8878836670219228,0.47264848338443155,0.5273515166155684,0.11211633297807735
17,Exp. Grad. DP,young,44.1,0.7424129486709892,0.640836620606289,0.8199176052999141,0.372243202703729,0.627756797296271,0.18008239470008586
18,Exp. Grad. EO,aged,255.9,0.7775956385800635,0.771294877657541,0.8823658251969494,0.48906402102309754,0.5109359789769026,0.1176341748030506
19,Exp. Grad. EO,young,44.1,0.702081699871408,0.6322075937147684,0.7811094052332808,0.41668242576137315,0.5833175742386268,0.21889059476671918
20,DI Score LR,,255.9,0.7643565502911109,0.7720672917733515,0.8736751623664958,0.5141303135897172,0.48586968641028283,0.12632483763350427
21,DI Score LR,,44.1,0.8178856412431376,0.6342334460031145,0.8778795431344155,0.27164331282752335,0.7283566871724767,0.1221204568655843
22,DI Score SVM,,255.9,0.6623054183157453,0.7530588188575084,0.7893286990745111,0.6609273950399185,0.3390726049600815,0.21067130092548886
23,DI Score SVM,,44.1,0.6732331225594462,0.6348601991499072,0.7595138328271761,0.45758933318143846,0.5424106668185615,0.24048616717282387
24,Equal. Oppor. DP,,255.9,0.7858130265591408,0.7764039192760556,0.8916194846939629,0.48401095819891876,0.5159890418010813,0.10838051530603728
25,Equal. Oppor. DP,,44.1,0.7899282094287041,0.6073218210949531,0.833491894544181,0.271217437533227,0.728782562466773,0.1665081054558191
26,Equal. Oppor. EO,,255.9,0.7823495048273259,0.7146367755639057,0.8460952767190217,0.37984132694342876,0.6201586730565712,0.15390472328097826
27,Equal. Oppor. EO,,44.1,0.7341282532685303,0.614849603335254,0.7934939981932112,0.3523725981620719,0.6476274018379282,0.20650600180678894
