,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7556666666666667,0.8666666666666668,0.4966666666666667,0.5033333333333333,0.13333333333333333,0.17443523919426612,0.7784355439678958,0.2114452650972724,0.7240994685245976
1,Massaging,0.7446666666666666,0.8504761904761905,0.4977777777777779,0.5022222222222222,0.14952380952380953,0.0737088675011976,0.905983107492462,0.18601516378949484,0.7486099428601631
2,Pref. Sampling,0.7203333333333334,0.7757142857142856,0.5911111111111111,0.40888888888888897,0.22428571428571428,0.19835509755923963,0.7682167192633557,0.40317739250728835,0.4620861253636076
3,Reweighing,0.755,0.8714285714285716,0.4833333333333333,0.5166666666666666,0.1285714285714286,0.06617264303026925,0.9149024090061845,0.1883494378682037,0.7536847796435056
4,Corr. Remover,0.7509999999999999,0.8733333333333336,0.4655555555555556,0.5344444444444443,0.12666666666666668,0.04126747646015668,0.9493717164364768,0.19885631019068606,0.7294090538050664
5,DI Remover,0.7516666666666667,0.8885714285714288,0.4322222222222223,0.5677777777777777,0.11142857142857143,0.13061188163949372,0.8352287746037904,0.18612552876448352,0.7611367356862353
6,Grid Search DP,0.7473333333333334,0.8771428571428572,0.4444444444444445,0.5555555555555556,0.12285714285714286,0.07116674652820189,0.9096586077745712,0.16692986878757748,0.7953984207544956
7,Grid Search EO,0.752,0.8642857142857142,0.49000000000000005,0.51,0.1357142857142857,0.12142351308714086,0.8437411199117182,0.1921028872767453,0.7470485990360453
8,Exp. Grad. DP,0.7516666666666667,0.8795238095238098,0.4533333333333333,0.5466666666666665,0.12047619047619049,0.06355588399753073,0.9194263611397571,0.15902973017431818,0.7980012252875884
9,Exp. Grad. EO,0.7510000000000001,0.8695238095238096,0.47444444444444456,0.5255555555555554,0.1304761904761905,0.09624846252307614,0.8772512965773904,0.18578265482002523,0.7536418056221071
10,DI Score LR,0.752,0.8742857142857143,0.4666666666666667,0.5333333333333332,0.12571428571428572,0.07623861551433378,0.9100487776782986,0.24494475805866064,0.689673308053593
11,DI Score SVM,0.7356666666666667,0.7852380952380952,0.6199999999999999,0.38,0.2147619047619048,0.05290055664458278,0.925808714450213,0.2048644858234286,0.6447041939729061
12,Equal. Oppor. DP,0.7516666666666667,0.8842857142857146,0.4422222222222222,0.5577777777777777,0.11571428571428573,0.06050831865191453,0.9270853398547892,0.21588001217929326,0.7218142948309029
13,Equal. Oppor. EO,0.7003333333333334,0.8395238095238096,0.37555555555555553,0.6244444444444445,0.1604761904761905,0.06571848300951527,0.9054334891678997,0.09710832309194867,0.8586957678741003
