,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.76,0.861904761904762,0.5222222222222223,0.4777777777777778,0.1380952380952381,0.07308970099667778,0.9097127222982215,0.39510748702742776,0.49953051643192486
18,Corr. Remover,1,0.77,0.9095238095238095,0.4444444444444444,0.5555555555555556,0.09047619047619047,0.05384615384615388,0.9366515837104072,0.3571428571428571,0.5833333333333334
32,Corr. Remover,2,0.7333333333333333,0.8285714285714286,0.5111111111111111,0.4888888888888889,0.17142857142857143,0.003868471953578312,0.9946808510638299,0.15277777777777785,0.7499999999999999
46,Corr. Remover,3,0.7466666666666667,0.8476190476190476,0.5111111111111111,0.4888888888888889,0.1523809523809524,0.03835227272727271,0.9503676470588236,0.20714285714285718,0.6813186813186812
60,Corr. Remover,4,0.7533333333333333,0.8904761904761904,0.43333333333333335,0.5666666666666667,0.10952380952380952,0.05121708442674877,0.9388240380458278,0.08318154219793561,0.8864864864864865
74,Corr. Remover,5,0.7566666666666667,0.861904761904762,0.5111111111111111,0.4888888888888889,0.1380952380952381,0.047507012940005366,0.9399176012817579,0.11415863602668647,0.8028169014084506
88,Corr. Remover,6,0.7433333333333333,0.8714285714285714,0.4444444444444444,0.5555555555555556,0.12857142857142856,0.051999999999999935,0.9365853658536586,0.20833333333333337,0.7115384615384615
102,Corr. Remover,7,0.75,0.8952380952380953,0.4111111111111111,0.5888888888888889,0.10476190476190476,0.048366013071895475,0.9427244582043343,0.24331550802139035,0.685121107266436
116,Corr. Remover,8,0.7533333333333333,0.8904761904761904,0.43333333333333335,0.5666666666666667,0.10952380952380952,0.03022350918468919,0.9621100397050482,0.032958658792150985,0.9631758194976585
130,Corr. Remover,9,0.7433333333333333,0.8761904761904762,0.43333333333333335,0.5666666666666667,0.12380952380952381,0.014204545454545414,0.9821428571428572,0.19444444444444442,0.7307692307692308
5,DI Remover,0,0.72,0.9857142857142858,0.1,0.9,0.014285714285714285,0.008859357696567094,0.9907834101382488,0.060044477390659656,0.9366197183098592
19,DI Remover,1,0.77,0.9047619047619048,0.45555555555555555,0.5444444444444444,0.09523809523809523,0.14038461538461533,0.8278301886792453,0.24247491638795993,0.740608228980322
33,DI Remover,2,0.7533333333333333,0.8380952380952381,0.5555555555555556,0.4444444444444444,0.1619047619047619,0.19779665293078796,0.7366181410974244,0.21223090112402365,0.7553261585767626
47,DI Remover,3,0.7566666666666667,0.8523809523809524,0.5333333333333333,0.4666666666666667,0.14761904761904762,0.3039772727272727,0.610909090909091,0.303763440860215,0.6575757575757576
61,DI Remover,4,0.7533333333333333,0.9333333333333333,0.3333333333333333,0.6666666666666666,0.06666666666666667,0.10026241969052574,0.884450933361143,0.27871621621621623,0.6108490566037735
75,DI Remover,5,0.7666666666666667,0.8809523809523809,0.5,0.5,0.11904761904761904,0.08053569812686634,0.8965116279069768,0.03335804299481099,0.9342105263157895
89,DI Remover,6,0.7533333333333333,0.8714285714285714,0.4777777777777778,0.5222222222222223,0.12857142857142856,0.20000000000000007,0.7499999999999999,0.180126404494382,0.7
103,DI Remover,7,0.75,0.8857142857142857,0.43333333333333335,0.5666666666666667,0.11428571428571428,0.09281045751633987,0.8845528455284553,0.1646128807254127,0.7764705882352941
117,DI Remover,8,0.7433333333333333,0.8666666666666667,0.45555555555555555,0.5444444444444444,0.13333333333333333,0.16586734232196176,0.7910396716826266,0.20537245189559916,0.7705406555981269
131,DI Remover,9,0.75,0.8666666666666667,0.4777777777777778,0.5222222222222223,0.13333333333333333,0.015625,0.9795918367346939,0.18055555555555552,0.7291666666666667
10,DI Score LR,0,0.7566666666666667,0.8666666666666667,0.5,0.5,0.13333333333333333,0.17220376522702108,0.8096695226438189,0.5003706449221645,0.4407622203811102
24,DI Score LR,1,0.7733333333333333,0.9047619047619048,0.4666666666666667,0.5333333333333333,0.09523809523809523,0.15192307692307694,0.8357588357588358,0.5526315789473684,0.4473684210526316
38,DI Score LR,2,0.7333333333333333,0.8333333333333334,0.5,0.5,0.16666666666666666,0.06391388445042467,0.9188120927251362,0.20833333333333331,0.6875
52,DI Score LR,3,0.7666666666666667,0.8666666666666667,0.5333333333333333,0.4666666666666667,0.13333333333333333,0.10262784090909094,0.8652680652680652,0.13172043010752688,0.8051948051948051
66,DI Score LR,4,0.7566666666666667,0.8904761904761904,0.4444444444444444,0.5555555555555556,0.10952380952380952,0.055108135010406345,0.9341763942931257,0.08445945945945943,0.8648648648648649
80,DI Score LR,5,0.7433333333333333,0.8428571428571429,0.5111111111111111,0.4888888888888889,0.15714285714285714,0.09021807981178176,0.8891606448026681,0.18087472201630833,0.7136150234741785
94,DI Score LR,6,0.74,0.8714285714285714,0.43333333333333335,0.5666666666666667,0.12857142857142856,0.04799999999999993,0.9414634146341464,0.19444444444444442,0.7307692307692308
108,DI Score LR,7,0.7466666666666667,0.8952380952380953,0.4,0.6,0.10476190476190476,0.007843137254901933,0.9902912621359223,0.22860962566844922,0.704152249134948
122,DI Score LR,8,0.7533333333333333,0.8904761904761904,0.43333333333333335,0.5666666666666667,0.10952380952380952,0.003076644647543203,0.9961240310077519,0.09022556390977443,0.8596491228070176
136,DI Score LR,9,0.75,0.8809523809523809,0.4444444444444444,0.5555555555555556,0.11904761904761904,0.06747159090909094,0.9197635135135135,0.2777777777777778,0.6428571428571428
11,DI Score SVM,0,0.74,0.8047619047619048,0.5888888888888889,0.4111111111111111,0.19523809523809524,0.1428571428571429,0.8235294117647058,0.41289844329132686,0.4396378269617707
25,DI Score SVM,1,0.74,0.7952380952380952,0.6111111111111112,0.3888888888888889,0.20476190476190476,0.0019230769230769162,0.9971509971509972,0.21616541353383456,0.6217105263157895
39,DI Score SVM,2,0.7166666666666667,0.7333333333333333,0.6777777777777778,0.32222222222222224,0.26666666666666666,0.06736187032209229,0.891448705786692,0.15277777777777773,0.6562500000000001
53,DI Score SVM,3,0.72,0.7428571428571429,0.6666666666666666,0.3333333333333333,0.2571428571428571,0.03409090909090906,0.9454545454545455,0.15000000000000002,0.6666666666666666
67,DI Score SVM,4,0.75,0.819047619047619,0.5888888888888889,0.4111111111111111,0.18095238095238095,0.05311736494434893,0.9245792111011178,0.04735883424408016,0.9266409266409267
81,DI Score SVM,5,0.7266666666666667,0.7714285714285715,0.6222222222222222,0.37777777777777777,0.22857142857142856,0.07890688625463749,0.890548512614535,0.18828762045959968,0.6422535211267606
95,DI Score SVM,6,0.7566666666666667,0.7952380952380952,0.6666666666666666,0.3333333333333333,0.20476190476190476,0.020000000000000018,0.9696969696969697,0.13888888888888884,0.6875000000000001
109,DI Score SVM,7,0.7433333333333333,0.8142857142857143,0.5777777777777777,0.4222222222222222,0.18571428571428572,0.03529411764705881,0.9497206703910615,0.2232620320855615,0.6221719457013575
123,DI Score SVM,8,0.7366666666666667,0.780952380952381,0.6333333333333333,0.36666666666666664,0.21904761904761905,0.04786897113383404,0.9313878080415046,0.15789473684210525,0.6842105263157895
137,DI Score SVM,9,0.7266666666666667,0.7952380952380952,0.5666666666666667,0.43333333333333335,0.20476190476190476,0.04758522727272729,0.9345703125,0.3611111111111111,0.5
12,Equal. Oppor. DP,0,0.7566666666666667,0.8809523809523809,0.4666666666666667,0.5333333333333333,0.11904761904761904,0.14894795127353266,0.8353733170134638,0.45811712379540404,0.48798674399337194
26,Equal. Oppor. DP,1,0.7566666666666667,0.9047619047619048,0.4111111111111111,0.5888888888888889,0.09523809523809523,0.04038461538461535,0.9504716981132076,0.31766917293233077,0.6293859649122807
