,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,aged,249,0.7871485943775101,0.6947791164658634,0.8296703296703297,0.3283582089552239,0.6716417910447762,0.17032967032967034
9,Corr. Remover,0,young,51,0.8235294117647058,0.5294117647058824,0.8214285714285714,0.17391304347826086,0.8260869565217391,0.17857142857142858
36,Corr. Remover,1,aged,255,0.7725490196078432,0.7647058823529411,0.8784530386740331,0.4864864864864865,0.5135135135135135,0.12154696132596685
37,Corr. Remover,1,young,45,0.7555555555555555,0.8,0.9310344827586207,0.5625,0.4375,0.06896551724137931
64,Corr. Remover,2,aged,260,0.7730769230769231,0.7692307692307693,0.8810810810810811,0.49333333333333335,0.5066666666666667,0.11891891891891893
65,Corr. Remover,2,young,40,0.725,0.8,0.92,0.6,0.4,0.08
92,Corr. Remover,3,aged,262,0.8053435114503816,0.7633587786259542,0.8983957219251337,0.4266666666666667,0.5733333333333334,0.10160427807486631
93,Corr. Remover,3,young,38,0.8157894736842105,0.631578947368421,0.8695652173913043,0.26666666666666666,0.7333333333333333,0.13043478260869565
120,Corr. Remover,4,aged,255,0.7725490196078432,0.7607843137254902,0.8655913978494624,0.4782608695652174,0.5217391304347826,0.13440860215053763
121,Corr. Remover,4,young,45,0.8222222222222222,0.6222222222222222,0.9166666666666666,0.2857142857142857,0.7142857142857143,0.08333333333333333
148,Corr. Remover,5,aged,254,0.7677165354330708,0.8110236220472441,0.9016393442622951,0.5774647887323944,0.4225352112676056,0.09836065573770492
149,Corr. Remover,5,young,46,0.8043478260869565,0.5652173913043478,0.8148148148148148,0.21052631578947367,0.7894736842105263,0.18518518518518517
176,Corr. Remover,6,aged,259,0.7413127413127413,0.7722007722007722,0.8594594594594595,0.5540540540540541,0.44594594594594594,0.14054054054054055
177,Corr. Remover,6,young,41,0.8292682926829268,0.6829268292682927,0.92,0.3125,0.6875,0.08
204,Corr. Remover,7,aged,248,0.7782258064516129,0.7862903225806451,0.8888888888888888,0.5147058823529411,0.4852941176470588,0.1111111111111111
205,Corr. Remover,7,young,52,0.7692307692307693,0.6538461538461539,0.8666666666666667,0.36363636363636365,0.6363636363636364,0.13333333333333333
232,Corr. Remover,8,aged,258,0.7751937984496124,0.7364341085271318,0.8473684210526315,0.4264705882352941,0.5735294117647058,0.15263157894736842
233,Corr. Remover,8,young,42,0.8095238095238095,0.5714285714285714,0.9,0.2727272727272727,0.7272727272727273,0.1
260,Corr. Remover,9,aged,255,0.7529411764705882,0.7568627450980392,0.8494623655913979,0.5072463768115942,0.4927536231884058,0.15053763440860216
261,Corr. Remover,9,young,45,0.7333333333333333,0.5777777777777777,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.20833333333333334
10,DI Remover,0,aged,249,0.8152610441767069,0.7068273092369478,0.8571428571428571,0.29850746268656714,0.7014925373134329,0.14285714285714285
11,DI Remover,0,young,51,0.7450980392156863,0.5294117647058824,0.75,0.2608695652173913,0.7391304347826086,0.25
38,DI Remover,1,aged,255,0.8,0.7843137254901961,0.9116022099447514,0.47297297297297297,0.527027027027027,0.08839779005524862
39,DI Remover,1,young,45,0.7111111111111111,0.8,0.896551724137931,0.625,0.375,0.10344827586206896
66,DI Remover,2,aged,260,0.7692307692307693,0.7730769230769231,0.8810810810810811,0.5066666666666667,0.49333333333333335,0.11891891891891893
67,DI Remover,2,young,40,0.675,0.75,0.84,0.6,0.4,0.16
94,DI Remover,3,aged,262,0.8435114503816794,0.7557251908396947,0.9197860962566845,0.3466666666666667,0.6533333333333333,0.08021390374331551
95,DI Remover,3,young,38,0.7105263157894737,0.6842105263157895,0.8260869565217391,0.4666666666666667,0.5333333333333333,0.17391304347826086
122,DI Remover,4,aged,255,0.7803921568627451,0.7686274509803922,0.8763440860215054,0.4782608695652174,0.5217391304347826,0.12365591397849462
123,DI Remover,4,young,45,0.5777777777777777,0.5555555555555556,0.625,0.47619047619047616,0.5238095238095238,0.375
150,DI Remover,5,aged,254,0.7795275590551181,0.8149606299212598,0.912568306010929,0.5633802816901409,0.43661971830985913,0.08743169398907104
151,DI Remover,5,young,46,0.6086956521739131,0.5869565217391305,0.6666666666666666,0.47368421052631576,0.5263157894736842,0.3333333333333333
178,DI Remover,6,aged,259,0.7876447876447876,0.7876447876447876,0.9027027027027027,0.5,0.5,0.0972972972972973
179,DI Remover,6,young,41,0.5121951219512195,0.6585365853658537,0.64,0.6875,0.3125,0.36
206,DI Remover,7,aged,248,0.7943548387096774,0.8024193548387096,0.9111111111111111,0.5147058823529411,0.4852941176470588,0.08888888888888889
207,DI Remover,7,young,52,0.4423076923076923,0.7115384615384616,0.6333333333333333,0.8181818181818182,0.18181818181818182,0.36666666666666664
234,DI Remover,8,aged,258,0.9147286821705426,0.7674418604651163,0.9631578947368421,0.22058823529411764,0.7794117647058824,0.03684210526315789
235,DI Remover,8,young,42,0.7857142857142857,0.5952380952380952,0.9,0.3181818181818182,0.6818181818181818,0.1
262,DI Remover,9,aged,255,0.7725490196078432,0.7764705882352941,0.8763440860215054,0.5072463768115942,0.4927536231884058,0.12365591397849462
263,DI Remover,9,young,45,0.6,0.6666666666666666,0.75,0.5714285714285714,0.42857142857142855,0.25
20,DI Score LR,0,aged,249,0.7710843373493976,0.7028112449799196,0.8241758241758241,0.373134328358209,0.6268656716417911,0.17582417582417584
21,DI Score LR,0,young,51,0.8627450980392157,0.5686274509803921,0.8928571428571429,0.17391304347826086,0.8260869565217391,0.10714285714285714
48,DI Score LR,1,aged,255,0.7254901960784313,0.7254901960784313,0.8176795580110497,0.5,0.5,0.18232044198895028
49,DI Score LR,1,young,45,0.7333333333333333,0.8222222222222222,0.9310344827586207,0.625,0.375,0.06896551724137931
