,algorithm,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,aged,255.5,0.7890264879271478,0.7677890028018722,0.8856682932498303,0.4610240086488641,0.5389759913511358,0.1143317067501695
1,Unmitigated-LR,young,44.5,0.610855414861551,0.6423480424937881,0.7198993360462626,0.5470159836349768,0.4529840163650232,0.28010066395373745
2,Massaging,aged,255.5,0.7432712737019588,0.7462555996022207,0.8389544090175928,0.5043743912392065,0.4956256087607936,0.16104559098240728
3,Massaging,young,44.5,0.7310508003617324,0.6549952357585759,0.8358271657821883,0.4173286477062221,0.582671352293778,0.16417283421781173
4,Pref. Sampling,aged,255.5,0.6442297036360346,0.7091819112025555,0.7446970264316429,0.6171307912464002,0.3828692087535999,0.2553029735683571
5,Pref. Sampling,young,44.5,0.7863226196508257,0.6537864583496813,0.8821973418052877,0.34950454198737957,0.6504954580126205,0.11780265819471217
6,Reweighing,aged,255.5,0.7749905746860067,0.7623286324494661,0.8721269972949415,0.47619228055536594,0.523807719444634,0.1278730027050586
7,Reweighing,young,44.5,0.7148068533902314,0.6600727674460146,0.8252278225966382,0.442195954312659,0.5578040456873408,0.17477217740336182
8,Corr. Remover,aged,255.5,0.7726057126238127,0.7615670430854851,0.8700010048454712,0.4793047255193207,0.5206952744806794,0.12999899515452873
9,Corr. Remover,young,44.5,0.788780069408449,0.6434409657921669,0.8751843086393312,0.33815172813456573,0.6618482718654344,0.12481569136066886
10,DI Remover,aged,255.5,0.8057200307839871,0.7737507820729322,0.901184043102997,0.4408995414706885,0.5591004585293116,0.09881595689700304
11,DI Remover,young,44.5,0.6368425996041159,0.6538114177125436,0.7527638680659671,0.5297703126393059,0.4702296873606942,0.247236131934033
12,Grid Search DP,aged,255.5,0.7639239813496019,0.7498443402722633,0.8557518583888252,0.4741659677975954,0.5258340322024047,0.14424814161117477
13,Grid Search DP,young,44.5,0.6880073581790239,0.6522071685494033,0.7909554944749847,0.46373417486403756,0.5362658251359622,0.20904450552501527
14,Grid Search EO,aged,255.5,0.7550354221799528,0.747803378419807,0.8481816785346064,0.48631936008832993,0.51368063991167,0.1518183214653936
15,Grid Search EO,young,44.5,0.6628829110522886,0.643825476730506,0.7655733918754908,0.4862325155774812,0.5137674844225188,0.23442660812450913
16,Exp. Grad. DP,aged,255.5,0.7667041188486728,0.7533964328082863,0.8601364079772666,0.47575642912199567,0.5242435708780043,0.13986359202273319
17,Exp. Grad. DP,young,44.5,0.6833004140858907,0.6519019338579796,0.7874011248344082,0.47018439131425394,0.529815608685746,0.21259887516559178
18,Exp. Grad. EO,aged,255.5,0.7640059502996197,0.746005017801804,0.8530614999361894,0.46746578643867975,0.5325342135613202,0.14693850006381065
19,Exp. Grad. EO,young,44.5,0.6835298826849244,0.6513122698987502,0.7862861823056726,0.4696831381814219,0.5303168618185781,0.21371381769432746
20,DI Score LR,,255.5,0.7408959059339959,0.7470434407932877,0.8378524722802968,0.5101201254835855,0.48987987451641446,0.16214752771970312
21,DI Score LR,,44.5,0.7360024911829885,0.6455991004928754,0.8316604991155214,0.3987321564781519,0.6012678435218481,0.16833950088447838
22,DI Score SVM,,255.5,0.6580085985110058,0.729217504202066,0.7681319802188511,0.628221929759976,0.371778070240024,0.23186801978114896
23,DI Score SVM,,44.5,0.6513036740062995,0.6509220959919524,0.7613524348936642,0.5033591389541046,0.4966408610458954,0.2386475651063357
24,Equal. Oppor. DP,,255.5,0.7404897395447729,0.7466372744040645,0.837306554890961,0.5101201254835855,0.48987987451641446,0.162693445109039
25,Equal. Oppor. DP,,44.5,0.726654665096032,0.6549469265798319,0.8323788899201192,0.4225918056009589,0.5774081943990411,0.16762111007988073
26,Equal. Oppor. EO,,255.5,0.750762097324748,0.7465707014940652,0.8443783104658475,0.4914241276955161,0.5085758723044839,0.1556216895341524
27,Equal. Oppor. EO,,44.5,0.7288768873182543,0.6571691488020541,0.8358271657821883,0.4225918056009589,0.5774081943990411,0.16417283421781173
