,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7489999999999999,0.8652380952380951,0.47777777777777775,0.5222222222222223,0.13476190476190472,0.17817107306559682,0.7733758256421985,0.19640215126203348,0.7147786532636562
1,Massaging,0.7326666666666666,0.8385714285714284,0.4855555555555555,0.5144444444444445,0.16142857142857142,0.06530047229997711,0.9155117327305637,0.1586517978000293,0.7615240204210786
2,Pref. Sampling,0.7006666666666667,0.7614285714285713,0.5588888888888889,0.44111111111111106,0.23857142857142857,0.1467826231435228,0.8199587894346632,0.3008626083081059,0.5899011097084548
3,Reweighing,0.7469999999999999,0.8661904761904762,0.4688888888888889,0.5311111111111111,0.13380952380952382,0.07518372129577545,0.9032030073028217,0.1277716174100448,0.7975138614603348
4,Corr. Remover,0.7436666666666667,0.8704761904761906,0.4477777777777778,0.5522222222222222,0.1295238095238095,0.03490901028209813,0.956680617107119,0.17768903342079095,0.7440938729921774
5,DI Remover,0.7556666666666667,0.8828571428571429,0.45888888888888885,0.5411111111111111,0.11714285714285715,0.16887743117987103,0.7886600073074659,0.17598652503097706,0.7387674369174826
6,Grid Search DP,0.7350000000000001,0.8480952380952379,0.47111111111111115,0.5288888888888889,0.15190476190476193,0.09671876799240932,0.8732314906661145,0.12645348398116402,0.8081671525023569
7,Grid Search EO,0.7323333333333334,0.838095238095238,0.4855555555555555,0.5144444444444445,0.16190476190476194,0.10051852419955978,0.8670242160722517,0.14038798917831669,0.7812400484330271
8,Exp. Grad. DP,0.7379999999999999,0.8514285714285712,0.47333333333333333,0.5266666666666666,0.1485714285714286,0.09343661881538279,0.8770888577428451,0.137608609598725,0.7980013063001002
9,Exp. Grad. EO,0.7316666666666667,0.8452380952380951,0.4666666666666667,0.5333333333333333,0.15476190476190477,0.10089946904251619,0.8681444046206087,0.1516125929695923,0.7788332520755656
10,DI Score LR,0.7319999999999999,0.837142857142857,0.4866666666666667,0.5133333333333334,0.16285714285714287,0.07527271303946365,0.9041506231460451,0.18005284680189038,0.7414350772210445
11,DI Score SVM,0.7173333333333332,0.7671428571428571,0.6011111111111112,0.39888888888888885,0.23285714285714287,0.06005618490714293,0.9110915205985564,0.17123681410588615,0.7051223474326069
12,Equal. Oppor. DP,0.733,0.8366666666666666,0.49111111111111116,0.508888888888889,0.16333333333333333,0.0708782564574295,0.9081789216387872,0.15566688188960967,0.7640499990850834
13,Equal. Oppor. EO,0.7333333333333334,0.8433333333333332,0.4766666666666667,0.5233333333333333,0.15666666666666668,0.07028615355077236,0.9100770209511468,0.16646381356350998,0.749457559894651
