,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.6666666666666666,0.8285714285714286,0.28888888888888886,0.7111111111111111,0.17142857142857143,0.036380817387195785,0.9558232931726909,0.15444516547696296,0.8130400628436764
18,Corr. Remover,1,0.77,0.8857142857142857,0.5,0.5,0.11428571428571428,0.016993464052287632,0.9780033840947546,0.07601351351351349,0.8519736842105263
32,Corr. Remover,2,0.7733333333333333,0.8857142857142857,0.5111111111111111,0.4888888888888889,0.11428571428571428,0.04807692307692313,0.9378109452736317,0.10666666666666669,0.7894736842105263
46,Corr. Remover,3,0.7466666666666667,0.8952380952380953,0.4,0.6,0.10476190476190476,0.010445962233828876,0.9871952721004679,0.15999999999999992,0.7818181818181819
60,Corr. Remover,4,0.74,0.8714285714285714,0.43333333333333335,0.5666666666666667,0.12857142857142856,0.04967320261437902,0.9395866454689985,0.1925465838509317,0.7304347826086957
74,Corr. Remover,5,0.7733333333333333,0.8904761904761904,0.5,0.5,0.10952380952380952,0.036631290653885706,0.9544583954032773,0.3669384729429207,0.5352112676056338
88,Corr. Remover,6,0.76,0.8666666666666667,0.5111111111111111,0.4888888888888889,0.13333333333333333,0.08795555137018551,0.8939359527594821,0.24155405405405406,0.6486486486486487
102,Corr. Remover,7,0.7633333333333333,0.8857142857142857,0.4777777777777778,0.5222222222222223,0.11428571428571428,0.008995037220843605,0.9884416102032684,0.15106951871657753,0.7626050420168067
116,Corr. Remover,8,0.7133333333333334,0.8523809523809524,0.3888888888888889,0.6111111111111112,0.14761904761904762,0.034330011074197087,0.957592339261286,0.15374331550802145,0.7886029411764706
130,Corr. Remover,9,0.73,0.8428571428571429,0.4666666666666667,0.5333333333333333,0.15714285714285714,0.019607843137254943,0.9739583333333333,0.1739130434782608,0.7391304347826088
5,DI Remover,0,0.6766666666666666,0.8428571428571429,0.28888888888888886,0.7111111111111111,0.15714285714285714,0.07016300496102057,0.9139379889886989,0.1071428571428571,0.875
19,DI Remover,1,0.7866666666666666,0.9095238095238095,0.5,0.5,0.09047619047619047,0.0888888888888889,0.8888888888888888,0.15202702702702697,0.7115384615384616
33,DI Remover,2,0.77,0.8761904761904762,0.5222222222222223,0.4777777777777778,0.12380952380952381,0.09423076923076923,0.8775000000000001,0.09333333333333332,0.8108108108108109
47,DI Remover,3,0.7466666666666667,0.9095238095238095,0.36666666666666664,0.6333333333333333,0.09047619047619047,0.13298513459220573,0.842343415098833,0.12,0.8163265306122449
61,DI Remover,4,0.7366666666666667,0.8476190476190476,0.4777777777777778,0.5222222222222223,0.1523809523809524,0.20261437908496738,0.7403685092127302,0.2513440860215054,0.7131901840490797
75,DI Remover,5,0.78,0.8809523809523809,0.5444444444444444,0.45555555555555555,0.11904761904761904,0.17083190688120498,0.7808519982433026,0.24590163934426235,0.7305389221556886
89,DI Remover,6,0.77,0.8714285714285714,0.5333333333333333,0.4666666666666667,0.12857142857142856,0.2754496656935681,0.650286944045911,0.2627027027027027,0.625
103,DI Remover,7,0.7866666666666666,0.8714285714285714,0.5888888888888889,0.4111111111111111,0.12857142857142856,0.3520471464019851,0.5568137446310035,0.303475935828877,0.3746556473829201
117,DI Remover,8,0.7433333333333333,0.9571428571428572,0.24444444444444444,0.7555555555555555,0.04285714285714286,0.1290143964562569,0.8589588377723971,0.09759358288770059,0.8747855917667238
131,DI Remover,9,0.76,0.861904761904762,0.5222222222222223,0.4777777777777778,0.1380952380952381,0.1725490196078432,0.7766497461928933,0.12634408602150538,0.8558282208588958
10,DI Score LR,0,0.68,0.8333333333333334,0.32222222222222224,0.6777777777777778,0.16666666666666666,0.0916607606898181,0.8937568455640745,0.19922128487994806,0.7588373919874313
24,DI Score LR,1,0.74,0.8333333333333334,0.5222222222222223,0.4777777777777778,0.16666666666666666,0.007843137254901933,0.9893048128342247,0.125,0.75
38,DI Score LR,2,0.7533333333333333,0.8380952380952381,0.5555555555555556,0.4444444444444444,0.1619047619047619,0.17884615384615388,0.7956043956043956,0.3466666666666666,0.5272727272727273
52,DI Score LR,3,0.73,0.8666666666666667,0.4111111111111111,0.5888888888888889,0.13333333333333333,0.03716351948573726,0.9544447180497414,0.17333333333333323,0.7636363636363638
66,DI Score LR,4,0.7066666666666667,0.8142857142857143,0.45555555555555555,0.5444444444444444,0.18571428571428572,0.05228758169934644,0.9294532627865961,0.09730848861283647,0.842809364548495
80,DI Score LR,5,0.7733333333333333,0.8714285714285714,0.5444444444444444,0.45555555555555555,0.12857142857142856,0.016775077028414964,0.9779527559055118,0.2898443291326909,0.5763813651137595
94,DI Score LR,6,0.7433333333333333,0.8238095238095238,0.5555555555555556,0.4444444444444444,0.1761904761904762,0.20086637159807885,0.7276209934874218,0.20864864864864863,0.7541401273885351
108,DI Score LR,7,0.7366666666666667,0.819047619047619,0.5444444444444444,0.45555555555555555,0.18095238095238095,0.11445409429280395,0.8431789205269868,0.061497326203208524,0.8693181818181819
122,DI Score LR,8,0.7266666666666667,0.8523809523809524,0.43333333333333335,0.5666666666666667,0.14761904761904762,0.03322259136212624,0.9569274946159368,0.052631578947368474,0.9415204678362572
136,DI Score LR,9,0.73,0.819047619047619,0.5222222222222223,0.4777777777777778,0.18095238095238095,0.019607843137254832,0.9732620320855616,0.24637681159420288,0.6304347826086957
11,DI Score SVM,0,0.6966666666666667,0.7904761904761904,0.4777777777777778,0.5222222222222223,0.20952380952380953,0.01866288684148354,0.9742754802995768,0.23296560674886435,0.6651119402985075
25,DI Score SVM,1,0.7233333333333334,0.7904761904761904,0.5666666666666667,0.43333333333333335,0.20952380952380953,0.05882352941176461,0.9197860962566846,0.12307106115450561,0.8627284317892053
39,DI Score SVM,2,0.72,0.7523809523809524,0.6444444444444445,0.35555555555555557,0.24761904761904763,0.07692307692307687,0.8901098901098902,0.21333333333333332,0.6
53,DI Score SVM,3,0.7133333333333334,0.780952380952381,0.5555555555555556,0.4444444444444444,0.21904761904761905,0.06508638007231815,0.9116684841875682,0.10666666666666663,0.8
67,DI Score SVM,4,0.6833333333333333,0.719047619047619,0.6,0.4,0.28095238095238095,0.024836601307189565,0.9614604462474645,0.22360248447204967,0.6086956521739131
