,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,96,0.75,0.7291666666666666,0.8709677419354839,0.47058823529411764,0.5294117647058824,0.12903225806451613
9,Corr. Remover,0,male,204,0.7696078431372549,0.7598039215686274,0.8648648648648649,0.48214285714285715,0.5178571428571429,0.13513513513513514
36,Corr. Remover,1,female,95,0.7368421052631579,0.6526315789473685,0.8135593220338984,0.3888888888888889,0.6111111111111112,0.1864406779661017
37,Corr. Remover,1,male,205,0.7658536585365854,0.7658536585365854,0.8609271523178808,0.5,0.5,0.1390728476821192
64,Corr. Remover,2,female,94,0.723404255319149,0.8085106382978723,0.8787878787878788,0.6428571428571429,0.35714285714285715,0.12121212121212122
65,Corr. Remover,2,male,206,0.7766990291262136,0.7378640776699029,0.8680555555555556,0.43548387096774194,0.5645161290322581,0.13194444444444445
92,Corr. Remover,3,female,90,0.7777777777777778,0.6666666666666666,0.8225806451612904,0.32142857142857145,0.6785714285714286,0.1774193548387097
93,Corr. Remover,3,male,210,0.7619047619047619,0.7047619047619048,0.831081081081081,0.4032258064516129,0.5967741935483871,0.16891891891891891
120,Corr. Remover,4,female,103,0.7766990291262136,0.7572815533980582,0.9104477611940298,0.4722222222222222,0.5277777777777778,0.08955223880597014
121,Corr. Remover,4,male,197,0.7817258883248731,0.7918781725888325,0.8951048951048951,0.5185185185185185,0.48148148148148145,0.1048951048951049
148,Corr. Remover,5,female,99,0.7575757575757576,0.7373737373737373,0.9016393442622951,0.47368421052631576,0.5263157894736842,0.09836065573770492
149,Corr. Remover,5,male,201,0.7860696517412935,0.7761194029850746,0.8791946308724832,0.4807692307692308,0.5192307692307693,0.12080536912751678
176,Corr. Remover,6,female,97,0.7628865979381443,0.6907216494845361,0.8666666666666667,0.40540540540540543,0.5945945945945946,0.13333333333333333
177,Corr. Remover,6,male,203,0.7684729064039408,0.7339901477832512,0.84,0.4339622641509434,0.5660377358490566,0.16
204,Corr. Remover,7,female,96,0.7604166666666666,0.6979166666666666,0.8793103448275862,0.42105263157894735,0.5789473684210527,0.1206896551724138
205,Corr. Remover,7,male,204,0.7745098039215687,0.7352941176470589,0.8421052631578947,0.4230769230769231,0.5769230769230769,0.15789473684210525
232,Corr. Remover,8,female,83,0.7951807228915663,0.7108433734939759,0.9375,0.4,0.6,0.0625
233,Corr. Remover,8,male,217,0.8064516129032258,0.8202764976958525,0.9197530864197531,0.5272727272727272,0.4727272727272727,0.08024691358024691
260,Corr. Remover,9,female,94,0.7659574468085106,0.648936170212766,0.8421052631578947,0.35135135135135137,0.6486486486486487,0.15789473684210525
261,Corr. Remover,9,male,206,0.7621359223300971,0.7864077669902912,0.869281045751634,0.5471698113207547,0.4528301886792453,0.13071895424836602
10,DI Remover,0,female,96,0.7604166666666666,0.71875,0.8709677419354839,0.4411764705882353,0.5588235294117647,0.12903225806451613
11,DI Remover,0,male,204,0.7696078431372549,0.7696078431372549,0.8716216216216216,0.5,0.5,0.12837837837837837
38,DI Remover,1,female,95,0.6526315789473685,0.6736842105263158,0.7627118644067796,0.5277777777777778,0.4722222222222222,0.23728813559322035
39,DI Remover,1,male,205,0.7463414634146341,0.7853658536585366,0.8609271523178808,0.5740740740740741,0.42592592592592593,0.1390728476821192
66,DI Remover,2,female,94,0.8191489361702128,0.7127659574468085,0.8787878787878788,0.32142857142857145,0.6785714285714286,0.12121212121212122
67,DI Remover,2,male,206,0.8398058252427184,0.7621359223300971,0.9305555555555556,0.3709677419354839,0.6290322580645161,0.06944444444444445
94,DI Remover,3,female,90,0.7222222222222222,0.7222222222222222,0.8225806451612904,0.5,0.5,0.1774193548387097
