,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,94.7,0.6657858806798218,0.7372544476970292,0.8191033063630101,0.6022398338187812,0.3977601661812188,0.18089669363698982
1,Unmitigated-LR,male,205.3,0.8067278564715534,0.7636144563070879,0.890376665568489,0.4202622142853428,0.5797377857146573,0.1096233344315111
2,Massaging,female,94.7,0.6975463156090348,0.7203341256560551,0.8301170217902991,0.529669364189488,0.47033063581051204,0.16988297820970108
3,Massaging,male,205.3,0.7567463805428629,0.7543244743032829,0.849609905368688,0.49574723122958064,0.5042527687704194,0.15039009463131192
4,Pref. Sampling,female,94.7,0.7380307062618374,0.7156853785985849,0.8581347376145372,0.4652401937541256,0.5347598062458744,0.14186526238546268
5,Pref. Sampling,male,205.3,0.654612033141167,0.7283488635800605,0.7621113986685261,0.6384397943527584,0.36156020564724156,0.23788860133147383
6,Reweighing,female,94.7,0.703737539945849,0.7266588694188956,0.8405048423876886,0.5313856647447979,0.4686143352552022,0.1594951576123112
7,Reweighing,male,205.3,0.7887012834182816,0.759309983072298,0.8748618403665638,0.4452425207172621,0.5547574792827379,0.1251381596334362
8,Corr. Remover,female,94.7,0.7606740359366944,0.7100048701208315,0.8723564968027026,0.4347478659552963,0.5652521340447038,0.12764350319729761
9,Corr. Remover,male,205.3,0.7753431078329815,0.7612249668227381,0.8670367575126043,0.475162200967131,0.524837799032869,0.13296324248739574
10,DI Remover,female,94.7,0.7126395127666103,0.7245373090352726,0.8450886508170861,0.5101498446699685,0.4898501553300315,0.15491134918291388
11,DI Remover,male,205.3,0.7950659171261163,0.7656898543951075,0.8838739174597906,0.447162433044965,0.5528375669550349,0.11612608254020922
12,Grid Search DP,female,94.7,0.7220673019355464,0.7278417146007972,0.8552745240380878,0.5066769666614868,0.4933230333385133,0.14472547596191215
13,Grid Search DP,male,205.3,0.7866702501079108,0.7603161463765653,0.8742813432027333,0.4514170797980902,0.5485829202019098,0.12571865679726668
14,Grid Search EO,female,94.7,0.7137332831448758,0.7214808989979603,0.8442236931485473,0.5081191651625088,0.49188083483749123,0.1557763068514527
15,Grid Search EO,male,205.3,0.7915723515577977,0.7603256647470202,0.8776417035630937,0.4426319741551025,0.5573680258448974,0.12235829643690632
16,Exp. Grad. DP,female,94.7,0.7136159016134174,0.7256457578521409,0.8471493699487007,0.5135324732073958,0.48646752679260413,0.1528506300512992
17,Exp. Grad. DP,male,205.3,0.7828479249337029,0.7525355046198939,0.8661921483446193,0.4439704803323184,0.5560295196676815,0.13380785165538084
18,Exp. Grad. EO,female,94.7,0.7138866034010667,0.716918023289294,0.8404242329505045,0.5021875568624795,0.49781244313752043,0.15957576704949555
19,Exp. Grad. EO,male,205.3,0.7858085687111872,0.7631315196479933,0.875739954822713,0.4587947021757125,0.5412052978242874,0.12426004517728688
20,DI Score LR,,94.7,0.7109964050086213,0.728002577584893,0.8470641271433923,0.5239749811731237,0.4760250188268763,0.15293587285660762
21,DI Score LR,,205.3,0.7880512708576343,0.7617677287056871,0.8762691665392845,0.45190140842453685,0.548098591575463,0.12373083346071556
22,DI Score SVM,,94.7,0.6288800920016582,0.7022301972718065,0.7614168262918062,0.5989770597665335,0.4010229402334666,0.23858317370819376
23,DI Score SVM,,205.3,0.6696991235797388,0.7345743492022555,0.776696544016917,0.621387878988305,0.37861212101169495,0.22330345598308288
24,Equal. Oppor. DP,,94.7,0.7694629837401628,0.7009199317296329,0.8721399740165902,0.40824692228716997,0.59175307771283,0.12786002598340981
25,Equal. Oppor. DP,,205.3,0.8076823098967134,0.762645654993459,0.8904044433462668,0.41676251860670604,0.5832374813932939,0.10959555665373333
26,Equal. Oppor. EO,,94.7,0.704407920969695,0.7299701618134067,0.8437100340838901,0.5366022701162019,0.463397729883798,0.15628996591610983
27,Equal. Oppor. EO,,205.3,0.7760548012080996,0.7533940749200764,0.8625543372415807,0.4573226193341835,0.5426773806658164,0.13744566275841935
