,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7553333333333333,0.8700000000000001,0.48777777777777775,0.5122222222222221,0.13,0.1409419757917318,0.8259369561336559,0.1819776195334385,0.6919468713039162
1,Massaging,0.7436666666666667,0.8442857142857141,0.5088888888888888,0.49111111111111116,0.15571428571428572,0.06728830022794584,0.9121603923970147,0.0727093895446405,0.8651848264503064
2,Pref. Sampling,0.7243333333333333,0.7895238095238095,0.5722222222222222,0.42777777777777776,0.21047619047619043,0.08341867312067049,0.8902554286247639,0.18482528651312718,0.6791637770272408
3,Reweighing,0.7489999999999999,0.8652380952380954,0.47777777777777775,0.5222222222222221,0.13476190476190475,0.08618923366851118,0.8917186786797228,0.11058982662811248,0.8159419332441752
4,Corr. Remover,0.7453333333333334,0.8685714285714287,0.45777777777777773,0.5422222222222222,0.1314285714285714,0.018607979966573006,0.9760506075023887,0.08694303772157616,0.8591506552704729
5,DI Remover,0.7526666666666666,0.872857142857143,0.4722222222222222,0.5277777777777778,0.12714285714285714,0.08242640435950614,0.8965154404802688,0.10276037740992292,0.8352559897616676
6,Grid Search DP,0.75,0.8690476190476192,0.47222222222222215,0.5277777777777778,0.13095238095238096,0.07820588934883503,0.9020789269128373,0.09973571833493013,0.8365221192722195
7,Grid Search EO,0.748,0.8680952380952383,0.46777777777777774,0.5322222222222222,0.1319047619047619,0.07783906841292187,0.9023959320029867,0.0946268880251582,0.8452067763311325
8,Exp. Grad. DP,0.744,0.8609523809523811,0.47111111111111115,0.5288888888888889,0.13904761904761903,0.06959967037910894,0.9117988137975062,0.08614172339310068,0.8593900171413511
9,Exp. Grad. EO,0.7486666666666666,0.8657142857142857,0.47555555555555556,0.5244444444444445,0.13428571428571429,0.07192196531012066,0.9086684103260181,0.09157109353631251,0.8517921304606662
10,DI Score LR,0.7510000000000001,0.8680952380952383,0.47777777777777775,0.5222222222222221,0.1319047619047619,0.0884470389132396,0.8903101737277257,0.11616759318397904,0.8160221193266508
11,DI Score SVM,0.7243333333333333,0.7723809523809523,0.6122222222222222,0.3877777777777778,0.22761904761904767,0.05732786037297405,0.9156510801871983,0.06225974838525503,0.8799199777563018
12,Equal. Oppor. DP,0.743,0.8852380952380953,0.4111111111111111,0.5888888888888888,0.11476190476190476,0.05455357460631255,0.9340205571470591,0.08585081480610503,0.8687411784841693
13,Equal. Oppor. EO,0.7460000000000001,0.8571428571428571,0.4866666666666667,0.5133333333333333,0.14285714285714285,0.08304393906193402,0.8947118517624478,0.11209157108296422,0.8087926903753176
