,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.75,0.8666666666666667,0.4777777777777778,0.5222222222222223,0.13333333333333333,0.019607843137254943,0.9745222929936305,0.011554621848739455,0.9781746031746033
18,Corr. Remover,1,0.73,0.8476190476190476,0.45555555555555555,0.5444444444444444,0.1523809523809524,0.029011553273427526,0.9621186724773717,0.11111111111111116,0.8181818181818181
32,Corr. Remover,2,0.76,0.8714285714285714,0.5,0.5,0.12857142857142856,0.0532947738070646,0.9313829787234044,0.20737327188940097,0.6326530612244897
46,Corr. Remover,3,0.6933333333333334,0.8285714285714286,0.37777777777777777,0.6222222222222222,0.17142857142857143,0.015873015873015928,0.9795918367346939,0.08179723502304148,0.8794567062818336
60,Corr. Remover,4,0.78,0.9,0.5,0.5,0.1,0.005026859198659528,0.9935695372588577,0.046296296296296335,0.9122807017543859
74,Corr. Remover,5,0.7633333333333333,0.8857142857142857,0.4777777777777778,0.5222222222222223,0.11428571428571428,0.028493894165535938,0.9637514384349828,0.02244471338981191,0.9751067724222086
88,Corr. Remover,6,0.72,0.8476190476190476,0.4222222222222222,0.5777777777777777,0.1523809523809524,0.005586308465796552,0.992730637060534,0.02855685874553804,0.9519725557461406
102,Corr. Remover,7,0.7233333333333334,0.8523809523809524,0.4222222222222222,0.5777777777777777,0.14761904761904762,0.014093137254902022,0.9818037974683543,0.0372050816696915,0.957688338493292
116,Corr. Remover,8,0.79,0.9238095238095239,0.4777777777777778,0.5222222222222223,0.0761904761904762,0.011270890011659485,0.9860240963855422,0.12727272727272726,0.7878787878787878
130,Corr. Remover,9,0.7433333333333333,0.861904761904762,0.4666666666666667,0.5333333333333333,0.1380952380952381,0.0038215244784135516,0.9950107874865156,0.1958184599694034,0.6981132075471698
5,DI Remover,0,0.7533333333333333,0.8714285714285714,0.4777777777777778,0.5222222222222223,0.12857142857142856,0.009191176470588314,0.9880573248407643,0.05882352941176472,0.8947368421052632
19,DI Remover,1,0.75,0.8333333333333334,0.5555555555555556,0.4444444444444444,0.16666666666666666,0.09370988446726569,0.8744410044719643,0.09821528791110112,0.8859191655801826
33,DI Remover,2,0.7466666666666667,0.9142857142857143,0.35555555555555557,0.6444444444444445,0.08571428571428572,0.020656889072505624,0.9754027794859181,0.051767676767676796,0.9269949066213922
47,DI Remover,3,0.7133333333333334,0.8476190476190476,0.4,0.6,0.1523809523809524,0.07301587301587298,0.908183632734531,0.14516129032258063,0.775
61,DI Remover,4,0.7733333333333333,0.9,0.4777777777777778,0.5222222222222223,0.1,0.07431866344684834,0.9084951456310679,0.05041227429287132,0.9310344827586206
75,DI Remover,5,0.7633333333333333,0.8714285714285714,0.5111111111111111,0.4888888888888889,0.12857142857142856,0.08909995477159649,0.8866513233601843,0.11740890688259109,0.7819548872180451
89,DI Remover,6,0.7366666666666667,0.8380952380952381,0.5,0.5,0.1619047619047619,0.08313442689553596,0.8911207183239109,0.11473737888832225,0.7903075489282386
103,DI Remover,7,0.7333333333333333,0.8476190476190476,0.4666666666666667,0.5333333333333333,0.1523809523809524,0.1121323529411764,0.8579192546583851,0.14878542510121456,0.7504244482173175
117,DI Remover,8,0.79,0.9285714285714286,0.4666666666666667,0.5333333333333333,0.07142857142857142,0.15373938148908994,0.8196678606317161,0.17142857142857143,0.7142857142857143
131,DI Remover,9,0.7666666666666667,0.8761904761904762,0.5111111111111111,0.4888888888888889,0.12380952380952381,0.1152654410245817,0.855215360664245,0.07086343309253529,0.901901901901902
10,DI Score LR,0,0.75,0.8714285714285714,0.4666666666666667,0.5333333333333333,0.12857142857142856,0.031862745098039214,0.9597523219814241,0.1355042016806723,0.7806122448979592
24,DI Score LR,1,0.7433333333333333,0.8380952380952381,0.5222222222222223,0.4777777777777778,0.1619047619047619,0.06700898587933246,0.9107997265892003,0.057694466270064027,0.9259259259259259
38,DI Score LR,2,0.7433333333333333,0.8666666666666667,0.45555555555555555,0.5444444444444444,0.13333333333333333,0.025098120223094433,0.9681186040409341,0.03977272727272729,0.9555084745762712
52,DI Score LR,3,0.74,0.8666666666666667,0.4444444444444444,0.5555555555555556,0.13333333333333333,0.2317460317460317,0.7250470809792844,0.39170506912442393,0.4217687074829932
66,DI Score LR,4,0.7733333333333333,0.8857142857142857,0.5111111111111111,0.4888888888888889,0.11428571428571428,0.029076930658912814,0.9625610762104194,0.018518518518518545,0.9629629629629629
80,DI Score LR,5,0.76,0.8666666666666667,0.5111111111111111,0.4888888888888889,0.13333333333333333,0.06904869591436757,0.9110334110334111,0.07186234817813769,0.8615984405458089
94,DI Score LR,6,0.7466666666666667,0.8523809523809524,0.5,0.5,0.14761904761904762,0.1283835254684882,0.8371134020618556,0.16063233044365116,0.7162162162162162
108,DI Score LR,7,0.7233333333333334,0.8476190476190476,0.43333333333333335,0.5666666666666667,0.1523809523809524,0.0808823529411764,0.8975155279503106,0.06983805668016196,0.8828522920203735
122,DI Score LR,8,0.79,0.9285714285714286,0.4666666666666667,0.5333333333333333,0.07142857142857142,0.13708289378713012,0.8383315872184389,0.17142857142857143,0.7142857142857143
136,DI Score LR,9,0.74,0.8571428571428571,0.4666666666666667,0.5333333333333333,0.14285714285714285,0.08428010741582315,0.892828999211978,0.04471964224286207,0.9384902143522833
11,DI Score SVM,0,0.71,0.7761904761904762,0.5555555555555556,0.4444444444444444,0.22380952380952382,0.061887254901960786,0.9138959931798807,0.0892857142857143,0.8214285714285714
25,DI Score SVM,1,0.7133333333333334,0.7523809523809524,0.6222222222222222,0.37777777777777777,0.24761904761904763,0.05853658536585371,0.911111111111111,0.06481481481481483,0.8444444444444444
39,DI Score SVM,2,0.7333333333333333,0.7857142857142857,0.6111111111111112,0.3888888888888889,0.21428571428571427,0.020656889072505624,0.9696601941747574,0.025252525252525193,0.968553459119497
53,DI Score SVM,3,0.7,0.7523809523809524,0.5777777777777777,0.4222222222222222,0.24761904761904763,0.07619047619047625,0.8873239436619718,0.08347863993025273,0.8925666199158486
67,DI Score SVM,4,0.7566666666666667,0.8095238095238095,0.6333333333333333,0.36666666666666664,0.19047619047619047,0.05465477305209199,0.9214088299907874,0.049055422189750564,0.9047619047619048
81,DI Score SVM,5,0.7366666666666667,0.7761904761904762,0.6444444444444445,0.35555555555555557,0.22380952380952382,0.08065731946328969,0.8807932263814615,0.054241390692045255,0.931508752431231
95,DI Score SVM,6,0.7033333333333334,0.7523809523809524,0.5888888888888889,0.4111111111111111,0.24761904761904763,0.03123254278604437,0.9526850284659178,0.020000000000000018,0.9739130434782608
109,DI Score SVM,7,0.72,0.7523809523809524,0.6444444444444445,0.35555555555555557,0.24761904761904763,0.04289215686274517,0.9337121212121211,0.06882591093117413,0.8210526315789473
123,DI Score SVM,8,0.7533333333333333,0.8,0.6444444444444445,0.35555555555555557,0.2,0.08883460107711949,0.8714859437751005,0.020779220779220786,0.9428571428571428
137,DI Score SVM,9,0.7166666666666667,0.7666666666666667,0.6,0.4,0.23333333333333334,0.05773600495765341,0.9144344099188734,0.14686384497705257,0.6981132075471698
12,Equal. Oppor. DP,0,0.7633333333333333,0.9047619047619048,0.43333333333333335,0.5666666666666667,0.09523809523809523,0.044117647058823595,0.9470588235294117,0.08193277310924374,0.8673469387755102
26,Equal. Oppor. DP,1,0.7333333333333333,0.8714285714285714,0.4111111111111111,0.5888888888888889,0.12857142857142856,0.011296534017971815,0.9857050032488628,0.08333333333333326,0.8695652173913044
40,Equal. Oppor. DP,2,0.7533333333333333,0.8809523809523809,0.45555555555555555,0.5444444444444444,0.11904761904761904,0.05143565379053916,0.9353918007265178,0.06451612903225812,0.8857142857142857
54,Equal. Oppor. DP,3,0.73,0.8809523809523809,0.37777777777777777,0.6222222222222222,0.11904761904761904,0.13174603174603172,0.8436911487758946,0.17741935483870963,0.7380952380952381
68,Equal. Oppor. DP,4,0.7466666666666667,0.9047619047619048,0.37777777777777777,0.6222222222222222,0.09523809523809523,0.03755359518998569,0.9555399964992124,0.16666666666666663,0.7692307692307693
