,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,79,0.7974683544303798,0.759493670886076,0.9230769230769231,0.4444444444444444,0.5555555555555556,0.07692307692307693
9,Corr. Remover,0,male,221,0.8054298642533937,0.7647058823529411,0.8987341772151899,0.42857142857142855,0.5714285714285714,0.10126582278481013
36,Corr. Remover,1,female,89,0.797752808988764,0.7191011235955056,0.8709677419354839,0.37037037037037035,0.6296296296296297,0.12903225806451613
37,Corr. Remover,1,male,211,0.7867298578199052,0.7914691943127962,0.9121621621621622,0.5079365079365079,0.49206349206349204,0.08783783783783784
64,Corr. Remover,2,female,84,0.75,0.6666666666666666,0.8301886792452831,0.3870967741935484,0.6129032258064516,0.16981132075471697
65,Corr. Remover,2,male,216,0.7453703703703703,0.7129629629629629,0.8152866242038217,0.4406779661016949,0.559322033898305,0.18471337579617833
92,Corr. Remover,3,female,85,0.7411764705882353,0.7294117647058823,0.8571428571428571,0.4827586206896552,0.5172413793103449,0.14285714285714285
93,Corr. Remover,3,male,215,0.7534883720930232,0.7302325581395349,0.8376623376623377,0.45901639344262296,0.5409836065573771,0.16233766233766234
120,Corr. Remover,4,female,94,0.8191489361702128,0.7446808510638298,0.9344262295081968,0.3939393939393939,0.6060606060606061,0.06557377049180328
121,Corr. Remover,4,male,206,0.7718446601941747,0.7961165048543689,0.8926174496644296,0.543859649122807,0.45614035087719296,0.10738255033557047
148,Corr. Remover,5,female,99,0.797979797979798,0.7575757575757576,0.9104477611940298,0.4375,0.5625,0.08955223880597014
149,Corr. Remover,5,male,201,0.746268656716418,0.7761194029850746,0.8671328671328671,0.5517241379310345,0.4482758620689655,0.13286713286713286
176,Corr. Remover,6,female,105,0.8,0.7428571428571429,0.9014084507042254,0.4117647058823529,0.5882352941176471,0.09859154929577464
177,Corr. Remover,6,male,195,0.7692307692307693,0.7692307692307693,0.8776978417266187,0.5,0.5,0.1223021582733813
204,Corr. Remover,7,female,89,0.797752808988764,0.7640449438202247,0.890625,0.44,0.56,0.109375
205,Corr. Remover,7,male,211,0.8009478672985783,0.7393364928909952,0.8904109589041096,0.4,0.6,0.1095890410958904
232,Corr. Remover,8,female,96,0.7708333333333334,0.8229166666666666,0.9384615384615385,0.5806451612903226,0.41935483870967744,0.06153846153846154
233,Corr. Remover,8,male,204,0.7843137254901961,0.7794117647058824,0.896551724137931,0.4915254237288136,0.5084745762711864,0.10344827586206896
260,Corr. Remover,9,female,91,0.8131868131868132,0.7032967032967034,0.9122807017543859,0.35294117647058826,0.6470588235294118,0.08771929824561403
261,Corr. Remover,9,male,209,0.8038277511961722,0.7368421052631579,0.869281045751634,0.375,0.625,0.13071895424836602
10,DI Remover,0,female,79,0.8227848101265823,0.7341772151898734,0.9230769230769231,0.37037037037037035,0.6296296296296297,0.07692307692307693
11,DI Remover,0,male,221,0.8099547511312217,0.7601809954751131,0.8987341772151899,0.4126984126984127,0.5873015873015873,0.10126582278481013
38,DI Remover,1,female,89,0.7640449438202247,0.7303370786516854,0.8548387096774194,0.4444444444444444,0.5555555555555556,0.14516129032258066
39,DI Remover,1,male,211,0.8009478672985783,0.7772511848341233,0.9121621621621622,0.4603174603174603,0.5396825396825397,0.08783783783783784
66,DI Remover,2,female,84,0.5833333333333334,0.7619047619047619,0.7735849056603774,0.7419354838709677,0.25806451612903225,0.22641509433962265
67,DI Remover,2,male,216,0.7824074074074074,0.7407407407407407,0.8598726114649682,0.423728813559322,0.576271186440678,0.14012738853503184
94,DI Remover,3,female,85,0.7411764705882353,0.7058823529411765,0.8392857142857143,0.4482758620689655,0.5517241379310345,0.16071428571428573
95,DI Remover,3,male,215,0.7348837209302326,0.7116279069767442,0.8116883116883117,0.45901639344262296,0.5409836065573771,0.18831168831168832
122,DI Remover,4,female,94,0.7553191489361702,0.7659574468085106,0.9016393442622951,0.5151515151515151,0.48484848484848486,0.09836065573770492
123,DI Remover,4,male,206,0.7864077669902912,0.7718446601941747,0.8859060402684564,0.47368421052631576,0.5263157894736842,0.11409395973154363
150,DI Remover,5,female,99,0.7272727272727273,0.7878787878787878,0.8805970149253731,0.59375,0.40625,0.11940298507462686
151,DI Remover,5,male,201,0.7860696517412935,0.7761194029850746,0.8951048951048951,0.4827586206896552,0.5172413793103449,0.1048951048951049
178,DI Remover,6,female,105,0.7428571428571429,0.7619047619047619,0.8732394366197183,0.5294117647058824,0.47058823529411764,0.1267605633802817
179,DI Remover,6,male,195,0.8,0.7589743589743589,0.8920863309352518,0.42857142857142855,0.5714285714285714,0.1079136690647482
206,DI Remover,7,female,89,0.7078651685393258,0.7640449438202247,0.828125,0.6,0.4,0.171875
207,DI Remover,7,male,211,0.7962085308056872,0.7345971563981043,0.8835616438356164,0.4,0.6,0.11643835616438356
234,DI Remover,8,female,96,0.7083333333333334,0.84375,0.9076923076923077,0.7096774193548387,0.2903225806451613,0.09230769230769231
235,DI Remover,8,male,204,0.8088235294117647,0.7647058823529411,0.903448275862069,0.423728813559322,0.576271186440678,0.09655172413793103
262,DI Remover,9,female,91,0.7032967032967034,0.7472527472527473,0.8596491228070176,0.5588235294117647,0.4411764705882353,0.14035087719298245
263,DI Remover,9,male,209,0.8229665071770335,0.7177033492822966,0.869281045751634,0.30357142857142855,0.6964285714285714,0.13071895424836602
20,DI Score LR,0,female,79,0.810126582278481,0.7468354430379747,0.9230769230769231,0.4074074074074074,0.5925925925925926,0.07692307692307693
21,DI Score LR,0,male,221,0.7647058823529411,0.7601809954751131,0.8670886075949367,0.49206349206349204,0.5079365079365079,0.13291139240506328
48,DI Score LR,1,female,89,0.7865168539325843,0.7303370786516854,0.8709677419354839,0.4074074074074074,0.5925925925925926,0.12903225806451613
49,DI Score LR,1,male,211,0.7725118483412322,0.7582938388625592,0.8783783783783784,0.47619047619047616,0.5238095238095238,0.12162162162162163
76,DI Score LR,2,female,84,0.6190476190476191,0.75,0.7924528301886793,0.6774193548387096,0.3225806451612903,0.20754716981132076
77,DI Score LR,2,male,216,0.7453703703703703,0.7407407407407407,0.8343949044585988,0.4915254237288136,0.5084745762711864,0.16560509554140126
104,DI Score LR,3,female,85,0.788235294117647,0.7529411764705882,0.9107142857142857,0.4482758620689655,0.5517241379310345,0.08928571428571429
105,DI Score LR,3,male,215,0.6883720930232559,0.7395348837209302,0.7987012987012987,0.5901639344262295,0.4098360655737705,0.2012987012987013
132,DI Score LR,4,female,94,0.7553191489361702,0.7659574468085106,0.9016393442622951,0.5151515151515151,0.48484848484848486,0.09836065573770492
133,DI Score LR,4,male,206,0.7621359223300971,0.7864077669902912,0.8791946308724832,0.543859649122807,0.45614035087719296,0.12080536912751678
160,DI Score LR,5,female,99,0.7373737373737373,0.7171717171717171,0.835820895522388,0.46875,0.53125,0.16417910447761194
161,DI Score LR,5,male,201,0.7164179104477612,0.746268656716418,0.8251748251748252,0.5517241379310345,0.4482758620689655,0.17482517482517482
188,DI Score LR,6,female,105,0.7428571428571429,0.7428571428571429,0.8591549295774648,0.5,0.5,0.14084507042253522
189,DI Score LR,6,male,195,0.7538461538461538,0.7538461538461538,0.8561151079136691,0.5,0.5,0.14388489208633093
216,DI Score LR,7,female,89,0.7078651685393258,0.7640449438202247,0.828125,0.6,0.4,0.171875
217,DI Score LR,7,male,211,0.7582938388625592,0.6872037914691943,0.821917808219178,0.38461538461538464,0.6153846153846154,0.1780821917808219
244,DI Score LR,8,female,96,0.71875,0.8333333333333334,0.9076923076923077,0.6774193548387096,0.3225806451612903,0.09230769230769231
245,DI Score LR,8,male,204,0.7205882352941176,0.7450980392156863,0.8275862068965517,0.5423728813559322,0.4576271186440678,0.1724137931034483
272,DI Score LR,9,female,91,0.7142857142857143,0.7802197802197802,0.8947368421052632,0.5882352941176471,0.4117647058823529,0.10526315789473684
273,DI Score LR,9,male,209,0.7607655502392344,0.722488038277512,0.8300653594771242,0.42857142857142855,0.5714285714285714,0.16993464052287582
22,DI Score SVM,0,female,79,0.7088607594936709,0.7215189873417721,0.8269230769230769,0.5185185185185185,0.48148148148148145,0.17307692307692307
23,DI Score SVM,0,male,221,0.6334841628959276,0.7285067873303167,0.7531645569620253,0.6666666666666666,0.3333333333333333,0.2468354430379747
50,DI Score SVM,1,female,89,0.6966292134831461,0.7078651685393258,0.7903225806451613,0.5185185185185185,0.48148148148148145,0.20967741935483872
51,DI Score SVM,1,male,211,0.6635071090047393,0.7251184834123223,0.777027027027027,0.6031746031746031,0.3968253968253968,0.22297297297297297
78,DI Score SVM,2,female,84,0.5714285714285714,0.7261904761904762,0.7358490566037735,0.7096774193548387,0.2903225806451613,0.2641509433962264
79,DI Score SVM,2,male,216,0.6666666666666666,0.7546296296296297,0.7898089171974523,0.6610169491525424,0.3389830508474576,0.21019108280254778
106,DI Score SVM,3,female,85,0.6235294117647059,0.7529411764705882,0.7857142857142857,0.6896551724137931,0.3103448275862069,0.21428571428571427
107,DI Score SVM,3,male,215,0.5720930232558139,0.7255813953488373,0.7077922077922078,0.7704918032786885,0.22950819672131148,0.2922077922077922
134,DI Score SVM,4,female,94,0.6063829787234043,0.7446808510638298,0.7704918032786885,0.696969696969697,0.30303030303030304,0.22950819672131148
135,DI Score SVM,4,male,206,0.6650485436893204,0.7669902912621359,0.7986577181208053,0.6842105263157895,0.3157894736842105,0.20134228187919462
162,DI Score SVM,5,female,99,0.6666666666666666,0.7474747474747475,0.8059701492537313,0.625,0.375,0.19402985074626866
163,DI Score SVM,5,male,201,0.6467661691542289,0.736318407960199,0.7692307692307693,0.6551724137931034,0.3448275862068966,0.23076923076923078
190,DI Score SVM,6,female,105,0.6666666666666666,0.7428571428571429,0.8028169014084507,0.6176470588235294,0.38235294117647056,0.19718309859154928
191,DI Score SVM,6,male,195,0.6461538461538462,0.7282051282051282,0.762589928057554,0.6428571428571429,0.35714285714285715,0.23741007194244604
218,DI Score SVM,7,female,89,0.651685393258427,0.7078651685393258,0.75,0.6,0.4,0.25
219,DI Score SVM,7,male,211,0.6492890995260664,0.7203791469194313,0.7671232876712328,0.6153846153846154,0.38461538461538464,0.2328767123287671
246,DI Score SVM,8,female,96,0.65625,0.7708333333333334,0.8153846153846154,0.6774193548387096,0.3225806451612903,0.18461538461538463
