,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,91.1,0.6765028002807852,0.74672838258467,0.8179982978324698,0.604835151995428,0.39516484800457186,0.18200170216753037
1,Unmitigated-LR,male,208.9,0.806766765677061,0.7479853708149277,0.8885925875118531,0.3975843711022342,0.6024156288977658,0.11140741248814692
2,Massaging,female,91.1,0.7431997800629411,0.7593799072471967,0.8769015980251673,0.5220654431124478,0.47793455688755204,0.12309840197483272
3,Massaging,male,208.9,0.7443205685673178,0.7449563111461449,0.8425761214448965,0.501748025062855,0.4982519749371451,0.15742387855510348
4,Pref. Sampling,female,91.1,0.7919978630792223,0.748452675787519,0.9051123992983829,0.43245620877029134,0.5675437912297084,0.09488760070161703
5,Pref. Sampling,male,208.9,0.6468481025518679,0.7154178231066626,0.7536372433086689,0.6202619146531247,0.3797380853468751,0.24636275669133106
6,Reweighing,female,91.1,0.7376950003693732,0.7573915168773697,0.8716250352860513,0.5301601400821448,0.46983985991785504,0.12837496471394863
7,Reweighing,male,208.9,0.783837933117755,0.7500131368091514,0.873965156987676,0.4407566464167171,0.5592433535832828,0.12603484301232418
8,Corr. Remover,female,91.1,0.7885299323666299,0.7410045291134456,0.8969025883022923,0.4301460647280676,0.5698539352719324,0.10309741169770766
9,Corr. Remover,male,208.9,0.7767451894663001,0.7596427637698484,0.87575371885611,0.46983115068349096,0.530168849316509,0.12424628114388984
10,DI Remover,female,91.1,0.7256283782103778,0.760309009635253,0.8641728479007146,0.5511840389378749,0.44881596106212507,0.1358271520992854
11,DI Remover,male,208.9,0.7928669732893511,0.7513745638213671,0.8811845494288555,0.42680755819359684,0.5731924418064032,0.11881545057114455
12,Grid Search DP,female,91.1,0.7208886733631855,0.7615769787926725,0.8617426492181718,0.5587695445589839,0.4412304554410163,0.1382573507818282
13,Grid Search DP,male,208.9,0.7473097658403149,0.7450231786658634,0.8447810373403988,0.4965967229398062,0.5034032770601937,0.15521896265960128
14,Grid Search EO,female,91.1,0.7142664074355378,0.7571266986806278,0.8532529924165756,0.561604344167977,0.43839565583202306,0.14674700758342435
15,Grid Search EO,male,208.9,0.7520111238928809,0.7441111134057513,0.8473847965957205,0.4865344736795342,0.5134655263204658,0.15261520340427961
16,Exp. Grad. DP,female,91.1,0.7260485342747673,0.7582566866150171,0.8630256083121626,0.5462847136163484,0.4537152863836516,0.13697439168783732
17,Exp. Grad. DP,male,208.9,0.7492432179011165,0.7440438575883492,0.8454070319696431,0.4913156701226865,0.5086843298773134,0.154592968030357
18,Exp. Grad. EO,female,91.1,0.7363814817814445,0.7524486661004135,0.8665515495840056,0.5238109708119605,0.47618902918803946,0.1334484504159944
19,Exp. Grad. EO,male,208.9,0.7496089369697707,0.7464343479396307,0.8472390305768682,0.49494867504879486,0.5050513249512051,0.15276096942313172
20,DI Score LR,,91.1,0.7380377261368422,0.7583698062370956,0.872438110007509,0.5290066195830361,0.4709933804169638,0.12756188999249093
21,DI Score LR,,208.9,0.7443007805107723,0.7440062905314598,0.8418617127687043,0.5001086808005599,0.4998913191994402,0.15813828723129558
22,DI Score SVM,,91.1,0.6496451309836908,0.73804688100523,0.7908033872720556,0.6300464562967018,0.3699535437032983,0.20919661272794446
23,DI Score SVM,,208.9,0.645513921421095,0.735845185192371,0.766977124325132,0.6583175689146155,0.34168243108538454,0.23302287567486793
24,Equal. Oppor. DP,,91.1,0.7570984797226494,0.756042443042341,0.8849680670202458,0.496853847395634,0.5031461526043659,0.11503193297975418
25,Equal. Oppor. DP,,208.9,0.7415203530057417,0.742156095584569,0.8386330418439722,0.501748025062855,0.4982519749371451,0.16136695815602772
26,Equal. Oppor. EO,,91.1,0.7484904260122052,0.7582491967751045,0.8798602316155442,0.512589636660835,0.48741036333916493,0.1201397683844557
27,Equal. Oppor. EO,,208.9,0.7393613749294954,0.7363520216341245,0.8330868384574023,0.49469596695147483,0.5053040330485252,0.16691316154259767
