,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.7476666666666667,0.8676190476190475,0.46777777777777774,0.5322222222222222,0.13238095238095238,0.13026396539627577,0.8396806954454558,0.20725078089319382,0.6635492516261345
1,Massaging,0.7493333333333334,0.8523809523809524,0.5088888888888888,0.49111111111111116,0.14761904761904762,0.03983615680473533,0.9479714980265094,0.11088035905510844,0.7958128772500965
2,Pref. Sampling,0.7256666666666666,0.7976190476190476,0.5577777777777777,0.4422222222222222,0.20238095238095238,0.14514976052735448,0.8186549321452328,0.20856186141040797,0.6718304682649341
3,Reweighing,0.7523333333333333,0.8728571428571431,0.47111111111111115,0.5288888888888889,0.12714285714285714,0.06666958855460955,0.9161804050861052,0.1287295464992898,0.7930630162872909
4,Corr. Remover,0.754,0.8819047619047622,0.45555555555555555,0.5444444444444445,0.1180952380952381,0.0191745152592257,0.9760087094839172,0.0763731383379405,0.8732922457902651
5,DI Remover,0.7543333333333333,0.8761904761904764,0.47000000000000003,0.53,0.12380952380952381,0.07106315680964582,0.9109034553840157,0.14399552944276842,0.7618969541420235
6,Grid Search DP,0.7500000000000001,0.8495238095238096,0.5177777777777777,0.4822222222222223,0.15047619047619049,0.039884609263615735,0.9468483353999926,0.11352094958793338,0.7903905889556866
7,Grid Search EO,0.748,0.8490476190476188,0.5122222222222221,0.48777777777777775,0.15095238095238098,0.04331790069617371,0.9428364859714232,0.10955121851101772,0.8052105226390907
8,Exp. Grad. DP,0.7483333333333332,0.8504761904761905,0.51,0.49000000000000005,0.14952380952380953,0.041500048133411,0.9450472300809709,0.11924191519945053,0.7867011127708867
9,Exp. Grad. EO,0.7483333333333333,0.8528571428571429,0.5044444444444445,0.4955555555555556,0.14714285714285716,0.04317182774265273,0.944074615181443,0.1038349206183565,0.8173940874368709
10,DI Score LR,0.7483333333333333,0.8504761904761903,0.51,0.49000000000000005,0.14952380952380953,0.04231200108138196,0.944786777929856,0.1106038204886047,0.797485928972653
11,DI Score SVM,0.7366666666666667,0.7738095238095238,0.65,0.35,0.22619047619047622,0.03825596600005403,0.9429114014224638,0.05854254678511558,0.8692299876357292
12,Equal. Oppor. DP,0.7463333333333333,0.8519047619047619,0.5,0.5,0.1480952380952381,0.04742559655922614,0.9387812691617319,0.12393769603176215,0.7792300869147136
13,Equal. Oppor. EO,0.743,0.8466666666666665,0.5011111111111111,0.4988888888888889,0.15333333333333332,0.05178224394009602,0.933078750358867,0.13167089642916138,0.7692604660378379
