,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.7633333333333333,0.9047619047619048,0.43333333333333335,0.5666666666666667,0.09523809523809523,0.007961509823013913,0.9901152040961456,0.02434274586173324,0.9722222222222223
18,Corr. Remover,1,0.77,0.9,0.4666666666666667,0.5333333333333333,0.1,0.011022951168858763,0.9861824978305855,0.13756613756613761,0.7815126050420167
32,Corr. Remover,2,0.7,0.819047619047619,0.4222222222222222,0.5777777777777777,0.18095238095238095,0.00462962962962965,0.9938271604938271,0.053581191908146586,0.9125780553077608
46,Corr. Remover,3,0.73,0.8428571428571429,0.4666666666666667,0.5333333333333333,0.15714285714285714,0.012311901504787892,0.9836601307189543,0.023742227247032233,0.9561128526645768
60,Corr. Remover,4,0.78,0.9047619047619048,0.4888888888888889,0.5111111111111111,0.09523809523809523,0.047304275976038035,0.942251922834447,0.14992025518341312,0.7526315789473683
74,Corr. Remover,5,0.77,0.8809523809523809,0.5111111111111111,0.4888888888888889,0.11904761904761904,0.051711141263380056,0.9351974305686757,0.11422413793103448,0.7969348659003832
88,Corr. Remover,6,0.76,0.8857142857142857,0.4666666666666667,0.5333333333333333,0.11428571428571428,0.03076923076923077,0.9615384615384616,0.08823529411764708,0.85
102,Corr. Remover,7,0.7466666666666667,0.8904761904761904,0.4111111111111111,0.5888888888888889,0.10952380952380952,0.003195058309814258,0.9960109035303503,0.039999999999999925,0.9333333333333335
116,Corr. Remover,8,0.7933333333333333,0.9095238095238095,0.5222222222222223,0.4777777777777778,0.09047619047619047,0.013480392156862697,0.9828125000000001,0.08911973756150898,0.824731182795699
130,Corr. Remover,9,0.7266666666666667,0.8809523809523809,0.36666666666666664,0.6333333333333333,0.11904761904761904,0.00935906199064096,0.9884908832277253,0.04299965600275191,0.9528657616892912
5,DI Remover,0,0.7533333333333333,0.9047619047619048,0.4,0.6,0.09523809523809523,0.012830058995360605,0.9844065436825618,0.042328042328042326,0.9327731092436975
19,DI Remover,1,0.7633333333333333,0.8952380952380953,0.45555555555555555,0.5444444444444444,0.10476190476190476,0.036902923478353555,0.9539259357755467,0.0573234524847428,0.9371565113500597
33,DI Remover,2,0.7466666666666667,0.8380952380952381,0.5333333333333333,0.4666666666666667,0.1619047619047619,0.19907407407407407,0.7455621301775148,0.31820667031164573,0.4478178368121442
47,DI Remover,3,0.71,0.819047619047619,0.45555555555555555,0.5444444444444444,0.18095238095238095,0.00629274965800275,0.9915097822074566,0.02759740259740262,0.9671179883945841
61,DI Remover,4,0.77,0.8904761904761904,0.4888888888888889,0.5111111111111111,0.10952380952380952,0.031088618054120998,0.96046755975834,0.04146730462519932,0.9212121212121213
75,DI Remover,5,0.78,0.8904761904761904,0.5222222222222223,0.4777777777777778,0.10952380952380952,0.058796924468566214,0.9252013808975835,0.11099137931034486,0.7854166666666667
89,DI Remover,6,0.76,0.8857142857142857,0.4666666666666667,0.5333333333333333,0.11428571428571428,0.05714285714285716,0.9285714285714286,0.10084033613445376,0.823529411764706
103,DI Remover,7,0.7433333333333333,0.8666666666666667,0.45555555555555555,0.5444444444444444,0.13333333333333333,0.08834336226636141,0.8890449438202247,0.19999999999999996,0.6666666666666667
117,DI Remover,8,0.79,0.9047619047619048,0.5222222222222223,0.4777777777777778,0.09523809523809523,0.10049019607843135,0.8757575757575757,0.2859486057955167,0.5037950664136622
131,DI Remover,9,0.7266666666666667,0.8666666666666667,0.4,0.6,0.13333333333333333,0.1196698038803301,0.8545872731919245,0.2552521008403361,0.6334841628959276
10,DI Score LR,0,0.7566666666666667,0.8809523809523809,0.4666666666666667,0.5333333333333333,0.11904761904761904,0.045420699925539876,0.9439338235294117,0.08465608465608465,0.8571428571428571
24,DI Score LR,1,0.75,0.8761904761904762,0.45555555555555555,0.5444444444444444,0.12380952380952381,0.014005005591352093,0.982193635748138,0.06878306878306872,0.8839285714285715
38,DI Score LR,2,0.7433333333333333,0.8238095238095238,0.5555555555555556,0.4444444444444444,0.1761904761904762,0.12632275132275128,0.8305235137533274,0.1858939311098961,0.6344086021505376
52,DI Score LR,3,0.7433333333333333,0.8285714285714286,0.5444444444444444,0.45555555555555555,0.17142857142857143,0.09986320109439117,0.8733078792086082,0.14188807235726397,0.742827868852459
