,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,5479,0.07556123380178864,0.8167548822777879,0.24914965986394558,0.971880083662561,0.028119916337438995,0.7508503401360545
9,Corr. Remover,0,male,3521,0.07384265833570008,0.7929565464356717,0.21226993865030674,0.967849223946785,0.03215077605321508,0.7877300613496933
36,Corr. Remover,1,female,5427,0.07241569928137093,0.8310300350101345,0.263963963963964,0.9768357655779476,0.02316423442205235,0.7360360360360361
37,Corr. Remover,1,male,3573,0.07136859781696053,0.7867338371116709,0.2122587968217934,0.974739970282318,0.02526002971768202,0.7877412031782066
64,Corr. Remover,2,female,5480,0.07335766423357665,0.8213503649635037,0.2519346517626827,0.9747509844799629,0.02524901552003706,0.7480653482373173
65,Corr. Remover,2,male,3520,0.07017045454545455,0.8025568181818182,0.22946859903381642,0.9788261515601783,0.021173848439821695,0.7705314009661836
92,Corr. Remover,3,female,5455,0.06507791017415215,0.8232813932172319,0.22981366459627328,0.977818853974122,0.022181146025878003,0.7701863354037267
93,Corr. Remover,3,male,3545,0.0699576868829337,0.7856135401974612,0.2037037037037037,0.9731443491234614,0.026855650876538604,0.7962962962962963
120,Corr. Remover,4,female,5422,0.07045370711914423,0.8244190335669495,0.2473404255319149,0.9760130414531905,0.023986958546809503,0.7526595744680851
121,Corr. Remover,4,male,3578,0.07043040804918949,0.7867523756288429,0.20393974507531865,0.9720073664825046,0.027992633517495397,0.7960602549246814
148,Corr. Remover,5,female,5403,0.07403294466037387,0.827318156579678,0.2579473206176203,0.9730357973035797,0.02696420269642027,0.7420526793823796
149,Corr. Remover,5,male,3597,0.07450653322212955,0.7837086460939672,0.21348314606741572,0.9711858145548578,0.028814185445142224,0.7865168539325843
176,Corr. Remover,6,female,5403,0.06681473255598741,0.8193596150286878,0.23002633889376647,0.976782363977486,0.02321763602251407,0.7699736611062336
