,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,5443.7,0.06204864645693849,0.8214853989242004,0.2206853590421875,0.9796974674258013,0.020302532574198465,0.7793146409578124
1,Unmitigated-LR,male,3556.3,0.09063794011674306,0.7952277061100668,0.2631093705911931,0.9640450792329534,0.0359549207670466,0.7368906294088068
2,Massaging,female,5443.7,0.10870372292211608,0.8287192400779999,0.34974750600279897,0.9547882615308309,0.04521173846916916,0.6502524939972011
3,Massaging,male,3556.3,0.11062172074798601,0.7977637615826929,0.3098415128315574,0.9525621575396082,0.047437842460391816,0.6901584871684425
4,Pref. Sampling,female,5443.7,0.09288841823423166,0.8276718575165496,0.3093344737814939,0.964117460449651,0.035882539550349014,0.6906655262185061
5,Pref. Sampling,male,3556.3,0.024097266885491027,0.7701929060650219,0.07299717590943815,0.991377415347628,0.008622584652371916,0.9270028240905617
6,Reweighing,female,5443.7,0.07047724272965139,0.8238527842294225,0.2465336289241284,0.9758650139348294,0.024134986065170578,0.7534663710758717
7,Reweighing,male,3556.3,0.07521010932546358,0.7906592459694954,0.22152908630323762,0.9711885441539087,0.02881145584609132,0.7784709136967625
8,Corr. Remover,female,5443.7,0.07138022021713503,0.8239462099891641,0.24894292299241538,0.9753549229793432,0.02464507702065693,0.7510570770075846
9,Corr. Remover,male,3556.3,0.0733050238507188,0.7899298326520736,0.216117341411637,0.9719656285995107,0.028034371400489217,0.783882658588363
10,DI Remover,female,5443.7,0.05816553063809715,0.8192969727934274,0.20590679913213422,0.9807624307935934,0.0192375692064067,0.7940932008678657
11,DI Remover,male,3556.3,0.07375839495576209,0.7897811701962518,0.21657303225241967,0.971560994365954,0.02843900563404596,0.7834269677475804
12,Grid Search DP,female,5443.7,0.05802449917413245,0.8189603147964484,0.2050138771251881,0.9806454160191921,0.019354583980807784,0.7949861228748117
13,Grid Search DP,male,3556.3,0.06514684166870574,0.7878333930973501,0.19463023997525,0.9759455494328423,0.024054450567157895,0.8053697600247501
14,Grid Search EO,female,5443.7,0.06513337678602514,0.8222928602185501,0.2299424120894396,0.978254608382674,0.021745391617325936,0.7700575879105604
15,Grid Search EO,male,3556.3,0.07769450753269805,0.7913510111619446,0.22820839848053334,0.9700099163095901,0.029990083690409803,0.7717916015194666
16,Exp. Grad. DP,female,5443.7,0.06621751833672533,0.8224595472520344,0.23300446376456202,0.9776759338669867,0.022324066133013187,0.7669955362354378
17,Exp. Grad. DP,male,3556.3,0.08149143616904424,0.7924477627618673,0.2382592667812104,0.9682275674588963,0.03177243254110374,0.7617407332187895
18,Exp. Grad. EO,female,5443.7,0.06682127635009831,0.8229165044205754,0.2355066437316579,0.9775836759063063,0.02241632409369355,0.764493356268342
19,Exp. Grad. EO,male,3556.3,0.08194864381262666,0.7926764735310009,0.23974750537093398,0.9680782331453337,0.0319217668546662,0.7602524946290659
20,DI Score LR,,5443.7,0.07154203095202144,0.8241107942297564,0.2496767369969489,0.9753539408351408,0.024646059164859197,0.7503232630030512
21,DI Score LR,,3556.3,0.0724568986597513,0.7895343018456654,0.21348279336360357,0.9722600954435441,0.027739904556455752,0.7865172066363966
22,DI Score SVM,,5443.7,0.16695212954185198,0.8123202741400821,0.45028248291708256,0.9076385987825801,0.09236140121741984,0.5497175170829174
23,DI Score SVM,,3556.3,0.1773804984264458,0.788208159111457,0.4284548557062472,0.9022981379726318,0.09770186202736814,0.5715451442937527
24,Equal. Oppor. DP,,5443.7,0.06210360075388207,0.8214301876618337,0.22068646896156094,0.9796280355825774,0.02037196441742251,0.779313531038439
25,Equal. Oppor. DP,,3556.3,0.06000870495117897,0.7829892402551446,0.17383300342906938,0.9761464245749186,0.023853575425081524,0.8261669965709306
26,Equal. Oppor. EO,,5443.7,0.0727442235003129,0.8138773406646225,0.22807890282136806,0.9681312857268427,0.03186871427315728,0.7719210971786319
27,Equal. Oppor. EO,,3556.3,0.07665705214301491,0.7898576542694793,0.22284186555181815,0.9697110591157626,0.030288940884237326,0.7771581344481818
