,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8111111111111111,0.23887493721747863,0.9736624340134113,0.026337565986588672,0.7611250627825213,0.028589293659804567,0.6867983652064982,0.0425867864671315,0.5721258204121517
1,Massaging,0.8164888888888889,0.3326469110999498,0.9539306605792554,0.04606933942074476,0.6673530889000503,0.00610251170533891,0.947026964556696,0.03990599317124157,0.854433200374735
2,Pref. Sampling,0.8049555555555555,0.2076845806127574,0.9746183478384932,0.025381652161506636,0.7923154193872425,0.06879115134874064,0.25963182627974046,0.2363372978720557,0.21255476869037956
3,Reweighing,0.8107333333333333,0.2357609241587142,0.9740619203880725,0.025938079611927522,0.7642390758412858,0.00591681388766538,0.9240788599500627,0.026304429487603847,0.8049578904124534
4,Corr. Remover,0.8104999999999999,0.23475640381717727,0.9740476530175488,0.025952346982451135,0.7652435961828227,0.0031200407712989346,0.958577676419629,0.03282558158077846,0.8246133401705178
5,DI Remover,0.8076333333333332,0.2106479156202913,0.9772150092737908,0.02278499072620916,0.7893520843797088,0.015686034600066665,0.7967985743572455,0.022330639365401247,0.6910109107147482
6,Grid Search DP,0.8066555555555557,0.20055248618784532,0.978827222142959,0.02117277785704095,0.7994475138121546,0.008838275777396284,0.8737144438186302,0.018336457892406493,0.7584811886522373
7,Grid Search EO,0.8100666666666667,0.22918131592164742,0.975074903695249,0.024925096304751034,0.7708186840783525,0.012561130746672916,0.8431451859844588,0.017650812304736,0.730015204737511
8,Exp. Grad. DP,0.8106,0.2352586639879457,0.9740333856470252,0.02596661435297475,0.7647413360120543,0.015273917832318917,0.8156482629335852,0.015111910764225744,0.7123969802542934
9,Exp. Grad. EO,0.8109666666666667,0.23731793068809642,0.9739192466828366,0.026080753317163648,0.7626820693119035,0.015127367462528352,0.8176218908259507,0.015313300001978461,0.7098705353800752
10,DI Score LR,0.8104444444444445,0.2341034655951783,0.9741617919817378,0.025838208018262237,0.7658965344048216,0.004764999443279757,0.9374746356260207,0.036193943633345334,0.8044439344471662
11,DI Score SVM,0.8027888888888889,0.4409342039176293,0.9055785418747323,0.09442145812526752,0.5590657960823706,0.01061541268021424,0.9413536304330552,0.02648515401571876,0.9112978945239378
12,Equal. Oppor. DP,0.8062444444444445,0.20060271220492215,0.9782850620630619,0.021714937936938218,0.7993972877950778,0.005343218683787167,0.9161571866662618,0.0468534655324916,0.761583775121991
13,Equal. Oppor. EO,0.804388888888889,0.2258161727774987,0.9687401911827651,0.03125980881723498,0.7741838272225012,0.004838094070704652,0.9395860606514779,0.01498765774365048,0.8873481166423177
