,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8074444444444444,0.23405323957810145,0.970323869310886,0.029676130689113997,0.7659467604218986,0.0017185754660885566,0.9772558575393739,0.03687972121363883,0.8519776377227328
18,Corr. Remover,1,0.8134444444444444,0.24108488196885988,0.976030817520331,0.023969182479668998,0.7589151180311401,0.0010471014644103938,0.9855404080219969,0.05170516714217058,0.8041203565603777
32,Corr. Remover,2,0.814,0.24259166248116523,0.9763161649308032,0.023683835069196746,0.7574083375188347,0.0031872096881220974,0.9565524649479873,0.022466052728866287,0.8386009515111034
46,Corr. Remover,3,0.8084444444444444,0.21848317428427927,0.976030817520331,0.023969182479668998,0.7815168257157208,0.00487977670878155,0.9302467401910056,0.02610996089256959,0.825939617991374
60,Corr. Remover,4,0.8094444444444444,0.22852837769964843,0.9744614067627336,0.02553859323726637,0.7714716223003516,2.3299069954740848e-05,0.999669299588234,0.04340068045659626,0.824530582239998
74,Corr. Remover,5,0.8098888888888889,0.23807132094424913,0.9723213011841918,0.027678698815808245,0.7619286790557509,0.00047358856175568065,0.9936436639677791,0.0444641745502046,0.8276230416205096
88,Corr. Remover,6,0.8093333333333333,0.22300351582119537,0.9758881438150949,0.024111856184905123,0.7769964841788046,0.003243649429000073,0.9537007658884394,0.01641131541958807,0.9104630125971589
102,Corr. Remover,7,0.8093333333333333,0.23304871923656453,0.9730346697103723,0.026965330289627623,0.7669512807634354,0.0024211034885805865,0.967296479031173,0.04190076490895553,0.8332884460005386
116,Corr. Remover,8,0.813,0.2466097438473129,0.9738907119417891,0.02610928805821087,0.7533902561526871,0.004960355480058631,0.9363270732923383,0.031500524356298576,0.7956226915974145
130,Corr. Remover,9,0.8106666666666666,0.24208940231039677,0.9721786274789557,0.02782137252104437,0.7579105976896032,0.009245748356237038,0.8855440117279622,0.013417454138896279,0.733967063863971
5,DI Remover,0,0.804,0.19437468608739328,0.97717220716222,0.022827792837779998,0.8056253139126067,0.00046585141200874286,0.9923580841724674,0.03202287049789243,0.8085388931310382
19,DI Remover,1,0.8084444444444444,0.20190858864892014,0.9807390497931231,0.019260950206876872,0.7980914113510799,0.019406187645595138,0.7280850648717199,0.01652912844740312,0.5964689649615775
33,DI Remover,2,0.8127777777777778,0.2300351582119538,0.978313596804109,0.021686403195890998,0.7699648417880463,0.005329296615792969,0.924963503649635,0.003165227360524381,0.9863499570077386
47,DI Remover,3,0.8026666666666666,0.18181818181818182,0.9790269653302897,0.020973034669710372,0.8181818181818182,0.006287886916804888,0.8958385087847041,0.016543634361957354,0.781465946253377
61,DI Remover,4,0.808,0.2074334505273732,0.9785989442145813,0.021401055785418746,0.7925665494726268,0.013535419431713006,0.8085781394202801,0.009556870222787204,0.6493661803396317
75,DI Remover,5,0.8071111111111111,0.21044701155198392,0.9766015123412755,0.023398487658724498,0.789552988448016,0.028709068279337592,0.6499440047431277,0.04409576585126901,0.5707080535824332
89,DI Remover,6,0.8077777777777778,0.2074334505273732,0.978313596804109,0.021686403195890998,0.7925665494726268,0.01861088818385733,0.7483332150476134,0.03542560602126074,0.7152908067542214
103,DI Remover,7,0.8073333333333333,0.21647413360120543,0.9751747752889143,0.024825224711085746,0.7835258663987946,0.023308257569217082,0.7137811168423412,0.030393285047045276,0.6637075098377938
117,DI Remover,8,0.8093333333333333,0.22300351582119537,0.9758881438150949,0.024111856184905123,0.7769964841788046,0.017976498127825744,0.772555417952599,0.013570164918420342,0.582444465671135
131,DI Remover,9,0.8088888888888889,0.233550979407333,0.9723213011841918,0.027678698815808245,0.766449020592667,0.023230991818514152,0.7335486880879687,0.022003840925452628,0.5557683296085358
10,DI Score LR,0,0.8076666666666666,0.23505775991963837,0.970323869310886,0.029676130689113997,0.7649422400803616,0.005349282554095294,0.9307122479577113,0.04688973749008804,0.8155774873299547
24,DI Score LR,1,0.8134444444444444,0.23907584128578604,0.9766015123412755,0.023398487658724498,0.7609241587142139,0.0023578348578035396,0.9672737345951411,0.05420948758065669,0.7939296876214763
38,DI Score LR,2,0.8133333333333334,0.24259166248116523,0.9754601226993865,0.024539877300613498,0.7574083375188347,0.009414399469143991,0.8768713386851812,0.03900665030053044,0.7338693429370137
52,DI Score LR,3,0.8085555555555556,0.21948769462581616,0.9758881438150949,0.024111856184905123,0.7805123053741838,0.0015373895146725547,0.9774791494648173,0.040152896907555274,0.830515674850881
66,DI Score LR,4,0.8098888888888889,0.2300351582119538,0.9746040804679698,0.025395919532030246,0.7699648417880463,0.0028552700949839166,0.9605553806955504,0.03583388805338461,0.8106123033929276
80,DI Score LR,5,0.8093333333333333,0.23556002009040683,0.9723213011841918,0.027678698815808245,0.7644399799095931,0.005103734881788863,0.9334850203992952,0.031795405606751787,0.8594527786282048
94,DI Score LR,6,0.8093333333333333,0.22149673530889,0.9763161649308032,0.023683835069196746,0.77850326469111,0.0021291417967067017,0.9688245172693596,0.03224247445457057,0.8629694835680751
108,DI Score LR,7,0.8095555555555556,0.23204419889502761,0.9736053645313169,0.026394635468683123,0.7679558011049724,0.003047444164779478,0.9586771277733377,0.04216024729799858,0.8304291905986821
122,DI Score LR,8,0.8126666666666666,0.2440984429934706,0.9741760593522614,0.025823940647738623,0.7559015570065294,0.006240062975488236,0.9199002825328237,0.02710685124557799,0.7801737072945522
136,DI Score LR,9,0.8106666666666666,0.2415871421396283,0.9723213011841918,0.027678698815808245,0.7584128578603717,0.009615434123335001,0.8809675568869908,0.012541797396339371,0.7269096882498944
11,DI Score SVM,0,0.7946666666666666,0.4359618282270216,0.8965615637038093,0.10343843629619061,0.5640381717729784,0.006896643241741135,0.9619387447426794,0.04218834773173069,0.8758430107477398
25,DI Score SVM,1,0.8073333333333333,0.44952285283776994,0.9089741760593523,0.09102582394064773,0.5504771471622301,0.005290740067736693,0.9695099769967368,0.036707877002996214,0.9211881170728708
39,DI Score SVM,2,0.8045555555555556,0.4480160723254646,0.9058353545441575,0.0941646454558425,0.5519839276745354,0.000935218978102198,0.9945881731784583,0.024722627221786087,0.9460555057055587
53,DI Score SVM,3,0.8017777777777778,0.43043696634856854,0.9072620915965187,0.09273790840348124,0.5695630336514315,0.002052179713749741,0.987834486479527,0.05090846725163495,0.8875022694262891
67,DI Score SVM,4,0.8045555555555556,0.44650929181315924,0.9062633756598659,0.09373662434013412,0.5534907081868408,0.0201244170335583,0.8905696593524748,0.0177171420822958,0.9412314222805607
81,DI Score SVM,5,0.8006666666666666,0.4349573078854847,0.9045512911970324,0.09544870880296762,0.5650426921145153,0.022465355715486884,0.877933709201501,0.016482462317198854,0.8582596967800333
95,DI Score SVM,6,0.8023333333333333,0.43746860873932697,0.9059780282493937,0.09402197175060636,0.562531391260673,0.0011623604530705267,0.9931905365640151,0.03841397816221298,0.9153703653254147
109,DI Score SVM,7,0.8042222222222222,0.4525364138623807,0.904123270081324,0.09587672991867599,0.5474635861376193,0.016894595456145384,0.9087172011661806,0.014813059861458977,0.9355557406404864
123,DI Score SVM,8,0.805,0.4384731290808639,0.9091168497645884,0.09088315023541162,0.5615268709191361,0.018058842721825452,0.8989735106053188,0.00707490468892874,0.9257273731283834
137,DI Score SVM,9,0.8027777777777778,0.43545956805625313,0.9071194178912826,0.09288058210871736,0.5645404319437468,0.01227377342072608,0.9302803060436604,0.0158226738369443,0.9062454441320421
12,Equal. Oppor. DP,0,0.801,0.18432948267202412,0.9761734912255672,0.02382650877443287,0.8156705173279759,0.012088914120419195,0.8112958391288411,0.08149075581152707,0.6256518404907975
26,Equal. Oppor. DP,1,0.808,0.20894023103967854,0.9781709230988729,0.021829076901127124,0.7910597689603215,0.005984166303476562,0.9087750827837997,0.06734259798959005,0.7179234574775663
40,Equal. Oppor. DP,2,0.8063333333333333,0.19437468608739328,0.9801683549721786,0.019831645027821372,0.8056253139126067,0.011535749834107503,0.8167654808959156,0.05984024324896883,0.7270815572605853
54,Equal. Oppor. DP,3,0.8017777777777778,0.1808136614766449,0.9781709230988729,0.021829076901127124,0.8191863385233551,0.0037534953892535278,0.935814052199442,0.06384226395872358,0.6938288022064618
68,Equal. Oppor. DP,4,0.8086666666666666,0.20642893018583627,0.9797403338564703,0.020259666143529746,0.7935710698141637,0.003317849417492323,0.947703677463491,0.022801048626348797,0.8641127154168607
82,Equal. Oppor. DP,5,0.8074444444444444,0.21145153189352084,0.9767441860465116,0.023255813953488372,0.7885484681064792,0.001664660707292473,0.9747350862272952,0.041027054057088036,0.8214593418306169
96,Equal. Oppor. DP,6,0.8066666666666666,0.19588146659969866,0.9801683549721786,0.019831645027821372,0.8041185334003014,0.0025823543186476172,0.9571947996120945,0.02439645187484285,0.7995105307752829
110,Equal. Oppor. DP,7,0.8068888888888889,0.20843797086891008,0.9768868597517477,0.023113140248252246,0.7915620291310899,0.0031947940256480123,0.9516374283703628,0.034984995148807485,0.8368206192234109
124,Equal. Oppor. DP,8,0.809,0.20994475138121546,0.9791696390355258,0.020830360964474246,0.7900552486187845,0.0038282467851945418,0.9403404275925523,0.05554880222186967,0.7623513649304975
138,Equal. Oppor. DP,9,0.8066666666666666,0.20542440984429935,0.9774575545726922,0.022542445427307746,0.7945755901557007,0.005481955936339912,0.9173099923888224,0.017260442387149605,0.767097521607831
13,Equal. Oppor. EO,0,0.8002222222222222,0.21346057257659468,0.966899700385219,0.033100299614781,0.7865394274234053,0.0009176552294192508,0.9875248491784356,0.02278911564625849,0.8908900766906809
27,Equal. Oppor. EO,1,0.8068888888888889,0.23053741838272224,0.9706092167213582,0.029390783278641745,0.7694625816172778,0.0013901014565199932,0.9813976310706145,0.026678324181161867,0.8899147217803358
41,Equal. Oppor. EO,2,0.8065555555555556,0.2290306378704169,0.9706092167213582,0.029390783278641745,0.7709693621295831,0.004626327140013264,0.938614351749945,0.01032529400163354,0.6904562902426945
