,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,female,5475,0.07123287671232877,0.8248401826484019,0.2506573181419807,0.9760036917397323,0.023996308260267652,0.7493426818580193
9,Corr. Remover,0,male,3525,0.0726241134751773,0.7855319148936171,0.20588235294117646,0.9697196261682243,0.0302803738317757,0.7941176470588235
36,Corr. Remover,1,female,5412,0.07742054693274206,0.8253880266075388,0.26970227670753066,0.9740046838407495,0.025995316159250586,0.7302977232924693
37,Corr. Remover,1,male,3588,0.07803790412486064,0.7951505016722408,0.232037691401649,0.9696969696969697,0.030303030303030304,0.767962308598351
64,Corr. Remover,2,female,5433,0.07601693355420577,0.8221976808393153,0.25935596170583114,0.973155929038282,0.02684407096171802,0.7406440382941688
65,Corr. Remover,2,male,3567,0.07737594617325484,0.7992710961592374,0.23871733966745842,0.9724770642201835,0.027522935779816515,0.7612826603325415
92,Corr. Remover,3,female,5429,0.06833671025971634,0.8275925584822251,0.247992863514719,0.9784122562674095,0.02158774373259053,0.752007136485281
93,Corr. Remover,3,male,3571,0.0714085690282834,0.7908148977877345,0.21724137931034482,0.975564605701592,0.024435394298407995,0.7827586206896552
120,Corr. Remover,4,female,5430,0.08011049723756906,0.8162062615101289,0.2566983578219533,0.9677041890943131,0.032295810905686874,0.7433016421780466
121,Corr. Remover,4,male,3570,0.07871148459383753,0.7963585434173669,0.23261390887290168,0.9682017543859649,0.03179824561403509,0.7673860911270983
148,Corr. Remover,5,female,5471,0.07859623469201243,0.8227015170901115,0.2631578947368421,0.9699838374509351,0.03001616254906488,0.7368421052631579
149,Corr. Remover,5,male,3529,0.07339189572116747,0.7897421365826013,0.21621621621621623,0.9719940253920837,0.028005974607916356,0.7837837837837838
176,Corr. Remover,6,female,5403,0.07273736812881733,0.821580603368499,0.24890061565523308,0.974214721050164,0.025785278949835913,0.751099384344767
177,Corr. Remover,6,male,3597,0.07478454267445094,0.7912149013066444,0.21779859484777517,0.969741159314619,0.03025884068538097,0.7822014051522248
204,Corr. Remover,7,female,5436,0.07303164091243561,0.8232155997056659,0.25,0.97330547818013,0.02669452181987001,0.75
205,Corr. Remover,7,male,3564,0.07210998877665545,0.7856341189674523,0.20625724217844726,0.9707515734912995,0.029248426508700482,0.7937427578215527
232,Corr. Remover,8,female,5420,0.06402214022140221,0.8228782287822878,0.22412241224122412,0.977256904154096,0.02274309584590392,0.7758775877587759
233,Corr. Remover,8,male,3580,0.07011173184357541,0.7812849162011173,0.19772727272727272,0.9714814814814815,0.02851851851851852,0.8022727272727272
260,Corr. Remover,9,female,5451,0.06971197945331131,0.8273711245643002,0.2511091393078971,0.9775670675300647,0.022432932469935246,0.748890860692103
261,Corr. Remover,9,male,3549,0.07551422936038321,0.7909270216962525,0.22569444444444445,0.9728119180633147,0.027188081936685288,0.7743055555555556
10,DI Remover,0,female,5475,0.06739726027397261,0.8231963470319634,0.23751095530236635,0.9773880941393632,0.022611905860636824,0.7624890446976337
11,DI Remover,0,male,3525,0.07943262411347518,0.7900709219858156,0.22941176470588234,0.9682242990654205,0.03177570093457944,0.7705882352941177
38,DI Remover,1,female,5412,0.06485587583148558,0.8202143385070214,0.2276707530647986,0.978688524590164,0.021311475409836064,0.7723292469352014
39,DI Remover,1,male,3588,0.0983835005574136,0.802675585284281,0.29093050647820967,0.9612997444322745,0.038700255567725446,0.7090694935217904
66,DI Remover,2,female,5433,0.06902263942573164,0.8199889563776919,0.23759791122715404,0.9761904761904762,0.023809523809523808,0.762402088772846
67,DI Remover,2,male,3567,0.07709559854219232,0.80067283431455,0.24109263657957244,0.9735779816513761,0.026422018348623854,0.7589073634204275
94,DI Remover,3,female,5429,0.06281083072389022,0.8253822066678946,0.22925958965209633,0.9805013927576601,0.019498607242339833,0.7707404103479036
95,DI Remover,3,male,3571,0.06916830019602352,0.7913749649957995,0.21379310344827587,0.9774157719363199,0.022584228063680118,0.7862068965517242
122,DI Remover,4,female,5430,0.07587476979742173,0.814548802946593,0.2428694900605013,0.9693423824011234,0.03065761759887667,0.7571305099394987
123,DI Remover,4,male,3570,0.08207282913165266,0.7963585434173669,0.23980815347721823,0.9660087719298246,0.03399122807017544,0.7601918465227818
150,DI Remover,5,female,5471,0.06379089745933102,0.8166697130323524,0.2131578947368421,0.9755252828446086,0.024474717155391363,0.7868421052631579
