,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,5436.0,0.06304307828275298,0.820420078288546,0.22092273561511902,0.9786505329622945,0.02134946703770542,0.7790772643848811
1,Unmitigated-LR,male,3564.0,0.09199935403627546,0.7957349246518561,0.2662879828507637,0.9630551388373483,0.03694486116265169,0.7337120171492364
2,Massaging,female,5436.0,0.11047191880599394,0.8258280240333467,0.3473273992040905,0.9520877730430024,0.04791222695699758,0.6526726007959095
3,Massaging,male,3564.0,0.11099346521311759,0.7989689183910025,0.31253921676412333,0.952691326312426,0.04730867368757376,0.6874607832358768
4,Pref. Sampling,female,5436.0,0.09433658842359183,0.8258106712712051,0.30866398994900573,0.9622733696583741,0.037726630341625995,0.6913360100509942
5,Pref. Sampling,male,3564.0,0.02480233054524047,0.7720134931053231,0.0769839053778476,0.9916553738026586,0.00834462619734162,0.9230160946221524
6,Reweighing,female,5436.0,0.07269865236443049,0.8231581567651528,0.25056973792740256,0.974276785953298,0.025723214046701935,0.7494302620725974
7,Reweighing,male,3564.0,0.07558662119829213,0.791210934089734,0.22272505390792477,0.9708723513578912,0.029127648642108882,0.7772749460920753
8,Corr. Remover,female,5436.0,0.0731216928104541,0.8233971783598474,0.2521696839833212,0.9741608758345877,0.025839124165412362,0.7478303160166788
9,Corr. Remover,male,3564.0,0.07440704057716462,0.7905930048684265,0.2190186442607686,0.9712440177915733,0.028755982208426723,0.7809813557392313
10,DI Remover,female,5436.0,0.0659895908706361,0.8207878973939845,0.22885698608944866,0.9770198879653714,0.022980112034628405,0.7711430139105514
11,DI Remover,male,3564.0,0.07940083710717277,0.7931968818257652,0.23494067990380402,0.96967940482661,0.03032059517339004,0.7650593200961959
12,Grid Search DP,female,5436.0,0.08583185395156685,0.8245592356432561,0.2852384378075231,0.9668566344266202,0.033143365573379865,0.7147615621924768
13,Grid Search DP,male,3564.0,0.09680874125622334,0.7972809058208454,0.2796711434154083,0.9609190300233091,0.039080969976690805,0.7203288565845918
14,Grid Search EO,female,5436.0,0.09987980802478101,0.8260654259109289,0.3226656899853272,0.958938660882024,0.041061339117976124,0.6773343100146729
15,Grid Search EO,male,3564.0,0.11857157626807324,0.8011324730539091,0.33261761142183255,0.9491204597325809,0.05087954026741921,0.6673823885781675
16,Exp. Grad. DP,female,5436.0,0.09409338478238323,0.8204201877224474,0.29531900103933356,0.9590226809449789,0.04097731905502126,0.7046809989606664
17,Exp. Grad. DP,male,3564.0,0.10853539616847352,0.7968327882234606,0.30278166163750975,0.952893196529265,0.047106803470734905,0.6972183383624903
18,Exp. Grad. EO,female,5436.0,0.0965569938374218,0.8149012790910742,0.28794482279416417,0.95398080071853,0.04601919928147006,0.7120551772058358
19,Exp. Grad. EO,male,3564.0,0.10313421399595699,0.7919479903242015,0.2814375867784167,0.9532375959370543,0.04676240406294583,0.7185624132215833
20,DI Score LR,,5436.0,0.1101963567866699,0.8259194959866235,0.3468836930986642,0.9523195942368957,0.04768040576310438,0.6531163069013358
21,DI Score LR,,3564.0,0.11163830985090598,0.7989968746510285,0.31394662590454436,0.9522856972725563,0.04771430272744381,0.6860533740954556
22,DI Score SVM,,5436.0,0.1819749181745964,0.8046869885829597,0.46797530880872984,0.8935427967233164,0.10645720327668381,0.5320246911912702
23,DI Score SVM,,3564.0,0.19115665421314315,0.7887805718113715,0.4582128680558867,0.8932354160003741,0.10676458399962585,0.5417871319441133
24,Equal. Oppor. DP,,5436.0,0.11047179061108717,0.8257172564863579,0.3470692800595024,0.9520182447876964,0.04798175521230354,0.6529307199404977
25,Equal. Oppor. DP,,3564.0,0.1056763336682339,0.7973487920293659,0.2979578223022385,0.9551176677648995,0.04488233223510067,0.7020421776977616
26,Equal. Oppor. EO,,5436.0,0.11591013208302789,0.805054528173005,0.3105660262489642,0.9355122088382402,0.06448779116175991,0.6894339737510358
27,Equal. Oppor. EO,,3564.0,0.11118867309687219,0.7987169729185954,0.3124215697052998,0.9523974355675925,0.047602564432407506,0.6875784302947002
