,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.8106444444444445,0.2404319437468609,0.9726209159651876,0.027379084034812384,0.7595680562531392,0.028956275753522477,0.6850732107478221,0.045365247235644716,0.57870325765674
1,Massaging,0.8151888888888887,0.3324460070316424,0.952318447710087,0.047681552289912964,0.6675539929683577,0.004740882280043213,0.9584081621208783,0.034788182439967244,0.8795217138441502
2,Pref. Sampling,0.8045111111111112,0.20914113510798593,0.9736338992723642,0.026366100727635892,0.7908588648920141,0.06953425787835135,0.26334446403569883,0.2316800845711581,0.21434588692040607
3,Reweighing,0.8105111111111111,0.23862380713209444,0.9729633328577544,0.027036667142245684,0.7613761928679056,0.004159043504105575,0.9447011903006348,0.027844684019477817,0.8383465475882123
4,Corr. Remover,0.8104111111111111,0.2379206428930186,0.9730346697103724,0.026965330289627627,0.7620793571069815,0.002790348516781861,0.9624984583966505,0.0331510397225525,0.847430858911941
5,DI Remover,0.8098666666666666,0.23144148669010547,0.9741760593522615,0.025823940647738623,0.7685585133098946,0.013411246236536672,0.8392130772540147,0.016739316452801273,0.7665568527484024
6,Grid Search DP,0.8137555555555555,0.2828729281767956,0.9645598516193467,0.035440148380653444,0.7171270718232045,0.010976887304656473,0.8851788814261606,0.011623175493381021,0.8462096612164313
7,Grid Search EO,0.8161888888888889,0.327021597187343,0.9551433870737623,0.044856612926237695,0.6729784028126569,0.018691768243292252,0.8451986549443676,0.018780691473187835,0.8110386019841617
8,Exp. Grad. DP,0.8110777777777777,0.29859367152184835,0.9566557283492653,0.043344271650734775,0.7014063284781518,0.014442011386090298,0.8684693115793205,0.013684036744880983,0.8696020069277066
9,Exp. Grad. EO,0.805811111111111,0.28523355097940734,0.9536881152803538,0.04631188471964617,0.7147664490205926,0.007385816412589272,0.9297460268595283,0.015575616928906466,0.9079179272913448
10,DI Score LR,0.8152555555555555,0.33279758915118035,0.9523041803395635,0.04769581966043658,0.6672024108488197,0.004527090498824343,0.9601214819315143,0.03308918697792459,0.8882007293605317
11,DI Score SVM,0.7983888888888889,0.46383726770467104,0.8934227421886147,0.10657725781138534,0.536162732295329,0.009973733012940281,0.9483435380730413,0.01721008823496733,0.946807745305696
12,Equal. Oppor. DP,0.8144777777777777,0.326067302862883,0.9532172920530748,0.04678270794692538,0.673932697137117,0.008695172489694291,0.9240763348584681,0.04911145775726387,0.841574043363746
13,Equal. Oppor. EO,0.8025444444444444,0.3114515318935208,0.942045940933086,0.05795405906691396,0.6885484681064793,0.008878836615213118,0.9275845870616892,0.021654761906487654,0.7430428332646881
