,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8094444444444444,0.23154193872425916,0.9736053645313169,0.026394635468683123,0.7684580612757408,0.0013912367628485384,0.9808433219178082,0.04477496520080426,0.7924706740273577
18,Corr. Remover,1,0.8133333333333334,0.2536413862380713,0.9723213011841918,0.027678698815808245,0.7463586137619287,0.0006173571921185839,0.9920890085524233,0.037664585305881654,0.8578454332552693
32,Corr. Remover,2,0.8131111111111111,0.25062782521346055,0.9728919960051362,0.027108003994863746,0.7493721747865394,0.0013590126190490687,0.9824362390864202,0.020638622038372717,0.920423568046677
46,Corr. Remover,3,0.813,0.2345554997488699,0.9773148808674561,0.022685119132543872,0.7654445002511301,0.003071858768567054,0.9569819307350864,0.03075148420437418,0.875998511535599
60,Corr. Remover,4,0.8083333333333333,0.2466097438473129,0.9678984163218719,0.03210158367812812,0.7533902561526871,0.0013990126437315314,0.9825364628610064,0.02408444894905165,0.9061760692456136
74,Corr. Remover,5,0.8097777777777778,0.2430939226519337,0.9707518904265944,0.029248109573405623,0.7569060773480663,0.005204338970844963,0.9337838639314121,0.04694167852062586,0.8216216216216217
88,Corr. Remover,6,0.8094444444444444,0.23556002009040683,0.9724639748894279,0.027536025110572123,0.7644399799095931,0.0020471745456336066,0.9726256994771596,0.031102020807457914,0.8521568693903604
102,Corr. Remover,7,0.8083333333333333,0.2310396785534907,0.9723213011841918,0.027678698815808245,0.7689603214465093,0.0009216521357801599,0.9873800982113327,0.043742757821552736,0.8250289687137891
116,Corr. Remover,8,0.8063333333333333,0.21245605223505776,0.9750321015836781,0.02496789841632187,0.7875439477649422,0.006089591622173207,0.9131444700901192,0.026395139513951393,0.7974851790122154
130,Corr. Remover,9,0.813,0.24008036162732296,0.9757454701098588,0.024254529890141246,0.7599196383726771,0.005802249907071899,0.9231634891037381,0.02541469486345263,0.825101694270906
5,DI Remover,0,0.8102222222222222,0.23405323957810145,0.9738907119417891,0.02610928805821087,0.7659467604218986,0.012035363839502572,0.8484833659491194,0.009163795073942615,0.7116099785553354
19,DI Remover,1,0.8132222222222222,0.2546459065796082,0.9718932800684834,0.028106719931516623,0.7453540934203917,0.03352762472592802,0.6592149645421254,0.06325975341341109,0.5506804825239715
33,DI Remover,2,0.8123333333333334,0.23907584128578604,0.9751747752889143,0.024825224711085746,0.7609241587142139,0.008072959116460679,0.8952863812057628,0.003494725352418404,0.9011243386243385
47,DI Remover,3,0.8118888888888889,0.22250125565042692,0.9793123127407619,0.020687687259238124,0.7774987443495731,0.006357469472133295,0.9080869494534899,0.015466486203820462,0.8633727567468834
61,DI Remover,4,0.8073333333333333,0.2415871421396283,0.968041090027108,0.031958909972892,0.7584128578603717,0.0061980593342309265,0.9244809835385515,0.0033336104712987716,0.9019273306508232
