,algorithm,run_id,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
8,Corr. Remover,0,B,9,0.4444444444444444,0.8888888888888888,1.0,0.8333333333333334,0.16666666666666666,0.0
9,Corr. Remover,0,O,27,0.4074074074074074,0.8888888888888888,0.7857142857142857,1.0,0.0,0.21428571428571427
36,Corr. Remover,1,B,7,0.42857142857142855,0.8571428571428571,1.0,0.8,0.2,0.0
37,Corr. Remover,1,O,29,0.4482758620689655,0.9310344827586207,0.8666666666666667,1.0,0.0,0.13333333333333333
64,Corr. Remover,2,B,6,0.16666666666666666,1.0,1.0,1.0,0.0,0.0
65,Corr. Remover,2,O,30,0.5,0.9666666666666667,0.9375,1.0,0.0,0.0625
92,Corr. Remover,3,B,9,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
93,Corr. Remover,3,O,27,0.48148148148148145,0.9629629629629629,0.9285714285714286,1.0,0.0,0.07142857142857142
120,Corr. Remover,4,B,7,0.5714285714285714,0.8571428571428571,1.0,0.75,0.25,0.0
121,Corr. Remover,4,O,29,0.4482758620689655,0.9655172413793104,0.9285714285714286,1.0,0.0,0.07142857142857142
148,Corr. Remover,5,B,6,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
149,Corr. Remover,5,O,30,0.4,0.9,0.8,1.0,0.0,0.2
176,Corr. Remover,6,B,8,0.25,0.875,1.0,0.8571428571428571,0.14285714285714285,0.0
177,Corr. Remover,6,O,28,0.39285714285714285,0.8214285714285714,0.6875,1.0,0.0,0.3125
204,Corr. Remover,7,B,6,0.5,0.8333333333333334,1.0,0.75,0.25,0.0
205,Corr. Remover,7,O,30,0.6,0.9,1.0,0.8,0.2,0.0
232,Corr. Remover,8,B,11,0.18181818181818182,1.0,1.0,1.0,0.0,0.0
233,Corr. Remover,8,O,25,0.44,0.84,0.7333333333333333,1.0,0.0,0.26666666666666666
260,Corr. Remover,9,B,10,0.5,0.9,1.0,0.8333333333333334,0.16666666666666666,0.0
261,Corr. Remover,9,O,26,0.38461538461538464,0.8846153846153846,0.7692307692307693,1.0,0.0,0.23076923076923078
10,DI Remover,0,B,9,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
11,DI Remover,0,O,27,0.3333333333333333,0.8148148148148148,0.6428571428571429,1.0,0.0,0.35714285714285715
38,DI Remover,1,B,7,0.2857142857142857,1.0,1.0,1.0,0.0,0.0
39,DI Remover,1,O,29,0.3448275862068966,0.8275862068965517,0.6666666666666666,1.0,0.0,0.3333333333333333
66,DI Remover,2,B,6,0.16666666666666666,1.0,1.0,1.0,0.0,0.0
67,DI Remover,2,O,30,0.26666666666666666,0.7333333333333333,0.5,1.0,0.0,0.5
