,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,B,7.9,0.25988816738816733,0.9677777777777778,0.9083333333333332,1.0,0.0,0.09166666666666666
1,Unmitigated-LR,O,28.1,0.5163510729372798,0.9573563639425708,0.9517719780219782,0.9646153846153848,0.03538461538461539,0.04822802197802198
2,Massaging,B,7.9,0.34417388167388163,0.947936507936508,1.0,0.9166666666666667,0.08333333333333333,0.0
3,Massaging,O,28.1,0.47549538966780336,0.9513154954879093,0.9063553113553114,1.0,0.0,0.09364468864468863
4,Pref. Sampling,B,7.9,0.3119516594516594,0.9579365079365079,0.9666666666666666,0.95,0.05,0.03333333333333333
5,Pref. Sampling,O,28.1,0.431070958415786,0.9068910642358918,0.823992673992674,1.0,0.0,0.176007326007326
6,Reweighing,B,7.9,0.3019516594516594,0.947936507936508,0.9416666666666667,0.95,0.05,0.05833333333333333
7,Reweighing,O,28.1,0.5023510729372799,0.9566896972759042,0.9384386446886447,0.9779487179487181,0.02205128205128205,0.061561355311355315
8,Corr. Remover,B,7.9,0.37095959595959593,0.9211507936507937,1.0,0.8823809523809523,0.11761904761904762,0.0
9,Corr. Remover,O,28.1,0.4502913140499348,0.9061114198700407,0.8437087912087913,0.9800000000000001,0.02,0.15629120879120878
10,DI Remover,B,7.9,0.33306277056277056,0.959047619047619,1.0,0.9333333333333333,0.06666666666666667,0.0
11,DI Remover,O,28.1,0.367512315270936,0.8151803432837916,0.6887957875457876,0.9723076923076924,0.027692307692307693,0.3112042124542125
12,Grid Search DP,B,7.9,0.23968614718614717,0.9475757575757575,0.825,1.0,0.0,0.175
13,Grid Search DP,O,28.1,0.49912159488021557,0.938433764192385,0.9174130036630037,0.9602564102564102,0.03974358974358975,0.08258699633699633
14,Grid Search EO,B,7.9,0.24560245310245304,0.9534920634920635,0.875,1.0,0.0,0.125
15,Grid Search EO,O,28.1,0.5534220594220594,0.943120542292956,0.9723809523809525,0.9105860805860807,0.08941391941391941,0.02761904761904762
16,Exp. Grad. DP,B,7.9,0.34116161616161617,0.8175288600288599,0.7916666666666666,0.8268253968253967,0.17317460317460315,0.20833333333333331
17,Exp. Grad. DP,O,28.1,0.4788758368068712,0.857709991158267,0.8144963369963371,0.9001831501831503,0.09981684981684982,0.18550366300366297
18,Exp. Grad. EO,B,7.9,0.26508297258297253,0.9444011544011544,0.8583333333333332,0.975,0.025,0.14166666666666666
19,Exp. Grad. EO,O,28.1,0.5234371886096024,0.9437017388741527,0.9437362637362637,0.9431135531135532,0.05688644688644688,0.056263736263736264
20,DI Score LR,,7.9,0.36222943722943723,0.9298809523809523,1.0,0.8940476190476192,0.10595238095238095,0.0
21,DI Score LR,,28.1,0.45653388629250696,0.9323539921126128,0.8729624542124542,1.0,0.0,0.12703754578754578
22,DI Score SVM,,7.9,0.36222943722943723,0.9298809523809523,1.0,0.8940476190476192,0.10595238095238095,0.0
23,DI Score SVM,,28.1,0.48234432234432234,0.9366012097736236,0.9005219780219781,0.9761904761904763,0.02380952380952381,0.09947802197802198
24,Equal. Oppor. DP,,7.9,0.46275252525252525,0.7649134199134199,0.9083333333333332,0.7192063492063492,0.2807936507936508,0.09166666666666666
25,Equal. Oppor. DP,,28.1,0.5163510729372798,0.9573563639425708,0.9517719780219782,0.9646153846153848,0.03538461538461539,0.04822802197802198
26,Equal. Oppor. EO,,7.9,0.25988816738816733,0.9677777777777778,0.9083333333333332,1.0,0.0,0.09166666666666666
27,Equal. Oppor. EO,,28.1,0.5163510729372798,0.9573563639425708,0.9517719780219782,0.9646153846153848,0.03538461538461539,0.04822802197802198
