,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9583333333333334,0.9411764705882353,0.9736842105263157,0.02631578947368421,0.058823529411764705,0.25646290554911244,0.5190258352758352,0.13022435897435897,0.7196520146520147
1,Massaging,0.95,0.9176470588235295,0.9789473684210526,0.021052631578947368,0.0823529411764706,0.17697769089148396,0.6491471008466083,0.1488095238095238,0.5345238095238096
2,Pref. Sampling,0.9194444444444446,0.8411764705882353,0.9894736842105264,0.010526315789473684,0.15882352941176472,0.17474895666274975,0.6162316419212971,0.21743589743589742,0.6305494505494506
3,Reweighing,0.9555555555555555,0.9352941176470588,0.9736842105263157,0.02631578947368421,0.06470588235294118,0.22502995535754158,0.5720488419626351,0.14070054945054944,0.6611904761904762
4,Corr. Remover,0.9111111111111112,0.8647058823529411,0.9526315789473685,0.047368421052631574,0.13529411764705884,0.13444659044659044,0.7168318619729278,0.18581501831501832,0.4199404761904762
5,DI Remover,0.85,0.7235294117647059,0.9631578947368421,0.03684210526315789,0.27647058823529413,0.0383904314076728,0.8734910348272418,0.3424862637362638,0.5226419413919414
6,Grid Search DP,0.9388888888888889,0.9000000000000001,0.9736842105263157,0.02631578947368421,0.1,0.2594354476940684,0.5117230563554094,0.19628205128205128,0.6776473526473528
7,Grid Search EO,0.9444444444444444,0.9529411764705882,0.9368421052631579,0.06315789473684211,0.047058823529411764,0.3078196063196063,0.4571763356612427,0.175,0.3302564102564102
8,Exp. Grad. DP,0.8416666666666666,0.8058823529411766,0.8736842105263157,0.12631578947368421,0.19411764705882356,0.21175236640753883,0.6034533577115436,0.33285714285714285,0.19353535353535353
9,Exp. Grad. EO,0.9416666666666667,0.9294117647058824,0.9526315789473685,0.047368421052631574,0.07058823529411765,0.282984757898551,0.48846445725181287,0.19135531135531136,0.49609848484848484
10,DI Score LR,0.9333333333333333,0.8882352941176471,0.9736842105263159,0.02631578947368421,0.11176470588235295,0.15996063196063198,0.6670596644734575,0.17220238095238094,0.4398809523809524
11,DI Score SVM,0.9361111111111111,0.9117647058823529,0.9578947368421054,0.042105263157894736,0.08823529411764705,0.17887451628830942,0.6541813933193243,0.13964285714285715,0.31952380952380954
12,Equal. Oppor. DP,0.913888888888889,0.9411764705882353,0.8894736842105264,0.11052631578947367,0.058823529411764705,0.12592139724898344,0.7780780904918835,0.30079365079365084,0.046153846153846156
13,Equal. Oppor. EO,0.9583333333333334,0.9411764705882353,0.9736842105263157,0.02631578947368421,0.058823529411764705,0.25646290554911244,0.5190258352758352,0.13022435897435897,0.7196520146520147
