,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.8888888888888888,0.8235294117647058,0.9473684210526315,0.05263157894736842,0.17647058823529413,0.037037037037037035,0.9166666666666666,0.2142857142857143,0.0
18,Corr. Remover,1,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.019704433497536977,0.956043956043956,0.2,0.0
32,Corr. Remover,2,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.33333333333333337,0.3333333333333333,0.0625,0.9375
46,Corr. Remover,3,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.14814814814814814,0.6923076923076923,0.0714285714285714,0.9285714285714286
60,Corr. Remover,4,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.12315270935960587,0.7844827586206897,0.25,0.0
74,Corr. Remover,5,0.9166666666666666,0.8235294117647058,1.0,0.0,0.17647058823529413,0.06666666666666671,0.8333333333333333,0.19999999999999996,0.8
88,Corr. Remover,6,0.8333333333333334,0.7058823529411765,0.9473684210526315,0.05263157894736842,0.29411764705882354,0.14285714285714285,0.6363636363636364,0.3125,0.0
102,Corr. Remover,7,0.8888888888888888,1.0,0.7894736842105263,0.21052631578947367,0.0,0.09999999999999998,0.8333333333333334,0.04999999999999999,0.8
116,Corr. Remover,8,0.8888888888888888,0.7647058823529411,1.0,0.0,0.23529411764705882,0.2581818181818182,0.4132231404958678,0.2666666666666667,0.7333333333333333
130,Corr. Remover,9,0.8888888888888888,0.8235294117647058,0.9473684210526315,0.05263157894736842,0.17647058823529413,0.11538461538461536,0.7692307692307693,0.23076923076923073,0.0
5,DI Remover,0,0.8611111111111112,0.7058823529411765,1.0,0.0,0.29411764705882354,0.0,1.0,0.3571428571428571,0.6428571428571429
19,DI Remover,1,0.8611111111111112,0.7058823529411765,1.0,0.0,0.29411764705882354,0.059113300492610876,0.8285714285714285,0.33333333333333337,0.6666666666666666
33,DI Remover,2,0.7777777777777778,0.5294117647058824,1.0,0.0,0.47058823529411764,0.1,0.625,0.5,0.5
47,DI Remover,3,0.8611111111111112,0.7058823529411765,1.0,0.0,0.29411764705882354,0.0,1.0,0.3571428571428571,0.6428571428571429
61,DI Remover,4,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.019704433497536922,0.9655172413793104,0.11666666666666667,0.5333333333333333
75,DI Remover,5,0.9444444444444444,0.8823529411764706,1.0,0.0,0.11764705882352941,0.10000000000000003,0.7692307692307692,0.1333333333333333,0.8666666666666667
89,DI Remover,6,0.6944444444444444,0.35294117647058826,1.0,0.0,0.6470588235294118,0.053571428571428575,0.7,0.6875,0.3125
