,algorithm,Race,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,B,8.3,0.3167063492063492,0.9928571428571429,1.0,0.9888888888888889,0.01111111111111111,0.0
1,Unmitigated-LR,O,27.7,0.5418433477596436,0.9341056719358999,0.9579166666666667,0.911923076923077,0.08807692307692307,0.04208333333333333
2,Massaging,B,8.3,0.41424603174603175,0.8953174603174604,1.0,0.8319841269841269,0.168015873015873,0.0
3,Massaging,O,27.7,0.5128206224007114,0.9073453527325885,0.9029624542124542,0.913040293040293,0.08695970695970695,0.09703754578754578
4,Pref. Sampling,B,8.3,0.3367063492063492,0.972857142857143,1.0,0.9603174603174602,0.03968253968253968,0.0
5,Pref. Sampling,O,27.7,0.445009960968665,0.9165320605114822,0.8468910256410256,0.9928571428571429,0.007142857142857143,0.15310897435897436
6,Reweighing,B,8.3,0.3267063492063492,0.9828571428571429,1.0,0.9746031746031747,0.025396825396825397,0.0
7,Reweighing,O,27.7,0.5109207250336282,0.9525282946619151,0.9445833333333334,0.9630952380952381,0.0369047619047619,0.05541666666666667
8,Corr. Remover,B,8.3,0.43746031746031744,0.8721031746031747,1.0,0.8286507936507936,0.17134920634920633,0.0
9,Corr. Remover,O,27.7,0.4746906701474277,0.9069505235731598,0.8702838827838828,0.9539495798319327,0.04605042016806722,0.12971611721611723
10,DI Remover,B,8.3,0.41960317460317464,0.8899603174603177,1.0,0.8230952380952381,0.17690476190476187,0.0
11,DI Remover,O,27.7,0.40189447327586925,0.8319182563203699,0.7339285714285715,0.9521848739495798,0.04781512605042017,0.26607142857142857
12,Grid Search DP,B,8.3,0.34924603174603175,0.9238095238095237,0.9550000000000001,0.9099999999999999,0.09,0.045
13,Grid Search DP,O,27.7,0.581112449198517,0.8606881413193983,0.9239148351648352,0.793125404007757,0.20687459599224306,0.07608516483516484
14,Grid Search EO,B,8.3,0.25817460317460317,0.8898809523809523,0.8216666666666667,0.9488888888888889,0.05111111111111111,0.17833333333333332
15,Grid Search EO,O,27.7,0.5569241375102053,0.8792730047318479,0.9168315018315019,0.8363186813186815,0.1636813186813187,0.08316849816849817
16,Exp. Grad. DP,B,8.3,0.42039682539682544,0.7876587301587301,0.8216666666666667,0.7723015873015873,0.22769841269841268,0.17833333333333332
17,Exp. Grad. DP,O,27.7,0.5500673541378491,0.8085890657358956,0.8439148351648352,0.7728625296272356,0.2271374703727645,0.15608516483516482
18,Exp. Grad. EO,B,8.3,0.4059920634920635,0.8083333333333332,0.8766666666666667,0.7854761904761904,0.21452380952380956,0.12333333333333334
19,Exp. Grad. EO,O,27.7,0.5745144721333542,0.786380997622655,0.8473076923076924,0.7224994613229907,0.27750053867700925,0.15269230769230768
20,DI Score LR,,8.3,0.42674603174603176,0.8828174603174604,1.0,0.811984126984127,0.188015873015873,0.0
21,DI Score LR,,27.7,0.4810760393769293,0.9382941797882008,0.9020695970695971,0.9780219780219781,0.021978021978021976,0.09793040293040292
22,DI Score SVM,,8.3,0.4253571428571428,0.8842063492063492,1.0,0.811984126984127,0.188015873015873,0.0
23,DI Score SVM,,27.7,0.4787246922988023,0.8883356295272314,0.8508516483516484,0.9320448179271708,0.06795518207282913,0.14914835164835163
24,Equal. Oppor. DP,,8.3,0.4606746031746032,0.8488888888888889,1.0,0.7542063492063492,0.24579365079365081,0.0
25,Equal. Oppor. DP,,27.7,0.5128206224007114,0.9073453527325885,0.9029624542124542,0.913040293040293,0.08695970695970695,0.09703754578754578
26,Equal. Oppor. EO,,8.3,0.4553174603174603,0.8542460317460318,1.0,0.7786507936507936,0.22134920634920632,0.0
27,Equal. Oppor. EO,,27.7,0.48242289512798414,0.8769476254598614,0.8462957875457876,0.913040293040293,0.08695970695970695,0.15370421245421245
