,algorithm,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
0,Unmitigated-LR,0.9472222222222222,0.9647058823529411,0.9315789473684211,0.06842105263157894,0.03529411764705882,0.23763699855329445,0.5722238395358145,0.12391025641025641,0.2808333333333334
1,Massaging,0.9027777777777779,0.9176470588235295,0.8894736842105262,0.11052631578947367,0.0823529411764706,0.2112369283170173,0.6334696757490875,0.18830891330891328,0.22333333333333333
2,Pref. Sampling,0.9277777777777778,0.8705882352941178,0.9789473684210526,0.021052631578947368,0.12941176470588237,0.14344971565841977,0.6923220232148805,0.15310897435897436,0.5081547619047619
3,Reweighing,0.9583333333333333,0.9529411764705882,0.9631578947368423,0.03684210526315789,0.047058823529411764,0.20921437582727903,0.6014062625050021,0.10660714285714286,0.56125
4,Corr. Remover,0.9,0.8882352941176471,0.9105263157894739,0.0894736842105263,0.11176470588235295,0.06458849901077376,0.8711043002523734,0.16475463262227966,0.2442857142857143
5,DI Remover,0.8416666666666668,0.7588235294117647,0.9157894736842105,0.08421052631578947,0.24117647058823533,0.03953892729546234,0.9085587762256283,0.3415896358543417,0.27616596638655466
6,Grid Search DP,0.8694444444444445,0.9235294117647059,0.8210526315789473,0.1789473684210526,0.07647058823529412,0.2381164174524853,0.602875595852376,0.1795604395604396,0.25458333333333333
7,Grid Search EO,0.8833333333333334,0.9,0.868421052631579,0.13157894736842107,0.1,0.29874953433560214,0.4517829131652661,0.2344810744810745,0.08125
8,Exp. Grad. DP,0.8027777777777777,0.8470588235294116,0.763157894736842,0.23684210526315788,0.15294117647058825,0.13981663263712762,0.7586708582954713,0.2661217948717949,0.42689102564102566
9,Exp. Grad. EO,0.7861111111111111,0.8411764705882353,0.736842105263158,0.26315789473684204,0.15882352941176472,0.18548669435557644,0.6889408079021082,0.21045787545787548,0.4905555555555555
10,DI Score LR,0.925,0.9176470588235295,0.9315789473684211,0.06842105263157894,0.0823529411764706,0.18154260984349974,0.6757546897546898,0.19445818070818072,0.26517857142857143
11,DI Score SVM,0.8861111111111113,0.8764705882352942,0.8947368421052632,0.10526315789473681,0.12352941176470589,0.207591334915445,0.6247280497280497,0.19325666163901456,0.41614845938375356
12,Equal. Oppor. DP,0.8944444444444445,0.9176470588235295,0.8736842105263157,0.1263157894736842,0.0823529411764706,0.2290940711741601,0.6397918258212376,0.246535409035409,0.31083333333333335
13,Equal. Oppor. EO,0.875,0.8764705882352942,0.8736842105263157,0.1263157894736842,0.12352941176470589,0.20056322701831597,0.6619978142772261,0.20595238095238094,0.34091575091575094
