,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.9444444444444444,1.0,0.8947368421052632,0.10526315789473684,0.0,0.03125,0.9411764705882353,0.11764705882352941,0.0
18,Corr. Remover,1,0.8055555555555556,0.7058823529411765,0.8947368421052632,0.10526315789473684,0.29411764705882354,0.04926108374384236,0.8850574712643678,0.3333333333333333,0.0
32,Corr. Remover,2,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.15789473684210525,0.058823529411764705,0.03703703703703709,0.9333333333333332,0.07692307692307687,0.7142857142857142
46,Corr. Remover,3,0.8611111111111112,0.9411764705882353,0.7894736842105263,0.21052631578947367,0.058823529411764705,0.1806451612903226,0.6888888888888889,0.0625,0.8
60,Corr. Remover,4,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.06153846153846154,0.8666666666666667,0.1428571428571429,0.0
74,Corr. Remover,5,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.06153846153846154,0.8666666666666667,0.1428571428571429,0.0
88,Corr. Remover,6,0.9722222222222222,0.9411764705882353,1.0,0.0,0.058823529411764705,0.14814814814814814,0.6923076923076923,0.0714285714285714,0.9285714285714286
102,Corr. Remover,7,0.9444444444444444,0.9411764705882353,0.9473684210526315,0.05263157894736842,0.058823529411764705,0.0357142857142857,0.9285714285714286,0.2,0.0
116,Corr. Remover,8,0.8333333333333334,0.7647058823529411,0.8947368421052632,0.10526315789473684,0.23529411764705882,0.014778325123152691,0.9655172413793104,0.3333333333333333,0.0
130,Corr. Remover,9,0.9166666666666666,0.8823529411764706,0.9473684210526315,0.05263157894736842,0.11764705882352941,0.025974025974025983,0.9428571428571428,0.16666666666666663,0.0
5,DI Remover,0,0.8611111111111112,1.0,0.7368421052631579,0.2631578947368421,0.0,0.15625,0.7916666666666666,0.2647058823529412,0.47058823529411764
19,DI Remover,1,0.6944444444444444,0.35294117647058826,1.0,0.0,0.6470588235294118,0.029556650246305438,0.8285714285714285,0.6875,0.3125
33,DI Remover,2,0.9166666666666666,1.0,0.8421052631578947,0.15789473684210525,0.0,0.0,1.0,0.05714285714285716,0.7142857142857142
47,DI Remover,3,0.7777777777777778,0.5882352941176471,0.9473684210526315,0.05263157894736842,0.4117647058823529,0.10967741935483871,0.7258064516129032,0.4375,0.0
